Taxon	DNA.profile
g__Massilioclostridium;s__Massilioclostridium coli	0.000125
g__Mediterraneibacter;s__Mediterraneibacter butyricigenes	0.000393
g__Mediterraneibacter;s__Mediterraneibacter massiliensis	0.000169
g__Megamonas;s__Megamonas funiformis	0.005316
z__Megamonas rupellensis DSM 19944	0.001098
g__Merdibacter;s__Merdibacter massiliensis	0.000223
g__Monoglobus;s__Monoglobus pectinilyticus	0.001430
z__Marseille-P3756	0.000177
g__Negativibacillus;s__Negativibacillus massiliensis	0.000732
g__Neglecta;s__Neglecta timonensis	0.000691
g__Oscillibacter;s__Oscillibacter sp.	0.002840
g__Oscillibacter;s__uncultured Oscillibacter sp.	0.003259
z__57_20	0.001044
z__CAG:241	0.001199
z__CAG:241_62_21	0.001071
z__ER4	0.003732
z__Phascolarctobacterium faecium DSM 14760	0.001269
z__Phascolarctobacterium succinatutens YIT 12067	0.001588
g__Phocea;s__Phocea massiliensis	0.000104
z__Pseudoflavonifractor capillosus ATCC 29799	0.000453
z__AF19-9AC	0.000163
z__Marseille-P3106	0.000201
g__Pseudoruminoccoccus;s__Pseudoruminoccoccus massiliensis	0.006136
g__Romboutsia;s__Romboutsia timonensis	0.000625
g__Roseburia;s__Roseburia faecis	0.011723
z__Roseburia hominis OB EAV1 11 DCM	0.003971
g__Roseburia;s__Roseburia hominis	0.001250
z__Roseburia intestinalis L1-82	0.006566
z__Roseburia inulinivorans DSM 16841	0.001587
g__Roseburia;s__uncultured Roseburia sp.	0.004994
z__AM23-20	0.000579
z__CAG:10041_57	0.003336
z__CAG:182	0.000400
g__Ruminococcus;s__Ruminococcus bicirculans	0.010204
g__Ruminococcus;s__Ruminococcus bromii	0.031263
z__Ruminococcus faecis JCM 15917	0.002677
g__Ruminococcus;s__Ruminococcus faecis	0.001467
z__Ruminococcus lactaris CC59_002D	0.000661
g__Ruminococcus;s__uncultured Ruminococcus sp.	0.017300
z__AF21-42	0.000576
z__AF31-8BH	0.001394
z__AF41-9	0.000627
z__AF46-10NS	0.001170
z__AM22-13	0.000975
z__AM40-10AC	0.006048
z__AM42-11	0.016504
z__JC304	0.001858
g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	0.001817
g__Solobacterium;s__uncultured Solobacterium sp.	0.001011
z__CAG:324	0.000076
g__Streptococcus;s__Streptococcus thermophilus	0.000368
z__Subdoligranulum variabile DSM 15176	0.000490
g__Subdoligranulum;s__Subdoligranulum variabile	0.000144
z__APC924/74	0.024125
z__CAG:314	0.001443
g__Turicibacter;s__Turicibacter sanguinis	0.000163
z__Tyzzerella nexilis DSM 1787	0.001913
p__Firmicutes;s__Clostridia bacterium UC5.1-1D4	0.000311
p__Firmicutes;s__Clostridia bacterium UC5.1-1E11	0.000127
p__Firmicutes;s__Clostridiaceae bacterium AM27-36LB	0.001022
p__Firmicutes;s__Clostridiaceae bacterium OM08-6BH	0.000940
p__Firmicutes;s__Clostridiales bacterium CCNA10	0.001076
p__Firmicutes;s__Clostridiales bacterium UBA1390	0.000199
p__Firmicutes;s__Clostridiales bacterium UBA4696	0.001198
p__Firmicutes;s__Clostridiales bacterium VE202-03	0.001465
p__Firmicutes;s__Clostridiales bacterium	0.007973
p__Firmicutes;s__Firmicutes bacterium AF25-13AC	0.013319
p__Firmicutes;s__Firmicutes bacterium AM31-12AC	0.000307
p__Firmicutes;s__Firmicutes bacterium AM55-24TS	0.009433
p__Firmicutes;s__Firmicutes bacterium CAG:103	0.000786
p__Firmicutes;s__Firmicutes bacterium CAG:124	0.006921
p__Firmicutes;s__Firmicutes bacterium CAG:170	0.000296
p__Firmicutes;s__Firmicutes bacterium CAG:176	0.000631
p__Firmicutes;s__Firmicutes bacterium CAG:194	0.007416
p__Firmicutes;s__Firmicutes bacterium CAG:24053_14	0.000281
p__Firmicutes;s__Firmicutes bacterium CAG:424	0.000194
p__Firmicutes;s__Firmicutes bacterium CAG:83	0.001981
p__Firmicutes;s__Firmicutes bacterium CAG:94	0.000254
p__Firmicutes;s__Firmicutes bacterium CAG:95	0.000160
p__Firmicutes;s__Firmicutes bacterium OM08-11AC	0.001360
p__Firmicutes;s__Firmicutes bacterium TM09-10	0.003926
p__Firmicutes;s__Lachnospiraceae bacterium AM48-27BH	0.001885
p__Firmicutes;s__Lachnospiraceae bacterium GAM79	0.004681
p__Firmicutes;s__Lachnospiraceae bacterium OF09-33XD	0.000200
p__Firmicutes;s__Lachnospiraceae bacterium OM04-12BH	0.000890
p__Firmicutes;s__Lachnospiraceae bacterium UBA7598	0.000366
p__Firmicutes;s__Lachnospiraceae bacterium	0.003141
p__Firmicutes;s__Ruminococcaceae bacterium AM07-15	0.000424
p__Firmicutes;s__Ruminococcaceae bacterium D16	0.000367
p__Firmicutes;s__Ruminococcaceae bacterium D5	0.000106
p__Firmicutes;s__Ruminococcaceae bacterium	0.004344
z__[Bacteroides] pectinophilus ATCC 43243	0.000255
z__[Clostridium] leptum DSM 753	0.000817
z__[Eubacterium] rectale ATCC 33656	0.009317
z__[Eubacterium] rectale M104/1	0.011760
z__[Eubacterium] siraeum DSM 15702	0.036484
p__Firmicutes;s__[Eubacterium] siraeum	0.006589
p__Firmicutes;s__uncultured Clostridiales bacterium	0.032785
p__Firmicutes;s__uncultured Erysipelotrichaceae bacterium	0.001752
p__Firmicutes;s__uncultured Lachnospiraceae bacterium	0.006285
p__Firmicutes;s__uncultured Ruminococcaceae bacterium	0.008337
p__Lentisphaerae;s__Lentisphaeria bacterium	0.000274
p__Lentisphaerae;s__Victivallales bacterium CCUG 44730	0.000296
z__46_36	0.001516
z__N54.MGS-139	0.000588
z__Bilophila wadsworthia ATCC 49260	0.001312
z__Desulfovibrio desulfuricans ATCC 27774	0.000209
g__Desulfovibrio;s__Desulfovibrio fairfieldensis	0.000126
g__Desulfovibrio;s__uncultured Desulfovibrio sp.	0.000274
g__Escherichia;s__Escherichia coli	0.000555
g__Klebsiella;s__Klebsiella oxytoca	0.000213
z__Oxalobacter formigenes HOxBLS	0.000133
z__Parasutterella excrementihominis YIT 11859	0.001251
z__Sutterella wadsworthensis 3_1_45B	0.001271
g__Sutterella;s__uncultured Sutterella sp.	0.001352
p__Proteobacteria;s__Proteobacteria bacterium CAG:495	0.000224
p__Proteobacteria;s__uncultured Rhodospirillaceae bacterium	0.000358
z__CAG:877	0.000172
p__Tenericutes;s__Acholeplasmatales bacterium	0.001161
p__Tenericutes;s__uncultured Mollicutes bacterium	0.000150
p__Tenericutes;s__uncultured Tenericutes bacterium	0.000131
g__Akkermansia;s__Akkermansia muciniphila	0.011171
k__Bacteria;s__bacterium LF-3	0.002067
k__Bacteria;s__bacterium	0.000882
k__Bacteria;s__uncultured bacterium	0.001188
g__Blastocystis;s__Blastocystis hominis	0.000163
z__subtype 6	0.001106
k__Viruses;s__Faecalibacterium phage FP_Taranis	0.000088
k__Viruses;s__Faecalibacterium phage FP_Toutatis	0.000122
