superkingdom	phylum	class	order	family	genus	species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia producta	6346.01261961416	8015.56021248833	4956.8452088437	9652.17034342379	12166.80510151	14589.6852907171	3886.73631441745	4098.53282323306	4362.6359789448	36683.7672804795	26430.2905224083	24698.8183845821	28944.1953133052	58105.0400142214	32504.2336173482	23925.3374540798	68299.4318038346	54352.8602304171	4572.21794256898	3182.11277602761	2586.44686360318	11753.2946460077	4337.15932869851	6191.15592810937	3073.35491371688	1958.01299566054	4305.20857242584
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. SC05B48	27011.9880313909	35949.9326892279	22379.6411936224	40521.2747817354	54891.7909916878	60326.9163705779	16852.2254924096	16652.0508102649	17032.677191166	9795.82952292389	7229.85916593859	7110.54898400451	8067.66068969139	15277.7359552208	9342.25930657632	6308.27528180431	17892.3809628573	15676.1269546774	331869.76558543	232733.723551884	198843.450876914	711354.955868269	271204.768496532	359418.747375325	218887.32785267	136429.670314717	305274.981277701
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	46669.9761475279	61391.8579651236	38885.967491176	72649.1262770784	97594.5366496134	105431.1703576	28273.0408019273	28139.5428845848	29233.8767868085	22289.4555639799	15339.7698755104	15975.6132757281	17877.7814091076	33343.9477666552	20447.1338684198	14722.3779591756	39105.7308774007	34603.1692061273	212619.621152321	143819.776956362	132832.722188642	453237.643082955	175517.719727339	241392.466019997	143489.240783169	85522.7608517285	206038.145023327
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	19374.4587966386	25390.1583375078	15672.9324830307	28604.4860619908	39076.7625414984	40846.993563458	11294.6512997998	10981.6353979284	11672.4755343774	151.986241561838	95.0070574776394	60.115049157139	140.072655459477	226.352909117524	60.1916638890888	44.0927197939358	262.492344625271	210.161858175862	49260.7084624896	41903.0853960171	29938.1180436726	111479.378208884	52934.6662925356	60283.9655394905	32400.2467544642	24749.0247749667	48276.4351231084
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	8414.0556415954	10751.0865118916	6521.3437951001	12598.7912352198	17281.2677798007	18011.0355274894	4953.45866559601	5014.56203859728	5175.39380499988	26167.8323214271	19215.296879778	18298.0332539046	22616.0608454148	45369.4326098021	25291.4712073887	18908.0874074918	53067.8830866135	41790.4955410088	1018.64004067577	596.449165341944	565.508183322156	2477.60565503955	859.198125262027	1204.82914790236	603.270030799221	315.21636918169	790.32530961721
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	57991.6570357452	73034.6704404215	46881.4457255744	87533.4156764719	114962.02886254	125587.10082519	33676.6444457271	33501.1443967705	34007.0222115429	157.301626474518	143.943336917412	95.7089796014738	197.186885182933	243.440374174046	89.7244277715075	58.8216513415369	321.619019386344	230.229678117383	24734.79107106	16843.8316877588	14952.2197485049	57344.6023364394	20851.3650572665	29306.1371869835	16127.8105761213	9900.71209925973	23119.2270322439
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	33159.7875402221	43760.3345414466	28150.9519535986	54511.7283935415	73952.4706537908	78290.4345458113	23932.4854907095	24445.5679356624	24303.2773465218	11784.559104181	7909.52646607779	9177.73030106273	9869.47735588827	17662.1369185749	12444.748140252	7628.88660694623	19058.5236383232	19042.7148664892	4731.33185711469	2646.0044553241	2461.78121024097	12194.0872234711	3990.61995342657	5612.86405872029	3609.64738107879	1883.44201310066	4803.73628667481
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] faecis	42231.7960897906	54666.2263423049	35274.5351829604	41162.9852861658	53588.7404663186	57828.4382352432	27297.8429484912	27326.1186488308	29238.1200579571	3306.8952619391	2434.27579961574	2427.01419091879	2368.59054846857	4667.46758549669	2642.89547352776	1802.80072405305	5352.96768609234	4599.77654002191	2696.41096981642	2132.57290039132	1950.11882340369	4397.9246941731	2478.04132212917	2519.95552158396	2119.22079551406	1437.64186177992	3023.05572732092
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus	12616.7554457824	15053.5944005953	9924.79831136222	18695.1197220979	24666.5217124385	27455.0385162971	7162.06593249734	7036.65836458937	7094.05742243512	15082.5623904364	10755.2186747179	10860.2849753775	13279.4861097695	25842.097009616	15358.604474476	10660.1891128919	29540.3500378676	24897.7860970001	35528.680831448	26508.1642430693	21707.6966594066	81445.1506394892	33185.7710207015	41879.7590494638	23856.525864899	15852.3823663177	33448.1071962195
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	missing	[Eubacterium] rectale	66924.9702632655	87633.8272151941	54549.2648953665	100035.278130367	134666.454538561	142402.458279045	39591.4860975179	40904.0399640919	40201.0885463035	183.413845901644	174.1562027464	113.382142074725	217.259256003412	246.210845296303	114.403216413377	85.7454084830968	384.620729786371	274.872554946841	115.116440245485	98.6649001846392	200.492625313663	292.147193836498	169.684290910879	141.946621948902	166.900802425115	81.2511342378309	194.651441866453
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	missing	Lachnospiraceae bacterium GAM79	22636.6234670432	28788.630388728	18226.1083525823	37602.5922012325	47129.8898173979	52859.0839036494	15869.2273572677	14972.532219046	15703.4761230363	7545.27317727421	4871.30437111359	6414.92844259058	6718.71663056494	11824.9164377302	9140.40045527056	5343.33231710909	13514.2128238083	14591.0564787325	13954.3747089602	8608.10205627444	8413.74670308585	34242.4527978017	11340.718749945	21157.1569444418	11788.0276326888	5775.57889793534	18427.0567493441
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis	66086.7997333571	83804.4644553487	54249.4469400695	93507.927166676	123829.756493049	133973.784105929	40722.8249556746	40452.4395967457	40467.8557454867	5728.73528086427	3741.87738506025	4226.71998408054	5091.53824798123	8684.14173057263	5597.4718856818	3717.99095404559	10482.2184417902	9402.58631784561	10819.5698435663	7689.66341611408	6985.06478090881	25815.5787067193	9641.2603503312	12727.068260345	6990.86113575926	4413.27046963669	10039.3044220972
Bacteria	Firmicutes	Clostridia	Clostridiales	missing	Monoglobus	Monoglobus pectinilyticus	21490.5601739897	27265.6649598832	17810.5479089614	37942.1765019545	51089.0956669644	58576.3454624378	12829.1531558621	12150.4693272216	13308.3105451207	341.838738518689	206.534675065616	301.87647028947	186.968857804275	488.898761479872	232.903555738341	156.343780926631	458.979627793129	445.783138453354	11816.2563701639	7200.38323176203	7329.28843440482	32838.0905011465	10619.4772454898	16399.9360127141	7674.65188356015	4055.03251721385	11277.3194772184
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptacetobacter	Peptacetobacter hiranonis	1314.03228529912	1037.90162185598	1432.09719449855	680.083092009616	1125.3940067091	1388.48620768279	1005.99338748681	295.84839448728	821.192192992489	301205.571134901	202622.937311449	241092.765206198	250511.204984743	451848.93714325	315157.074133639	198337.193991055	508729.977796456	506929.638700306	1139.5427402155	576.492466504603	1241.227443994	1620.01922956886	1237.26960292868	1049.13463341405	893.243187818795	500.82053794307	1471.52019592974
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	162478.424482766	201767.054779299	135441.112169546	266172.219717391	349724.492520595	382350.299345068	96308.8083493615	88284.6822344799	96507.6187803532	58139.1838960656	36007.6786172853	46926.6508649571	42913.0608264163	73538.7184208049	56919.3618986117	34689.1116419436	89843.0014508404	96834.1243028854	192517.848072965	126503.35768712	131572.720693724	477325.578728185	164344.638650415	278651.255026143	124622.799922195	70064.9217226655	206111.270975263
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	58705.6984995708	74851.5883702735	49189.8035535264	96804.8287067766	127775.868606841	139461.749403741	34360.5981844209	32145.7517569471	34462.0183788873	103.062748865467	118.727789241433	117.134610624702	175.431684020529	359.371780727283	137.94722680162	74.2494112722894	308.545889729085	189.637396767795	119.737263022216	109.270683097225	170.866811084892	229.713834598763	102.136528266349	189.052034520415	126.626019603923	56.5617262538266	192.448190931327
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	missing	[Eubacterium] siraeum	55245.7989357055	71048.657981948	46948.2387607312	97074.1187932158	130722.353574897	140480.89653604	31694.5255081351	29629.9835100678	30951.8185763659	81.2337829981089	116.293413114715	67.9992066175529	132.434598199886	354.807317976684	0	44.1261658577259	219.656298852046	160.206244948144	124.897572177003	79.5587576727852	161.104021124029	185.39579430022	168.167500657712	156.290747310247	92.0866162043038	60.0760893325666	147.138888763895
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	49525.98749386	67179.747049913	39442.3042463388	90358.0825150525	128170.876350375	132358.654584651	28913.6237267249	28294.2052052689	30400.7589840091	169.792317205182	149.439728774589	108.558367128852	232.407222798894	326.837332841331	114.806640106077	100.65047805635	357.14899855151	328.77081150284	60630.4070685665	43312.4007832366	31993.4099046378	166872.689256161	65121.6770613759	83186.9523749885	42342.8419304693	26017.2305311752	58301.5068417726
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens	398.907852825128	238.000376688047	281.066122189337	213.03871819648	329.043663520822	380.468360682164	216.660756689582	87.0905546732441	243.053263615245	34925.0061775718	21498.2714023806	30650.8046709671	25636.8484553593	42742.1726643586	35641.3505070468	21623.9342978983	52530.9924884307	62452.0885479258	39384.2507952149	25694.7049952822	27378.8779693455	95425.8732092993	31504.4216875483	56647.3684409607	25991.6820961667	14034.1633935088	43445.0241984266
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	10157.0205256481	13404.2421085395	8059.97182948308	19776.707768712	27311.7032735734	30469.1928582803	6764.23505806527	6562.9985319133	7539.27777663882	38438.348963559	25116.5212091997	31990.3826017249	29674.0448637589	48748.3687317165	39288.123297867	24262.4633616365	57484.8449033375	67654.858618285	151.890172674708	60.0488872412071	124.105566281589	132.195280185656	135.414815830507	112.06640057555	112.099866011961	0	180.13333277907
