feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	heatmap_value	is.significant	sign	level
Bacteria.Lentisphaerae.Lentisphaeria	source	Canis_lupus	-1.35699754643659	0.0741395682018263	1.32556367095266e-15	sourceCanis_lupus	5.54326626034748e-15	27	9	-14.2562342603896	TRUE	-	class
Bacteria.Lentisphaerae.Lentisphaeria	source	Homo_sapiens	-1.35699754643659	0.0741395682018263	1.32556367095266e-15	sourceHomo_sapiens	5.54326626034748e-15	27	9	-14.2562342603896	TRUE	-	class
Bacteria.Deferribacteres.Deferribacteres	source	Canis_lupus	1.54113574826358	0.099437488441356	5.31600447158076e-14	sourceCanis_lupus	2.03780171410596e-13	27	9	12.6908380767865	TRUE	+	class
Bacteria.Verrucomicrobia.Verrucomicrobiae	source	Canis_lupus	-7.53324120880527	0.495220422079538	7.99598315752818e-14	sourceCanis_lupus	2.82934788650997e-13	27	16	-12.5483136499616	TRUE	-	class
Bacteria.Verrucomicrobia.Verrucomicrobiae	source	Homo_sapiens	-6.8672950444141	0.495220422079538	5.92513234148581e-13	sourceHomo_sapiens	1.94682919791677e-12	27	16	-11.710672148971	TRUE	-	class
Bacteria.Tenericutes.Mollicutes	source	Homo_sapiens	-3.11524641600121	0.243220029857755	3.20404083952482e-12	sourceHomo_sapiens	9.82572524120946e-12	27	18	-11.007635384298	TRUE	-	class
Bacteria.Firmicutes.Erysipelotrichia	source	Homo_sapiens	-3.25241134535145	0.288805172563401	4.59970947282055e-11	sourceHomo_sapiens	1.32241647343591e-10	27	27	-9.87863174936571	TRUE	-	class
Bacteria.Bacteroidetes.Bacteroidia	source	Canis_lupus	-2.10010281463795	0.204722282760013	2.9802388817011e-10	sourceCanis_lupus	8.06417579754416e-10	27	27	-9.0934400132558	TRUE	-	class
Bacteria.Proteobacteria.Deltaproteobacteria	source	Canis_lupus	-3.79567202804256	0.409389966925379	2.10805954933812e-09	sourceCanis_lupus	5.38726329275298e-09	27	21	-8.26863179857778	TRUE	-	class
Bacteria.Bacteroidetes.Bacteroidia	source	Homo_sapiens	1.47593598951461	0.204722282760013	1.89116294446389e-07	sourceHomo_sapiens	4.57860502343889e-07	27	27	6.33926681957333	TRUE	+	class
Bacteria.Firmicutes.Bacilli	source	Homo_sapiens	-0.771971202219541	0.10772808291379	2.09208101292405e-07	sourceHomo_sapiens	4.81178632972531e-07	27	27	-6.31769366601248	TRUE	-	class
Bacteria.Proteobacteria.Betaproteobacteria	source	Canis_lupus	2.4030659610793	0.342982521386571	3.03521413854681e-07	sourceCanis_lupus	6.64856430348349e-07	27	27	6.17727212648504	TRUE	+	class
Bacteria.Firmicutes.unassigned	source	Canis_lupus	-1.14831726586832	0.186327244794349	2.28577432803921e-06	sourceCanis_lupus	4.57154865607843e-06	27	7	-5.33993665357214	TRUE	-	class
Bacteria.Firmicutes.unassigned	source	Homo_sapiens	-1.14831726586832	0.186327244794349	2.28577432803921e-06	sourceHomo_sapiens	4.57154865607843e-06	27	7	-5.33993665357214	TRUE	-	class
Bacteria.Proteobacteria.Alphaproteobacteria	source	Homo_sapiens	1.88516552766685	0.319268777865858	4.30973807478547e-06	sourceHomo_sapiens	8.26033131000549e-06	27	27	5.08300253340339	TRUE	+	class
Bacteria.Firmicutes.Clostridia	source	Homo_sapiens	-0.133856609698421	0.02365973833575	7.95330676439303e-06	sourceHomo_sapiens	1.46340844464832e-05	27	27	-4.83463444318428	TRUE	-	class
Bacteria.Firmicutes.Tissierellia	source	Canis_lupus	-2.01494711024991	0.434222761817784	0.000103632794455071	sourceCanis_lupus	0.00018335032865128	27	7	-3.73671830723973	TRUE	-	class
Bacteria.Firmicutes.Negativicutes	source	Homo_sapiens	0.334937124347056	0.0739091734011196	0.000136618403174061	sourceHomo_sapiens	0.000232757279481733	27	27	3.63309672757837	TRUE	+	class
Bacteria.Tenericutes.Mollicutes	source	Canis_lupus	-1.09550034679056	0.243220029857755	0.000146551883229038	sourceCanis_lupus	0.00024076380816199	27	18	-3.61840879605559	TRUE	-	class
Bacteria.Firmicutes.Tissierellia	source	Homo_sapiens	-1.9038359991388	0.434222761817784	0.000198706442032434	sourceHomo_sapiens	0.000315189528741101	27	7	-3.50142821911871	TRUE	-	class
Bacteria.Firmicutes.Erysipelotrichia	source	Canis_lupus	0.966071130045182	0.288805172563401	0.00269775330952083	sourceCanis_lupus	0.0041365550745986	27	27	2.38336118904843	TRUE	+	class
Bacteria.Proteobacteria.Gammaproteobacteria	source	Canis_lupus	0.991658272865269	0.309577277591458	0.00381043770388805	sourceCanis_lupus	0.00565419788318873	27	27	2.2476289963288	TRUE	+	class
Bacteria.Cyanobacteria.Gloeobacteria	source	Canis_lupus	-0.423186648475641	0.175728096820716	0.0240740293732018	sourceCanis_lupus	0.0335577379141601	27	3	-1.47420732211356	TRUE	-	class
Bacteria.Cyanobacteria.Gloeobacteria	source	Homo_sapiens	-0.423186648475641	0.175728096820716	0.0240740293732017	sourceHomo_sapiens	0.0335577379141601	27	3	-1.47420732211356	TRUE	-	class
Bacteria.Fusobacteria.Fusobacteriia	source	Homo_sapiens	0.718465627390572	0.335752779142229	0.0427377302060962	sourceHomo_sapiens	0.0578216349847184	27	26	1.23790963222949	FALSE	+	class
Bacteria.Actinobacteria.Coriobacteriia	source	Canis_lupus	1.28312639194054	0.657618329270609	0.0628040769679189	sourceCanis_lupus	0.0825425011578362	27	27	1.08332237550477	FALSE	+	class
Bacteria.Cyanobacteria.unassigned	source	Canis_lupus	-0.231410376054081	0.125102480417057	0.0766992705499703	sourceCanis_lupus	0.0953558498729361	27	2	-1.02065265878363	FALSE	-	class
Bacteria.Cyanobacteria.unassigned	source	Homo_sapiens	-0.231410376054081	0.125102480417057	0.0766992705499703	sourceHomo_sapiens	0.0953558498729361	27	2	-1.02065265878363	FALSE	-	class
Bacteria.Proteobacteria.Betaproteobacteria	source	Homo_sapiens	0.615484431002325	0.342982521386571	0.0853397486831105	sourceHomo_sapiens	0.103306011563765	27	27	0.985874405363185	FALSE	+	class
Bacteria.Proteobacteria.Gammaproteobacteria	source	Homo_sapiens	-0.329857296063787	0.309577277591458	0.29724826836052	sourceHomo_sapiens	0.350600521655998	27	27	-0.455187442058103	FALSE	-	class
Bacteria.Proteobacteria.Alphaproteobacteria	source	Canis_lupus	-0.277748862984444	0.319268777865858	0.392944060584071	sourceCanis_lupus	0.451885669671682	27	27	-0.344971430921937	FALSE	-	class
Bacteria.Actinobacteria.Actinobacteria	source	Homo_sapiens	1.14067062914831	1.43808395383694	0.43544036668691	sourceHomo_sapiens	0.488542850429216	27	27	0.311097338007037	FALSE	+	class
Bacteria.Proteobacteria.Deltaproteobacteria	source	Homo_sapiens	-0.258787675760897	0.409389966925379	0.533278089695685	sourceHomo_sapiens	0.584066479190512	27	21	-0.233537718123148	FALSE	-	class
Bacteria.Actinobacteria.Actinobacteria	source	Canis_lupus	-0.724207542931489	1.43808395383694	0.619139338043885	sourceCanis_lupus	0.662335105814388	27	27	-0.178922225388844	FALSE	-	class
Bacteria.Actinobacteria.Coriobacteriia	source	Homo_sapiens	0.150201025173034	0.657618329270609	0.821268997977225	sourceHomo_sapiens	0.85859940697619	27	27	0.0662094158182122	FALSE	+	class
Bacteria.Deferribacteres.Deferribacteres	source	Homo_sapiens	3.39428050494895e-15	0.099437488441356	0.999999999999973	sourceHomo_sapiens	0.999999999999973	27	9	1.17165787186226e-14	FALSE	+	class
Bacteria.Proteobacteria.Epsilonproteobacteria	source	Homo_sapiens	3.39687185341653e-15	0.0739311914021903	0.999999999999964	sourceHomo_sapiens	0.999999999999973	27	9	1.17165787186226e-14	FALSE	+	class
Bacteria.Firmicutes.Bacilli.Lactobacillales	source	Canis_lupus	5.89540943778633	0.113456791234806	3.54076330854474e-26	sourceCanis_lupus	3.11587171151937e-24	27	27	23.5064204316561	TRUE	+	order
Bacteria.Firmicutes.Negativicutes.Selenomonadales	source	Homo_sapiens	-6.13839258683554	0.133020763256509	5.94893443553713e-25	sourceHomo_sapiens	2.61753115163634e-23	27	27	-22.5821081410137	TRUE	-	order
Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	source	Canis_lupus	-3.88136460275355	0.129987660104345	1.71695991021501e-20	sourceCanis_lupus	5.03641573663069e-19	27	27	-18.2978784277555	TRUE	-	order
Bacteria.Firmicutes.Negativicutes.Acidaminococcales	source	Homo_sapiens	2.23580955283742	0.0784356542905527	5.0799629913764e-20	sourceHomo_sapiens	1.11759185810281e-18	27	27	17.9517167708111	TRUE	+	order
Bacteria.Firmicutes.Negativicutes.Acidaminococcales	source	Canis_lupus	2.13956043777704	0.0784356542905526	1.4167624633141e-19	sourceCanis_lupus	2.49350193543281e-18	27	27	17.6031902903502	TRUE	+	order
Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	source	Homo_sapiens	-3.30764801553682	0.129987660104345	7.12268414334473e-19	sourceHomo_sapiens	1.04466034102389e-17	27	27	-16.9810248923255	TRUE	-	order
Bacteria.Firmicutes.Clostridia.Clostridiales	source	Canis_lupus	-0.564964566762262	0.023655694567753	3.08495351909322e-18	sourceCanis_lupus	3.87822728114576e-17	27	27	-16.4113667429481	TRUE	-	order
Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	source	Canis_lupus	7.00851388826622	0.335752779142229	6.77009232867884e-17	sourceCanis_lupus	7.44710156154672e-16	27	26	15.1280127233262	TRUE	+	order
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	source	Canis_lupus	1.48212851945771	0.0739311914021902	1.69737086907634e-16	sourceCanis_lupus	1.6596515164302e-15	27	9	14.7799830929114	TRUE	+	order
Bacteria.Synergistetes.Synergistia.Synergistales	source	Canis_lupus	-1.78299198641321	0.0954887961817602	8.46248445173358e-16	sourceCanis_lupus	6.76998756138686e-15	27	9	-14.1694121292508	TRUE	-	order
Bacteria.Synergistetes.Synergistia.Synergistales	source	Homo_sapiens	-1.78299198641321	0.0954887961817602	8.46248445173358e-16	sourceHomo_sapiens	6.76998756138686e-15	27	9	-14.1694121292508	TRUE	-	order
Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	source	Canis_lupus	-1.35699754643659	0.0741395682018263	1.32556367095266e-15	sourceCanis_lupus	8.97304638798722e-15	27	9	-14.0470600870696	TRUE	-	order
Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	source	Homo_sapiens	-1.35699754643659	0.0741395682018263	1.32556367095266e-15	sourceHomo_sapiens	8.97304638798722e-15	27	9	-14.0470600870696	TRUE	-	order
Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	source	Canis_lupus	1.54113574826358	0.099437488441356	5.31600447158076e-14	sourceCanis_lupus	3.34148852499362e-13	27	9	12.4760600259485	TRUE	+	order
Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales	source	Canis_lupus	-7.53324120880527	0.495220422079538	7.99598315752818e-14	sourceCanis_lupus	4.69097678574987e-13	27	16	-12.3287367162419	TRUE	-	order
Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	source	Canis_lupus	-1.65875383123009	0.115833704101845	2.967658476772e-13	sourceCanis_lupus	1.53619968209374e-12	27	9	-11.8135523290994	TRUE	-	order
Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	source	Homo_sapiens	-1.65875383123009	0.115833704101845	2.96765847677195e-13	sourceHomo_sapiens	1.53619968209374e-12	27	9	-11.8135523290994	TRUE	-	order
Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales	source	Homo_sapiens	-6.8672950444141	0.495220422079538	5.92513234148581e-13	sourceHomo_sapiens	2.89673136694862e-12	27	16	-11.5380917779275	TRUE	-	order
Bacteria.Firmicutes.Bacilli.Lactobacillales	source	Homo_sapiens	-1.43821375960927	0.113456791234806	3.98402245697456e-12	sourceHomo_sapiens	1.84523145375664e-11	27	27	-10.7339491510308	TRUE	-	order
Bacteria.Firmicutes.Negativicutes.Selenomonadales	source	Canis_lupus	1.59535727769416	0.133020763256509	1.26441310779346e-11	sourceCanis_lupus	5.56341767429123e-11	27	27	10.2546583341216	TRUE	+	order
Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	source	Homo_sapiens	-3.25241134535145	0.288805172563401	4.59970947282055e-11	sourceHomo_sapiens	1.92749730289623e-10	27	27	-9.71500622097511	TRUE	-	order
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	source	Homo_sapiens	3.96044396735846	0.353964738981335	5.24716313294922e-11	sourceHomo_sapiens	2.09886525317969e-10	27	17	9.67801544216031	TRUE	+	order
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	source	Canis_lupus	-2.10010281463795	0.204722282760013	2.9802388817011e-10	sourceCanis_lupus	1.14026531125955e-09	27	27	-8.94299408742652	TRUE	-	order
Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	source	Homo_sapiens	-3.79666479986315	0.377940083312403	4.49656020502245e-10	sourceHomo_sapiens	1.64873874184156e-09	27	19	-8.7828481569484	TRUE	-	order
Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales	source	Canis_lupus	2.01974606921065	0.208352593078127	8.98963768098526e-10	sourceCanis_lupus	3.16435246370681e-09	27	9	8.49971514827248	TRUE	+	order
Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales	source	Canis_lupus	2.47514902867258	0.337697586169131	1.43341483113692e-07	sourceCanis_lupus	4.85155789000187e-07	27	9	6.31411878214199	TRUE	+	order
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	source	Homo_sapiens	1.47593598951461	0.204722282760013	1.89116294446389e-07	sourceHomo_sapiens	6.16379033751193e-07	27	27	6.21015214231089	TRUE	+	order
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	source	Canis_lupus	2.4030659610793	0.342982521386571	3.03521413854681e-07	sourceCanis_lupus	9.53924443543283e-07	27	27	6.02048602262474	TRUE	+	order
Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales	source	Canis_lupus	-3.21807883325538	0.483728906488827	7.00559063950205e-07	sourceCanis_lupus	2.12583440095235e-06	27	21	-5.67247056932999	TRUE	-	order
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales	source	Homo_sapiens	2.33100377089533	0.369149103371829	1.58038949576321e-06	sourceHomo_sapiens	4.63580918757208e-06	27	24	5.33387444813768	TRUE	+	order
Bacteria.Firmicutes.unassigned.unassigned	source	Canis_lupus	-1.14831726586832	0.186327244794349	2.28577432803921e-06	sourceCanis_lupus	6.28587940210784e-06	27	7	-5.20163395540586	TRUE	-	order
Bacteria.Firmicutes.unassigned.unassigned	source	Homo_sapiens	-1.14831726586832	0.186327244794349	2.28577432803921e-06	sourceHomo_sapiens	6.28587940210784e-06	27	7	-5.20163395540586	TRUE	-	order
Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales	source	Homo_sapiens	1.24483890375355	0.208331358211383	3.62093057086523e-06	sourceHomo_sapiens	9.65581485564061e-06	27	7	5.01521107016263	TRUE	+	order
Bacteria.Firmicutes.Negativicutes.Veillonellales	source	Homo_sapiens	-0.916548606539295	0.160911972133808	7.22836383239169e-06	sourceHomo_sapiens	1.87087063897197e-05	27	27	-4.72795624067899	TRUE	-	order
Bacteria.Firmicutes.Clostridia.Clostridiales	source	Homo_sapiens	-0.133790075814213	0.023655694567753	7.98995422714536e-06	sourceHomo_sapiens	2.00890277711083e-05	27	27	-4.69704108086548	TRUE	-	order
Bacteria.Firmicutes.Tissierellia.Tissierellales	source	Canis_lupus	-2.01494711024991	0.434222761817784	0.000103632794455071	sourceCanis_lupus	0.000253324608667953	27	7	-3.59632261956761	TRUE	-	order
Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales	source	Canis_lupus	-0.974175558380496	0.211786154131342	0.000114893412252389	sourceCanis_lupus	0.000266068954689744	27	6	-3.57500579660043	TRUE	-	order
Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales	source	Homo_sapiens	-0.974175558380496	0.211786154131342	0.000114893412252389	sourceHomo_sapiens	0.000266068954689744	27	6	-3.57500579660043	TRUE	-	order
Bacteria.Firmicutes.Tissierellia.Tissierellales	source	Homo_sapiens	-1.9038359991388	0.434222761817784	0.000198706442032434	sourceHomo_sapiens	0.000448363253816773	27	7	-3.34836998777766	TRUE	-	order
Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales	source	Canis_lupus	1.12628778347586	0.258887954026111	0.000216640568008581	sourceCanis_lupus	0.000476609249618879	27	6	3.3218375334972	TRUE	+	order
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales	source	Canis_lupus	-0.810011557956422	0.218021034861119	0.00107827570215014	sourceCanis_lupus	0.00221574270764495	27	5	-2.65448067135221	TRUE	-	order
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales	source	Homo_sapiens	-0.810011557956423	0.218021034861119	0.00107827570215014	sourceHomo_sapiens	0.00221574270764495	27	5	-2.65448067135221	TRUE	-	order
Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales	source	Canis_lupus	-0.68157707713309	0.183988058268868	0.00110787135382247	sourceCanis_lupus	0.00221574270764495	27	5	-2.65448067135221	TRUE	-	order
Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales	source	Homo_sapiens	-0.68157707713309	0.183988058268868	0.00110787135382247	sourceHomo_sapiens	0.00221574270764495	27	5	-2.65448067135221	TRUE	-	order
Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	source	Canis_lupus	0.966071130045182	0.288805172563401	0.00269775330952083	sourceCanis_lupus	0.00516091937473549	27	27	2.28727292554175	TRUE	+	order
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales	source	Homo_sapiens	1.27371822751387	0.379844129500482	0.00264408829753444	sourceHomo_sapiens	0.00516091937473549	27	11	2.28727292554175	TRUE	+	order
Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	source	Canis_lupus	-1.2246018928453	0.377940083312403	0.00348394391604101	sourceCanis_lupus	0.00652312903428954	27	19	-2.18554403059515	TRUE	-	order
Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales	source	Canis_lupus	-0.566728260440811	0.187004438078439	0.00577044889164529	sourceCanis_lupus	0.0103632551523426	27	4	-1.98450380900657	TRUE	-	order
Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales	source	Homo_sapiens	-0.566728260440811	0.187004438078439	0.00577044889164533	sourceHomo_sapiens	0.0103632551523426	27	4	-1.98450380900657	TRUE	-	order
Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	source	Canis_lupus	-0.609035825804859	0.20831832576423	0.00743580992503051	sourceCanis_lupus	0.0128304171255428	27	4	-1.89175922418807	TRUE	-	order
Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	source	Homo_sapiens	-0.609035825804859	0.20831832576423	0.00743580992503049	sourceHomo_sapiens	0.0128304171255428	27	4	-1.89175922418807	TRUE	-	order
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales	source	Canis_lupus	2.04840597021512	0.803547461514993	0.0176076550630029	sourceCanis_lupus	0.0297975701066202	27	27	1.52581914975975	TRUE	+	order
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales	source	Canis_lupus	0.954555988740039	0.379844129500482	0.0190921241854382	sourceCanis_lupus	0.0317001307229917	27	11	1.49893894686247	TRUE	+	order
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	source	Canis_lupus	-0.879633092159718	0.353964738981335	0.0203167918706233	sourceCanis_lupus	0.0331088460113861	27	17	-1.48005595605316	TRUE	-	order
Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales	source	Canis_lupus	-0.389627311947074	0.160599164983604	0.0231464028614375	sourceCanis_lupus	0.036372918782259	27	3	-1.43922184713976	TRUE	-	order
Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales	source	Homo_sapiens	-0.389627311947074	0.160599164983604	0.0231464028614376	sourceHomo_sapiens	0.036372918782259	27	3	-1.43922184713976	TRUE	-	order
Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales	source	Canis_lupus	-0.423186648475641	0.175728096820716	0.0240740293732018	sourceCanis_lupus	0.0365261135317545	27	3	-1.43739653533002	TRUE	-	order
Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales	source	Homo_sapiens	-0.423186648475641	0.175728096820716	0.0240740293732017	sourceHomo_sapiens	0.0365261135317545	27	3	-1.43739653533002	TRUE	-	order
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales	source	Canis_lupus	0.848090046405203	0.369149103371829	0.0306190222886252	sourceCanis_lupus	0.0456690501932037	27	24	1.3403780205835	TRUE	+	order
Bacteria.Firmicutes.Negativicutes.Veillonellales	source	Canis_lupus	-0.362132618879888	0.160911972133808	0.0338523390184556	sourceCanis_lupus	0.0496500972270681	27	27	-1.30407989671265	TRUE	-	order
Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	source	Homo_sapiens	0.718465627390572	0.335752779142229	0.0427377302060962	sourceHomo_sapiens	0.0616544304612536	27	26	1.21003570972941	FALSE	+	order
