order	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Kineosporiales	5	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0
Kiritimatiellales	2	5	0	2	0	2	0	0	0	0	1	0	0	4	1	0	1	1
Kitasatosporales	2037	5905	320	331	343	390	126	62	43	64	326	391	426	1139	237	300	771	318
Koleobacterales	31	40	0	3	0	3	2	0	0	1	6	3	10	7	5	3	11	9
Kordiimonadales	95	148	22	17	15	31	0	3	2	2	22	18	36	42	28	25	59	32
Kosmotogales	70	55	1	1	5	6	1	0	0	1	4	5	5	16	4	3	5	7
Ktedonobacterales	9	3	0	1	2	0	0	0	0	0	2	0	2	2	0	2	0	1
Lactobacillales	11353	16002	1171	1572	1751	1615	470	716	486	571	1693	1641	2744	4301	1985	2098	4985	2262
Legionellales	324	296	29	30	46	33	23	33	24	33	55	28	73	104	47	52	126	41
Lentisphaerales	6	1	1	1	1	2	7	3	3	7	2	1	1	2	0	0	1	0
Leptolyngbyales	79	141	22	30	23	25	7	4	1	5	17	13	26	57	22	20	46	19
Leptospirales	159	189	26	18	22	13	6	6	3	6	38	26	52	68	30	44	75	43
Limisphaerales	6	1	1	1	2	0	1	2	1	2	0	2	5	3	2	1	5	0
Limnochordales	6	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Maricaulales	16	71	1	4	2	2	0	0	0	1	6	2	1	7	4	5	9	5
Marinilabiliales	554	648	69	77	76	90	103	151	101	109	73	92	142	174	127	114	334	131
Mariprofundales	9	66	0	2	3	2	1	0	1	0	0	2	1	12	2	6	5	2
Mesoaciditogales	33	24	3	2	5	2	0	1	0	0	4	6	5	9	6	5	9	9
Methanobacteriales	135	219	16	15	18	9	10	23	12	30	27	27	50	58	34	39	76	38
Methanobavirales	2	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	2
Methanocellales	16	121	3	7	11	8	0	0	0	1	9	8	5	28	8	4	12	9
Methanococcales	77	52	11	12	10	12	9	12	13	11	15	10	19	19	18	17	42	18
Methanomassiliicoccales	16	66	3	5	4	4	1	0	0	0	7	3	7	14	3	2	18	4
Methanomicrobiales	93	179	21	33	24	53	4	2	3	1	26	27	45	83	42	34	97	44
Methanonatronarchaeales	1	4	0	1	0	0	5	6	2	10	0	0	2	0	0	1	6	3
Methanosarcinales	142	353	35	37	34	38	9	11	10	12	43	43	77	109	48	57	144	56
Methanotrichales	12	57	11	10	11	6	3	1	0	4	5	16	14	26	18	5	41	8
Methylococcales	116	335	23	35	30	48	21	19	12	20	32	20	39	93	22	33	74	32
Micrococcales	3050	14520	732	616	614	668	139	79	67	69	608	849	863	2109	456	533	1439	604
Micromonosporales	463	1696	113	74	76	89	36	21	14	17	76	180	104	263	68	82	175	92
Miltoncostaeales	11	119	5	2	3	2	5	0	1	0	1	5	1	4	0	0	0	1
missing	541	956	62	92	102	67	62	79	53	72	89	71	148	224	107	89	229	99
Mononegavirales	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moorellales	73	74	6	9	13	9	7	6	5	2	3	8	13	16	4	7	11	4
Moraxellales	613	720	80	105	96	123	60	90	67	70	125	93	154	233	148	141	327	168
Mycobacteriales	2299	11341	323	340	453	490	111	48	54	74	426	455	560	1536	328	392	1048	449
Mycoplasmatales	161	204	16	24	30	19	18	36	23	25	37	33	73	75	37	49	102	49
Mycoplasmoidales	241	315	32	31	41	40	53	90	87	84	64	66	105	132	92	102	226	98
Myxococcales	181	923	30	30	46	42	5	4	2	4	50	49	59	145	41	33	95	41
Nakamurellales	34	107	4	0	1	3	0	0	1	0	3	15	2	12	0	2	8	2
Nannocystales	42	176	7	11	11	7	0	0	0	0	9	8	11	31	8	12	21	6
Nanobdellales	8	0	0	0	0	0	0	1	0	0	1	0	1	4	1	0	2	0
Natranaerobiales	37	71	6	4	6	6	0	6	1	4	14	13	26	32	9	17	24	9
Natrialbales	70	144	5	19	15	21	4	2	4	3	7	11	15	40	11	6	27	17
Nautiliales	175	105	15	10	10	9	14	10	13	16	9	15	18	29	12	10	32	19
Neisseriales	335	639	66	80	86	118	64	74	62	77	65	70	122	164	66	71	185	79
Nevskiales	26	19	5	8	8	6	3	3	4	2	6	6	3	9	3	4	9	2
Nitrosomonadales	289	340	25	32	34	39	28	52	37	43	33	26	40	72	26	29	74	27
Nitrosopumilales	33	51	2	6	5	5	0	1	1	1	7	7	10	19	5	13	21	12
Nitrososphaerales	43	14	1	2	1	3	0	1	0	0	1	6	3	5	2	1	4	1
Nitrospirales	7	20	1	5	2	5	3	3	6	4	6	4	9	13	5	6	2	2
Nodosilineales	4	16	0	4	1	2	0	0	0	0	2	1	1	4	2	0	1	2
Nostocales	167	338	32	47	46	57	22	24	33	33	65	50	98	163	73	69	179	80
Oceanospirillales	540	1132	110	148	163	131	68	55	29	80	124	99	201	344	119	110	353	146
Oculatellales	4	9	0	1	2	1	0	0	0	0	3	2	2	5	3	10	4	3
Opitutales	34	318	12	6	12	14	0	6	3	2	8	15	14	33	9	11	29	15
Orbales	96	90	5	7	10	13	18	15	12	12	13	12	19	30	15	11	33	21
Oscillatoriales	99	202	29	20	23	28	2	2	5	7	24	15	35	47	22	29	55	29
Parachlamydiales	68	38	4	4	6	6	2	7	1	4	14	10	14	38	10	11	29	12
Parvularculales	45	233	8	13	14	23	8	9	1	7	20	6	23	53	7	14	26	12
Pasteurellales	628	1121	106	91	132	107	68	82	52	64	116	115	209	362	166	178	378	172
Petrotogales	79	149	12	19	17	25	28	44	35	49	14	23	50	49	40	33	70	27
Phototrophicales	5	9	0	6	3	11	0	0	0	0	3	2	6	6	1	2	6	2
Phycisphaerales	8	45	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0
Pimascovirales	17	46	11	9	8	6	2	1	4	4	8	10	16	15	15	13	34	14
Pirellulales	148	322	42	33	27	31	11	20	6	14	23	28	36	74	10	20	46	15
Planctomycetales	168	152	15	6	13	11	8	8	7	13	7	10	11	27	10	8	30	4
Pleurocapsales	9	13	1	1	1	0	2	3	2	2	1	0	2	0	0	1	2	1
Polyangiales	138	739	27	40	47	52	7	2	2	1	47	55	51	143	28	33	110	29
Primates	23419	6517	372	502	570	513	998	1096	891	1286	935	983	1476	1957	1241	1469	3088	1327
Propionibacteriales	1689	4662	495	148	150	214	59	48	42	38	191	561	236	501	111	160	382	162
Pseudanabaenales	113	37	0	4	2	1	2	1	0	0	7	7	5	13	2	3	9	3
Pseudomonadales	1211	3156	192	268	280	269	154	121	68	101	194	190	333	624	204	232	584	266
Pseudonocardiales	545	2417	117	103	122	122	29	18	16	10	119	175	147	381	86	128	260	103
Puniceicoccales	11	86	1	2	1	5	3	2	2	2	3	1	2	6	2	3	7	1
Rhodobacterales	768	2142	182	177	177	203	61	45	32	42	130	160	213	419	118	126	326	134
Rhodocyclales	159	711	36	36	35	35	19	30	36	26	43	38	37	96	26	33	97	28
Rhodospirillales	562	2194	173	194	183	138	68	34	18	40	196	226	268	449	207	190	549	244
Rhodothermales	35	52	7	8	9	3	11	8	4	6	4	5	10	13	3	6	9	2
Rickettsiales	100	98	15	20	22	15	10	29	15	25	28	24	42	54	38	43	96	47
Rubrobacterales	39	268	6	17	13	15	0	2	1	5	6	20	19	51	6	13	35	22
Salinisphaerales	15	18	2	5	3	3	0	1	1	1	4	6	4	11	5	3	4	2
Saprospirales	112	85	11	7	5	8	2	8	2	4	12	12	13	35	14	21	27	23
Sedimentisphaerales	4	4	0	2	1	2	0	1	0	0	2	1	5	5	2	4	3	2
Selenomonadales	2554	4398	944	1900	5744	2092	30072	76833	37114	44149	3727	4489	12468	6185	2299	3611	16507	2627
Silvanigrellales	18	36	0	3	4	3	1	6	5	5	7	4	10	13	10	7	25	7
Sneathiellales	10	31	0	1	0	1	1	1	1	0	2	0	0	6	0	0	0	0
Solirubrobacterales	61	350	92	19	22	37	3	0	2	1	21	52	27	94	15	23	54	21
Sphaerobacterales	8	8	2	4	5	4	1	0	0	0	2	3	4	4	0	2	8	0
Sphingobacteriales	774	1040	119	149	156	151	95	140	100	132	176	164	283	388	217	200	513	229
Sphingomonadales	699	2025	150	195	221	220	87	38	26	48	166	143	232	463	117	137	333	146
Spirochaetales	1118	1673	164	209	240	201	48	57	50	53	176	178	295	473	153	206	475	243
Sporichthyales	7	13	2	1	2	0	1	0	0	0	2	0	1	1	2	2	3	0
Streptosporangiales	293	1312	49	55	47	72	28	2	5	10	44	53	49	148	30	32	86	46
Sulfolobales	44	74	5	13	3	3	6	8	6	7	10	14	27	25	15	14	37	19
Synechococcales	174	572	41	47	57	56	37	45	33	46	47	37	72	128	51	47	154	61
Synergistales	147	240	25	35	37	28	14	12	5	10	20	18	37	74	22	20	70	24
Syntrophales	13	24	2	0	1	4	0	0	0	2	3	1	7	2	1	2	6	3
Syntrophobacterales	21	97	1	2	6	4	1	1	2	0	3	2	3	16	4	3	6	3
Tepidiformales	7	34	1	3	1	3	0	0	1	0	0	1	1	3	0	0	2	1
Tepidisphaerales	8	45	5	0	2	1	2	0	2	4	0	1	1	5	2	2	7	2
Terriglobales	102	239	29	30	38	18	4	8	6	8	14	16	24	40	16	14	48	21
Thermales	20	97	0	3	2	3	0	0	1	0	0	2	3	6	3	1	4	0
Thermoanaerobacterales	416	778	68	89	91	102	31	46	26	44	91	91	192	262	121	134	330	133
Thermococcales	12	178	3	24	11	12	0	0	0	0	15	12	22	43	17	11	41	14
Thermodesulfobacteriales	32	235	37	37	47	47	5	15	5	10	30	26	47	84	41	49	105	48
Thermodesulfobiales	41	24	2	1	2	3	3	8	2	4	6	5	14	19	9	11	9	9
Thermodesulfovibrionales	59	62	5	4	7	4	0	3	1	1	13	15	13	26	9	12	23	13
Thermoflexales	4	17	0	1	1	0	0	0	0	0	0	1	2	2	0	0	0	0
Thermoleophilales	6	25	2	0	5	1	4	2	1	1	0	1	1	2	1	0	4	2
Thermomicrobiales	0	38	1	2	3	3	3	2	5	1	2	4	3	12	5	1	9	3
Thermoplasmatales	47	15	10	11	9	10	0	1	1	0	11	9	18	22	6	12	24	4
Thermosediminibacterales	105	158	20	17	20	40	6	4	2	3	29	25	49	74	28	35	73	32
Thermotogales	32	89	10	9	17	11	16	24	8	22	23	17	28	59	19	18	52	21
Thermotomaculales	15	2	2	6	4	5	2	4	1	3	5	3	9	17	3	1	3	6
Thiohalobacterales	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiohalomonadales	1	9	0	1	1	1	1	1	1	1	2	1	0	0	0	1	2	0
Thiotrichales	215	314	56	53	45	64	40	50	29	45	63	54	97	142	85	86	174	65
Tissierellales	1424	2185	206	274	266	244	133	252	164	221	374	391	547	851	450	472	1115	512
Trueperales	2	8	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
Veillonellales	346	759	67	86	85	109	22	11	7	8	90	78	131	217	88	75	222	111
Verrucomicrobiales	222	315	45	75	108	108	5	10	7	12	58	57	105	135	73	60	155	75
Vibrionales	1194	1642	101	137	145	162	79	103	67	104	144	117	268	385	180	176	448	239
Vicinamibacterales	11	31	29	9	4	3	0	1	6	0	1	8	4	6	3	1	8	2
Vulcanimicrobiales	2	9	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Xanthomonadales	435	1923	126	158	184	197	105	54	35	45	146	137	242	560	125	124	386	128
