species	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
[Ruminococcus]_lactaris	10448	11171	944	1205	1216	1247	35	33	19	33	1256	1090	1810	3161	1334	1333	3391	1529
[Ruminococcus]_torques	25064	39651	2385	2668	2983	2882	104	108	34	82	3622	3149	5363	9016	3827	4147	10013	4873
Abiotrophia_defectiva	11	16	4	12	13	10	0	1	0	0	3	7	5	9	6	1	14	1
Abyssalbus_ytuae	11	34	4	3	5	5	4	4	5	2	3	4	10	15	5	5	16	6
Abyssibius_alkaniclasticus	15	111	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Abyssicoccus_albus	14	30	1	0	1	0	0	0	1	0	0	0	2	2	3	4	4	2
Acaryochloris_marina	5	11	1	1	0	0	0	0	0	1	2	1	1	4	1	2	4	1
Aceticella_autotrophica	47	127	14	15	13	18	7	10	5	8	11	13	29	28	14	14	45	17
Acetivibrio_clariflavus	127	322	35	42	28	39	4	6	10	6	34	32	60	93	53	41	120	44
Acetivibrio_saccincola	35	40	18	16	21	20	3	1	3	2	16	13	28	51	23	24	40	22
Acetivibrio_thermocellus	119	199	29	40	39	39	2	1	5	5	47	41	62	112	51	44	105	56
Acetoanaerobium_sticklandii	117	158	8	14	22	14	7	9	4	8	26	10	44	47	21	24	52	20
Acetobacter_aceti	0	0	0	1	0	1	0	4	1	0	0	2	1	0	1	1	2	1
Acetobacter_ghanensis	0	2	0	4	2	0	0	0	2	3	0	1	3	3	0	0	1	2
Acetobacter_pasteurianus	3	9	3	3	3	3	0	0	0	1	1	9	2	5	2	3	9	5
Acetobacter_persici	7	2	1	1	1	0	2	0	1	0	2	0	3	2	0	1	2	1
Acetobacter_tropicalis	0	5	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0
Acetobacter_vaccinii	2	12	1	1	0	0	0	0	0	0	1	2	1	4	0	0	0	1
Acetobacterium_sp._KB-1	88	86	6	7	8	9	2	2	0	0	3	3	19	44	16	14	20	14
Acetobacterium_wieringae	280	435	17	26	31	26	4	6	1	3	38	45	50	95	25	38	85	35
Acetobacterium_woodii	39	82	3	5	9	3	2	3	3	4	8	7	16	18	7	8	21	14
Acetohalobium_arabaticum	13	41	1	0	1	1	1	0	1	0	3	0	3	5	2	3	4	3
Acetomicrobium_mobile	4	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Acholeplasma_hippikon	4	18	0	3	1	3	0	3	1	0	1	1	1	2	1	2	2	3
Acholeplasma_laidlawii	11	76	8	11	5	7	0	0	0	0	13	6	20	23	18	22	51	22
Achromobacter_deleyi	5	2	0	0	1	1	0	0	0	0	0	0	0	2	1	1	4	1
Achromobacter_denitrificans	6	18	0	1	1	1	0	0	0	0	0	1	0	4	1	0	2	2
Achromobacter_insolitus	2	7	4	0	0	0	2	0	0	1	0	1	2	0	0	0	1	0
Achromobacter_mucicolens	7	106	6	11	10	11	1	0	0	0	12	8	14	59	10	11	26	13
Achromobacter_pestifer	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_ruhlandii	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_sp._AONIH1	4	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Achromobacter_sp._B7	3	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Achromobacter_sp._MFA1_R4	6	24	2	1	4	3	0	0	0	0	0	3	1	17	4	4	8	2
Achromobacter_sp._R39	13	80	1	4	1	5	2	1	3	2	3	1	8	10	3	2	8	5
Achromobacter_spanius	8	6	2	2	5	5	2	0	1	1	3	2	3	1	0	0	2	0
Achromobacter_xylosoxidans	19	112	4	1	2	3	1	2	0	1	0	3	3	5	4	1	4	0
Acidaminococcus_fermentans	68	114	13	11	10	22	3	3	0	2	15	14	27	36	18	18	36	12
Acidaminococcus_intestini	33	75	1	4	8	7	1	2	1	2	4	6	5	12	4	10	14	7
Acidianus_brierleyi	0	1	0	0	0	0	0	1	0	0	1	0	1	3	3	0	5	1
Acidianus_manzaensis	2	0	0	0	0	0	0	0	0	1	0	1	2	0	2	2	0	0
Acidianus_sp._HS-5	18	31	0	1	0	0	0	0	0	0	1	1	2	2	1	1	3	2
Acidianus_sulfidivorans	1	1	0	2	0	0	2	2	4	5	0	1	4	0	0	2	4	0
Acidibrevibacterium_fodinaquatile	4	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Acididesulfobacillus_acetoxydans	37	41	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	1
Acidihalobacter_aeolianus	8	41	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1
Acidihalobacter_ferrooxydans	5	39	4	4	9	9	0	0	1	0	7	1	6	34	4	4	19	10
Acidihalobacter_yilgarnensis	1	2	0	1	0	0	3	2	2	2	0	1	0	0	0	0	0	0
Acidilutibacter_cellobiosedens	159	281	14	23	29	23	6	20	14	13	22	25	32	44	28	32	66	25
Acidiphilium_cryptum	0	0	1	2	3	0	6	0	0	1	1	2	2	2	1	0	0	1
Acidiphilium_multivorum	8	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acidipropionibacterium_acidipropionici	20	26	2	1	1	0	0	0	0	0	0	1	0	1	1	0	2	0
Acidipropionibacterium_jensenii	52	290	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acidipropionibacterium_virtanenii	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acidisoma_sp._PAMC_29798	5	4	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0
Acidithiobacillus_ferridurans	6	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
Acidithiobacillus_ferriphilus	2	38	0	3	0	1	0	0	0	0	1	0	0	2	1	0	0	0
Acidithiobacillus_ferrivorans	5	6	0	1	0	0	0	0	0	0	0	2	2	3	1	0	2	1
Acidocella_sp._MX-AZ03	2	1	1	3	2	1	2	1	1	0	1	0	2	4	0	0	4	1
Acidovorax_carolinensis	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Acidovorax_radicis	7	42	2	2	1	1	0	0	1	0	0	3	2	1	3	2	4	3
Acidovorax_sp._5MLIR	10	30	4	1	3	9	0	0	0	0	3	9	1	16	7	9	10	2
Acidovorax_sp._GBBC_1281	11	102	1	1	4	4	0	0	0	0	5	3	5	23	1	5	10	10
Acidovorax_sp._HDW3	6	7	1	0	0	1	1	1	0	1	0	0	0	3	0	1	0	0
Acidovorax_sp._JMULE5	11	19	0	1	3	1	0	0	0	0	2	5	9	2	1	0	12	1
Acidovorax_sp._KKS102	2	1	3	5	5	0	7	2	0	1	0	1	6	4	2	2	3	1
Acidovorax_sp._NCPPB_3576	4	2	5	5	6	9	5	1	5	4	1	2	8	2	4	2	7	1
Acidovorax_sp._RAC01	2	19	1	2	1	0	1	0	0	2	2	1	3	2	1	0	3	1
Acidovorax_sp._T1	1	0	2	2	0	0	0	1	0	0	3	4	4	6	1	3	0	2
Acidovorax_temperans	10	7	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Acinetobacter_baumannii	17	6	1	2	1	5	4	7	12	3	8	8	3	15	7	9	15	9
Acinetobacter_baylyi	55	9	1	0	0	1	0	0	0	0	4	1	1	9	3	3	7	4
Acinetobacter_bereziniae	4	0	1	1	1	3	2	5	1	3	0	0	0	0	2	1	2	1
Acinetobacter_bouvetii	6	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
Acinetobacter_calcoaceticus	4	4	0	0	0	1	2	4	5	6	0	1	3	0	0	0	3	2
Acinetobacter_chinensis	0	27	1	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0
Acinetobacter_colistiniresistens	6	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acinetobacter_cumulans	5	2	1	0	1	1	0	0	1	0	0	1	1	4	0	1	2	0
Acinetobacter_defluvii	17	59	3	4	2	2	1	0	0	3	2	4	5	4	4	2	6	5
Acinetobacter_equi	9	2	0	1	0	0	1	3	1	0	0	1	3	1	2	0	0	1
Acinetobacter_haemolyticus	3	3	2	3	3	1	1	0	0	0	4	2	4	3	4	9	12	5
Acinetobacter_indicus	6	3	0	1	0	1	8	6	5	3	0	0	3	2	0	1	3	0
Acinetobacter_johnsonii	6	14	1	2	2	2	2	5	5	2	6	3	3	7	0	5	8	7
Acinetobacter_junii	37	53	2	2	1	0	0	0	0	0	1	1	0	1	1	3	0	2
Acinetobacter_lanii	6	6	0	0	2	1	0	0	0	0	3	1	5	4	1	1	9	6
Acinetobacter_larvae	5	16	4	2	2	0	0	0	0	0	4	2	0	7	4	0	9	9
Acinetobacter_lwoffii	19	7	4	3	7	13	2	0	1	0	4	3	8	10	4	1	6	3
Acinetobacter_nosocomialis	8	3	0	0	3	2	0	2	0	2	1	0	1	0	0	0	2	2
Acinetobacter_pittii	19	27	2	6	1	1	2	2	4	7	5	2	1	1	5	3	3	6
Acinetobacter_radioresistens	6	2	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	0
Acinetobacter_schindleri	1	3	0	1	0	0	0	1	0	0	1	0	1	6	1	0	2	1
Acinetobacter_seifertii	6	4	0	3	1	1	1	1	2	1	2	0	1	0	2	1	3	1
Acinetobacter_shaoyimingii	4	1	0	1	1	0	0	0	1	0	0	1	2	2	4	3	1	2
Acinetobacter_soli	42	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Acinetobacter_sp._10FS3-1	19	10	2	1	1	1	0	0	0	0	1	0	1	1	1	1	6	2
Acinetobacter_sp._ASP199	1	0	0	1	0	0	1	3	0	3	0	0	0	1	0	0	0	1
Acinetobacter_sp._C16S1	0	2	0	0	0	1	0	0	0	0	0	4	0	0	0	1	2	1
Acinetobacter_sp._C32I	40	6	0	0	0	0	1	0	0	1	0	0	1	0	1	1	3	0
Acinetobacter_sp._CS-2	1	18	1	0	0	1	0	2	0	0	0	2	2	0	1	1	0	1
Acinetobacter_sp._F9	3	3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0
Acinetobacter_sp._KCTC_92772	17	17	0	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._Marseille-Q1620	1	2	0	2	0	2	3	8	3	3	0	1	0	1	2	1	4	0
Acinetobacter_sp._MYb10	3	9	2	3	1	2	0	0	0	0	7	3	2	10	7	8	7	3
Acinetobacter_sp._NyZ410	2	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	2	0
Acinetobacter_sp._PK01	1	0	0	1	0	0	0	1	0	0	7	3	1	7	6	7	7	3
Acinetobacter_sp._SCLZS86	0	2	0	0	0	0	0	0	0	0	0	1	2	2	1	1	3	5
Acinetobacter_sp._TGL-Y2	2	4	0	0	0	0	2	0	0	0	1	2	0	1	1	1	0	1
Acinetobacter_sp._TTH0-4	5	1	0	0	1	2	2	0	0	1	3	2	2	2	1	0	3	2
Acinetobacter_sp._WY4	3	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1
Acinetobacter_sp._Z1	4	6	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0
Acinetobacter_towneri	3	4	1	7	3	1	2	2	1	1	2	4	2	3	1	3	6	0
Acinetobacter_venetianus	11	6	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Acinetobacter_vivianii	8	44	0	4	1	4	1	1	0	2	4	4	9	7	4	8	17	8
Acinetobacter_wanghuae	16	9	2	0	0	2	1	1	1	1	0	0	0	2	3	1	3	2
Acinetobacter_wuhouensis	2	1	0	0	0	0	0	4	0	1	0	0	2	0	1	3	3	2
Actinacidiphila_bryophytorum	5	16	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Actinoalloteichus_hoggarensis	7	59	3	5	7	3	0	1	0	1	4	1	6	11	2	3	15	6
Actinoalloteichus_hymeniacidonis	5	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Actinobacillus_arthritidis	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_delphinicola	13	45	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0
Actinobacillus_equuli	0	9	1	1	1	4	4	3	3	1	0	1	1	7	1	2	4	1
Actinobacillus_indolicus	4	54	17	6	12	8	1	2	0	1	9	7	21	27	19	19	48	20
Actinobacillus_pleuropneumoniae	1	4	0	0	2	0	1	2	1	0	1	0	1	1	1	0	2	1
Actinobacillus_porcitonsillarum	2	1	1	1	1	1	0	2	1	2	0	0	0	0	0	0	1	0
Actinobacillus_suis	0	0	0	0	0	1	1	4	2	3	0	0	2	0	0	0	2	1
Actinobaculum_sp._313	12	2	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1
Actinocatenispora_thailandica	6	2	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0
Actinokineospora_sp._UTMC_2448	17	52	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Actinomadura_graeca	6	20	1	2	1	1	0	0	0	0	1	4	0	0	1	0	1	0
Actinomadura_madurae	9	24	4	5	4	9	0	0	0	0	2	3	2	7	2	0	4	3
Actinomadura_sp._NAK00032	26	184	3	9	6	14	0	0	0	0	3	2	4	32	7	3	15	8
Actinomadura_sp._WMMA1423	7	8	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0
Actinomadura_sp._WMMB_499	8	10	1	2	0	1	2	0	0	0	1	1	0	0	0	0	0	0
Actinomadura_verrucosospora	4	46	1	0	0	2	0	0	0	0	0	2	1	5	1	0	3	1
Actinomarinicola_tropica	3	33	17	10	9	11	1	0	1	0	8	6	10	26	9	11	25	8
Actinomyces_capricornis	171	2631	7	4	5	8	1	1	0	0	32	16	37	137	17	16	31	17
Actinomyces_faecalis	13	12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Actinomyces_gaoshouyii	6	60	0	2	0	0	0	0	0	0	2	0	1	3	2	0	1	1
Actinomyces_howellii	28	179	5	7	7	9	1	1	0	0	13	3	17	37	8	12	22	4
Actinomyces_israelii	10	75	3	0	4	0	0	1	0	0	0	1	0	4	0	0	1	1
Actinomyces_lilanjuaniae	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_marmotae	4	7	2	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1
Actinomyces_massiliensis	13	97	8	4	5	2	2	2	1	1	6	3	7	19	3	5	14	5
Actinomyces_naeslundii	9	22	1	0	0	1	0	0	1	0	0	2	2	6	0	0	2	1
Actinomyces_oris	4	32	4	8	2	4	0	0	1	0	7	8	7	28	6	6	17	4
Actinomyces_pacaensis	17	82	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	2
Actinomyces_procaprae	8	106	7	5	7	11	0	0	0	0	8	6	8	37	6	4	12	5
Actinomyces_qiguomingii	51	161	3	1	6	8	2	1	1	1	6	5	11	15	5	5	12	5
Actinomyces_radicidentis	11	38	2	1	2	3	0	0	0	0	1	1	1	6	0	3	2	0
Actinomyces_respiraculi	12	36	6	10	12	20	0	0	0	0	7	2	27	34	11	8	20	9
Actinomyces_slackii	10	44	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0
Actinomyces_sp._432	3	12	1	11	3	2	2	1	1	1	2	2	7	15	3	1	11	3
Actinomyces_sp._Chiba101	72	176	3	6	14	7	8	3	0	3	8	6	12	32	10	2	14	8
Actinomyces_sp._HMT897	3	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Actinomyces_sp._oral_taxon_169	4	82	0	0	1	0	0	0	0	0	0	2	0	2	1	1	4	1
Actinomyces_sp._oral_taxon_171	1	7	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Actinomyces_sp._oral_taxon_414	7	31	1	1	0	1	0	0	0	0	0	2	0	1	1	0	1	0
Actinomyces_sp._Z16	5	11	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0
Actinomyces_sp._zg-332	10	17	1	0	0	0	2	4	3	2	0	0	1	1	1	1	0	0
Actinomyces_trachealis	7	38	0	1	0	2	0	0	0	0	1	0	1	7	2	0	3	1
Actinomyces_urogenitalis	19	46	1	3	5	6	0	0	0	0	5	4	5	16	1	5	16	8
Actinomyces_viscosus	8	27	4	1	5	3	1	0	0	0	3	6	4	10	4	2	7	3
Actinomyces_weissii	57	224	0	1	3	1	0	1	0	0	1	2	0	2	0	0	0	1
Actinomyces_wuliandei	5	9	4	2	1	0	5	2	1	1	0	1	4	5	0	0	2	2
Actinoplanes_derwentensis	6	16	4	7	6	2	3	4	1	4	2	8	10	7	3	1	6	0
Actinoplanes_friuliensis	13	4	3	0	0	0	0	0	0	0	1	11	0	1	0	0	1	1
Actinoplanes_ianthinogenes	7	8	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	1
Actinoplanes_missouriensis	5	5	3	1	0	0	0	0	0	0	0	8	1	1	0	0	0	0
Actinoplanes_sichuanensis	14	230	12	8	14	24	2	1	0	1	17	25	21	60	18	15	30	27
Actinoplanes_sp._L3-i22	13	113	2	0	2	1	0	0	0	0	0	4	0	3	0	0	1	1
Actinoplanes_sp._N902-109	3	11	1	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0
Actinoplanes_sp._NRRL_3884	8	17	2	2	2	4	0	0	0	1	1	5	1	6	1	3	5	1
Actinoplanes_sp._OR16	7	19	3	0	1	1	0	0	0	0	0	11	1	1	0	0	1	1
Actinoplanes_teichomyceticus	3	13	2	0	0	1	3	2	1	1	1	9	0	8	2	0	1	0
Actinopolymorpha_singaporensis	7	2	8	3	4	3	6	0	2	2	3	4	8	4	1	0	1	4
Actinopolyspora_erythraea	6	15	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Actinosynnema_pretiosum	1	5	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
Actinotalea_sp._JY-7876	3	6	3	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Actinotignum_schaalii	39	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinotignum_urinale	7	6	1	4	1	3	3	3	2	3	0	1	1	2	0	1	5	0
Acutalibacter_muris	130	164	27	39	43	34	22	8	4	13	24	23	48	57	10	17	43	23
Acuticoccus_sp._I52.16.1	4	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Acuticoccus_sp._MNP-M23	58	92	1	6	6	8	3	0	0	3	0	4	7	6	1	2	9	1
Adhaeribacter_radiodurans	9	16	0	2	0	0	3	4	1	0	3	1	8	3	2	0	7	3
Adhaeribacter_swui	5	3	1	1	0	0	2	1	1	1	1	0	1	1	1	0	1	0
Adlercreutzia_equolifaciens	562	2335	32	36	47	74	4	4	0	2	70	44	76	213	53	43	161	62
Adlercreutzia_hattorii	265	1273	6	12	23	22	2	0	0	1	21	16	31	93	13	18	59	31
Advenella_alkanexedens	4	3	2	1	0	0	0	2	10	3	0	0	0	1	0	5	5	3
Advenella_kashmirensis	1	7	0	0	0	0	4	4	2	0	0	0	0	0	0	0	2	0
Advenella_mimigardefordensis	7	25	0	1	2	1	3	3	0	1	5	0	7	16	4	2	7	3
Aegicerativicinus_sediminis	0	0	1	1	0	0	0	1	0	1	0	0	0	4	2	1	3	1
Aequorivita_sp._Ant34-E75	4	5	1	0	0	1	2	2	2	4	0	0	1	0	3	1	6	2
Aequorivita_sp._H23M31	5	0	0	0	1	0	1	0	1	6	1	0	0	1	0	2	3	2
Aequorivita_sublithincola	3	0	0	1	1	3	1	1	0	1	6	2	4	10	8	6	11	5
Aeribacillus_composti	12	25	0	1	0	4	0	0	1	0	0	3	5	11	1	2	2	5
Aeribacillus_pallidus	9	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0
Aerococcus_christensenii	14	19	2	9	5	7	1	0	0	0	4	11	9	15	3	11	19	16
Aerococcus_sanguinicola	11	14	2	0	5	1	0	0	0	2	1	2	3	3	3	6	7	3
Aerococcus_sp._Group_1	40	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Aerococcus_urinae	4	0	1	1	2	0	3	7	4	2	0	1	2	0	1	0	1	2
Aerococcus_urinaeequi	17	52	1	0	0	2	1	0	0	2	2	2	2	4	0	1	5	4
Aerococcus_urinaehominis	17	48	1	1	2	0	0	0	0	1	8	6	5	15	5	10	14	4
Aerococcus_viridans	1	0	1	2	2	3	2	2	0	0	2	1	4	1	2	3	3	4
Aeromicrobium_chenweiae	6	20	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0
Aeromicrobium_choanae	2	12	4	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0
Aeromicrobium_erythreum	12	138	2	5	12	10	0	0	0	0	10	3	8	34	4	14	19	9
Aeromicrobium_marinum	1	6	0	0	0	1	0	0	0	0	0	2	2	0	0	0	4	0
Aeromicrobium_senzhongii	1	13	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1
Aeromicrobium_sp._HA	4	27	2	1	4	4	0	0	0	0	1	4	3	1	4	1	5	0
Aeromicrobium_sp._Leaf245	8	18	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0
Aeromicrobium_wangtongii	11	43	2	0	0	1	0	0	0	0	2	3	5	11	3	3	2	1
Aeromicrobium_yanjiei	7	13	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Aeromonas_allosaccharophila	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
Aeromonas_caviae	8	19	2	0	4	1	0	2	1	2	1	0	1	3	0	0	1	0
Aeromonas_dhakensis	19	42	1	0	0	0	1	2	0	0	1	0	0	1	0	0	1	0
Aeromonas_hydrophila	10	5	2	0	2	2	1	0	1	0	0	0	1	0	1	0	1	0
Aeromonas_jandaei	6	13	0	0	0	1	0	0	1	0	0	0	5	0	0	0	1	1
Aeromonas_media	11	15	3	2	6	4	0	0	0	0	5	1	4	10	4	6	11	5
Aeromonas_rivuli	2	1	0	0	1	3	1	5	3	7	0	1	1	0	0	0	0	0
Aeromonas_salmonicida	31	137	3	4	2	13	1	3	2	1	2	8	6	16	4	2	16	7
Aeromonas_sanarellii	21	34	0	2	1	8	0	0	0	0	1	2	0	2	0	1	5	1
Aeromonas_schubertii	2	6	1	0	0	0	2	1	2	4	1	0	0	0	0	0	0	0
Aeromonas_simiae	3	41	1	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0
Aeromonas_sp._ASNIH5	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas_sp._CU5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Aeromonas_sp._FDAARGOS_1403	7	0	0	0	0	1	0	0	0	0	1	6	1	2	2	4	1	0
Aeromonas_sp._FDAARGOS_1406	0	0	1	2	4	1	2	1	0	1	0	0	2	2	2	0	1	1
Aeromonas_veronii	14	11	2	9	9	4	1	1	2	0	14	8	8	30	12	15	28	8
Aestuariibaculum_lutulentum	4	1	1	1	5	1	0	0	0	0	0	0	2	2	0	1	2	1
Aestuariibaculum_sp._YM273	15	1	0	0	0	2	0	0	1	3	3	0	3	4	4	5	5	3
Aestuariispira_ectoiniformans	12	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Afipia_carboxidovorans	23	57	2	1	0	3	0	0	0	0	2	0	2	3	1	1	0	1
Afipia_sp._GAS231	17	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Agarilytica_rhodophyticola	6	3	0	0	0	0	0	1	2	1	0	0	1	1	1	2	0	3
Agarivorans_sp._TSD2052	8	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Agathobacter_rectalis	3279	7129	772	929	1009	974	100	88	38	85	1067	961	1690	2676	1034	1097	2767	1372
Agathobaculum_sp._NTUH-O15-33	286	198	28	36	30	41	9	13	3	4	29	29	59	91	20	27	54	29
Aggregatibacter_actinomycetemcomitans	4	15	0	0	0	0	0	1	0	1	0	0	2	5	0	0	1	1
Aggregatibacter_aphrophilus	44	99	7	4	4	7	0	0	1	0	6	13	12	29	11	13	17	7
Aggregatibacter_sp._oral_taxon_513	0	0	0	0	1	2	0	0	0	0	2	1	3	3	1	0	0	1
Agreia_sp._COWG	8	43	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Agrobacterium_cucumeris	12	76	1	1	0	4	0	0	0	0	1	1	5	6	0	1	4	3
Agrobacterium_fabrum	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Agrobacterium_rubi	8	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
