superkingdom	phylum	class	order	family	genus	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	262000	262000	262000	27878.257018632	26639.9414642214	3475.95729092388	24133.7612503164	23277.9118738035	10927.037152838	14791.9168416783	9653.82803601484	15234.9039404519	14706	13983	1722	13267	12866	6089	7573	4886	7940	27804	26557	3461	24006	23199	10825	14738	9624	15186	27790	26545	3460	23984	23180	10811	14726	9617	15180	17062.1736676179	16250.94023299	2170.01199120489	14030.672861214	13453.1641007766	6273.59091029422	8954.80366697468	5746.49487642536	9251.79514302741
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptacetobacter	0	0	0	372.764014262584	178.226731346456	18.0375951530216	143.887216951392	148.380135178278	163.254818510782	404.390279736665	66.0885915630027	305.996953564064	216	108	9	93	85	95	237	40	178	369	178	15	133	142	158	402	67	305	365	175	15	131	140	158	398	65	302	292.407379724722	134.822117170353	12.8663528890289	93.8642054004929	109.198844783646	132.193039767463	303.874214753684	51.1625096744234	246.186834214839
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	1763000	1763000	1763000	102113.390783178	100114.543405063	12613.5635205805	97661.969137295	98722.1603436695	41813.1100892149	55405.4283315649	37507.6697448985	56592.3986358299	70014	68846	8456	66864	67360	28248	38012	25590	38675	121273	121039	14927	115302	119291	49121	67014	46368	67927	101956	99976	12573	97485	98576	41734	55302	37420	56475	87562.4728488632	84950.7099780517	11037.2992493832	83438.5257805058	83754.8460662137	36174.2365293081	46525.3722429061	31048.1482276456	48209.0169332911
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	0	0	0	105.838296855192	48.4084681147898	0	48.0342496874574	36.9862426817309	38.0648284044284	144.844437643253	11.0142260867683	93.2794479024386	105	56	6	62	47	46	128	17	79	121	66	8	67	54	56	152	19	100	118	64	7	67	52	54	148	18	98	47.3808254183577	26.2247509707918	4.40164704098356	24.9854359699154	20.0364852814029	25.3567211830172	56.5811790888569	6.5175171559775	41.5901463796186
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	1587000	1587000	1587000	148553.873366503	147960.325586477	19163.0267637551	148606.832245326	154153.036388268	67806.4935088817	81818.2642279922	56001.2827378992	88989.4989412837	85136	85013	10941	84320	87072	38464	46470	31859	51005	148405	147827	19126	148436	153971	67621	81693	55906	88849	86515	86453	11148	85639	88355	39040	47206	32425	51865	167179.519709535	165014.202262367	21228.8050904298	165440.726633768	170583.956857437	75495.7492918522	90263.9550004534	60373.0649192508	98222.8449768139
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	749000	749000	749000	6023.78396344773	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6365.93533668075	4470.07891711195	7099.28705523668	2484	2446	343	4833	4490	2295	2027	1383	2137	6011	5943	873	11132	10493	5054	6359	4458	7094	5984	5932	868	11089	10460	5036	6327	4443	7073	6405.88759656196	6321.17362822894	955.834584361276	11586.4894695083	10925.2275411063	5150.45720669444	6982.11749956494	4788.41985449667	7899.44457687724
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	1212000	1212000	1212000	18753.7596035469	19322.9234723346	2678.48649130461	60917.5272353865	66299.9333932027	28778.0123581221	14489.9190048905	10164.2071602331	17493.3905831743	3307	3472	447	11171	11812	5360	2505	1757	3062	18306	18805	2601	59570	64771	28159	14069	9916	17071	8390	8781	1178	27634	30068	12943	6447	4545	7994	18068.3393388234	18405.4043896674	2563.45151902204	58104.6442711181	62978.0126536629	27395.063476516	13606.1094185439	9318.09427790104	16690.7294700723
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	900	900	900	114.847506033771	88.4341805701657	0	97.8747262269147	119.734033805011	76.6925659862018	104.755909021632	29.5662822098961	67.1115481686548	33	36	3	67	66	29	35	11	28	119	98	4	124	157	88	111	32	76	113	93	3	123	151	86	108	31	73	293.761117593818	263.592368732061	33.1816469243376	800.546874117154	803.1291183629	380.350817745257	238.639443568885	114.382426087405	232.435253557062
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	0	0	0	79.1445939021643	61.0683936527575	0	267.358018938092	258.026165120915	137.911501572511	32.3684150504667	11.6300243126957	67.660740716149	451	487	53	1409	1444	686	359	215	410	480	517	57	1507	1568	745	393	228	437	453	488	54	1411	1448	689	359	215	411	6423.14775439293	6378.33013675502	921.637172735173	20418.1658028202	21855.1302621116	9798.85133396515	4862.32026652418	3293.30141891543	5787.73843489273
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	97000	97000	97000	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259	1913	1887	251	566	606	262	963	572	1026	3306	3297	433	894	973	436	1642	1052	1768	3266	3250	422	886	964	428	1618	1030	1737	2556.87240025494	2554.22350160392	337.572469220047	621.934771034921	678.568968196845	305.294923043527	1228.14441669342	819.90365822197	1344.63626480557
