superkingdom	phylum	class	order	family	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	498000	498000	498000	20018.4589333535	20189.9364612644	2844.03015400416	10174.7962449282	10823.7045748967	4724.70197399359	12664.373590156	8868.21719439993	14155.4149261482	20021	20194	2840	10187	10854	4756	12671	8861	14149	20059	20231	2845	10217	10873	4766	12690	8878	14173	20046	20221	2842	10212	10870	4764	12683	8875	14165	6812.34739175801	6824.48711801452	966.330819612852	3461.15816388652	3640.96331705227	1620.12543878691	4237.93031375538	2899.31750683659	4768.77984859207
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	0	0	0	0	0	0	0	0	0	0	0	0	13	3	2	14	6	5	6	0	6	15	6	2	18	6	5	7	2	7	13	5	2	16	6	5	7	2	7	5.75338594365772	3.69836231639372	0.677176467843624	9.11630771875291	4.00729705628058	1.69044807886781	4.32679604797141	2.607006862391	4.02485287544696
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	4	6	0	4	3	1	1	1	0	4	7	0	4	2	1	0	1	0	4	6	0	4	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	0	0	0	89.2209371715297	33.3875091502215	0	77.055077994866	19.0099276489284	13.021956129572	80.4790737544488	0	48.0701760336181	51	23	0	57	14	23	54	6	26	85	41	2	83	30	32	84	13	48	67	25	1	59	16	27	62	8	35	68.3637623893447	40.3457707242951	2.7087058713745	68.2034873773366	29.7207865007477	20.6234665621873	68.5630758370854	14.0126618853516	38.2361023167461
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	2	0	0	1	3	0	0	1	1	2	0	0	1	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	unassigned	Chroococcales	Chroococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	0	0	0	343.491378115303	170.367743357249	20.0327884031578	132.016539036205	136.144447988452	133.348322433921	362.819892727612	72.0917885989721	259.398793575232	46	34	2	27	26	19	54	23	32	347	181	20	134	148	134	369	82	263	63	43	3	31	30	27	74	26	41	413.228484541534	205.427215937869	24.7169410762923	145.523282473426	153.946995245446	161.606836339763	433.678096192827	79.1878334451267	314.944737503725
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	0	0	0	151.775149585612	68.1228254129906	0	54.0401511563775	72.277876808141	50.0845897227799	159.20761976869	34.0442020391806	126.364503609422	22	14	3	14	11	9	15	5	28	157	69	9	54	75	54	156	31	129	152	67	9	51	71	51	155	30	126	127.928228629566	54.1305757217626	5.417411742749	36.8028719016321	58.4397487374252	42.2612019716953	126.808407252085	26.3959444817089	99.279704261025
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	0	0	0	145.469375397418	77.9089345773057	0	59.3045137144658	63.0398803337179	53.7133137200982	157.346430060709	21.0267514729232	100.153457124694	25	15	2	15	17	14	25	7	18	148	78	9	66	64	56	158	24	102	98	60	9	43	49	42	101	18	75	153.310813675115	65.5618774269796	7.78752938020168	60.1001027384451	51.7609203102909	53.7562489079964	155.098996796514	21.5078066147258	92.2362117289929
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	0	0	0	413.561847452702	403.086326854937	45.1738062867868	334.506655617884	373.100271734263	187.109728260228	230.885262249334	164.899585980712	229.188478659502	320	286	35	322	312	147	217	157	180	398	365	41	376	375	185	246	184	213	396	362	40	375	373	185	246	184	209	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	90	90	90	182.682098909745	76.2079247737134	14.0292406747011	84.4253616423849	76.054019367176	82.4074599830083	205.341031758873	36.0473305212714	134.187580928096	80	44	8	37	38	30	90	13	68	188	86	17	86	82	86	212	39	139	183	85	16	82	78	78	204	38	138	145.188386460539	64.5532331588722	10.834823485498	68.8787694305775	59.4415730014953	72.0130881597687	162.088436566314	32.9134616376864	100.285917479887
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	963000	963000	963000	23037.9455747701	23904.906788357	2832.9045589403	22134.9160890617	24585.2378139244	9603.66741229097	14522.9742164147	11065.3188647412	14875.3713653299	8826	9108	1085	8779	9752	3826	5161	3815	5202	23012	23878	2832	22084	24527	9557	14489	11048	14862	22966	23829	2825	22035	24476	9537	14452	11033	14839	15238.0118890111	15722.7468512578	1884.24352177489	14326.7840415601	15631.7979337078	6157.28808246811	9704.67070513465	7301.2485939838	10100.7036953404
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	0	0	0	333.249036373777	186.050326209294	21.0438610118585	125.089333554371	138.911149748589	165.352260507827	384.60862392191	56.7629063506842	267.338373577458	314	188	20	127	135	167	372	60	268	346	208	22	134	147	177	404	65	282	317	188	20	127	136	168	375	60	269	154.326117076936	93.1314874219146	10.834823485498	55.7107693923789	68.4579913781266	74.3797154701837	184.720908201856	25.7441927661111	109.006432043355
Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	5	2	7	10	2	8	13	12	0	5	2	9	10	2	9	13	12	0	5	2	7	10	2	8	2.36904127091788	2.35350329225055	0	0.675282053240956	0	2.7047169261885	0.66566093045714	0	2.34783084401073
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	20	20	20	0	0	0	0	0	0	20.268761441344	0	0	36	16	3	22	16	14	43	10	26	54	31	4	39	27	18	65	14	40	44	20	3	27	19	14	48	11	32	21.9982403728089	13.7848049974675	1.01576470176544	15.531487224542	10.0182426407015	8.11415077856549	26.293606753057	5.214013724782	15.7640070955006
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	0	0	0	64.0464451432719	29.0221140421218	0	18.0128640267187	26.7306409688933	25.0422233261	68.0867060413221	0	54.0726202431795	68	32	1	29	28	30	70	10	54	68	33	1	31	28	31	71	10	55	68	32	1	29	28	30	70	10	54	16.2448544291512	8.74158365693061	0.677176467843624	6.41517950578908	6.34488700577759	7.77606116279193	17.6400146571142	2.93288272018988	13.7515806577771
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	0	0	0	10.0072570536362	0	0	0	0	0	14.164047786828	0	0	25	20	1	13	15	14	31	3	24	28	29	3	23	18	16	35	6	27	26	20	1	13	15	14	32	3	24	7.78399274730162	7.39672463278744	1.01576470176544	7.09046155903004	4.00729705628058	4.39516500505631	9.65208349162853	0.977627573396626	6.03727931317044
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	0	0	0	14.7182724607456	0	0	0	0	0	0	0	17.3416129461507	11	6	1	4	3	3	4	2	4	16	6	1	5	5	3	10	2	5	11	6	1	4	3	3	5	2	4	2.0306068036439	1.34485902414317	0.338588233921812	1.68820513310239	0.333941421356715	0.676179231547124	2.66264372182856	0.65175171559775	1.00621321886174
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	989000	989000	989000	34759.0020134551	37756.2677692765	4063.47275396028	30362.7700162772	34716.1592432283	13118.7028532558	19950.1211271588	14149.5527327423	19111.9952915509	14070	15288	1571	11487	12869	5264	7317	4680	6896	15600	16835	1757	12734	14218	5835	8319	5327	7734	15437	16726	1748	12624	14107	5768	8145	5292	7624	47593.3622638057	51446.9095390849	5774.96091777043	43258.230689589	49495.4617078069	18129.7175562415	28041.2995259723	20469.5661317785	27293.1981572184
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	0	0	0	26.9951762397729	0	0	0	0	0	34.0426209483659	0	0	14	6	0	9	11	8	23	2	11	21	13	0	13	15	13	33	3	18	15	7	0	9	11	8	23	2	11	28.7669297182886	14.1210197535033	0.677176467843624	10.4668718252348	15.3613053824089	14.8759430940367	27.9577590791999	1.95525514679325	19.1180511583731
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	0	0	0	0	0	0	0	0	0	12.0150417519217	0	0	4	4	1	3	5	5	11	2	5	4	4	1	3	5	5	12	2	6	4	4	1	3	5	5	11	2	5	0.338434467273983	1.34485902414317	0.338588233921812	0.675282053240956	1.33576568542686	2.02853769464137	3.66113511751427	0.65175171559775	2.01242643772348
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	262000	262000	262000	28265.0311927696	26818.1681955679	3493.9948860769	24277.6484672678	23426.2920089818	11090.2919713488	15212.3271770842	9719.91662757784	15554.9257364983	14936	14101	1732	13371	12958	6195	7829	4929	8136	28188	26745	3477	24150	23349	10994	15159	9694	15509	28169	26730	3476	24126	23327	10980	15143	9685	15500	17359.3191298844	16389.4607124768	2182.87834409392	14127.575835854	13564.7005355098	6408.82675660364	9264.33599963725	5798.63501367319	9502.67763893027
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	1763000	1763000	1763000	102353.690974535	100245.965303009	12613.5635205805	97743.092931446	98824.4932798853	41885.4949217041	55674.7867448352	37518.6839709853	56758.6707838465	70296	69016	8471	67027	67514	28369	38313	25638	38887	121582	121223	14944	115474	119458	49257	67350	46419	68167	102251	100154	12589	97655	98735	41863	55624	37469	56706	87677.5405677363	85019.297788283	11046.1025434652	83497.6129601644	83813.9536977938	36229.0070470634	46637.8689401534	31066.7231515402	48298.2345053635
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	0	0	0	15.3034987001633	0	0	14.9576828892376	0	0	19.0238161073049	0	13.7000984149883	34	23	4	20	20	16	25	7	31	35	24	4	20	20	16	26	7	32	35	23	4	20	20	16	25	7	32	24.0288471764528	14.4572345095391	1.69294116960906	10.8045128518553	10.3521840620582	12.5093157836218	16.9743537266571	3.9105102935865	20.1242643772348
Bacteria	Firmicutes	Clostridia	Clostridiales	Vallitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	0	3	0	0	1	1	0	1	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	0	0	0	11.0079827589998	0	0	0	0	0	14.0175487175775	0	0	11	7	0	5	7	11	11	0	7	11	7	0	6	7	11	11	0	7	11	7	0	5	7	11	11	0	7	8.1224272145756	9.75022792503799	1.69294116960906	11.4797949050963	6.01094558442088	4.05707538928275	16.6415232614285	0.977627573396626	7.71430134460667
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	0	0	0	72.0522994195071	41.0228371874839	0	37.0257618704111	32.0203895257542	27.3816574441425	78.0078236366955	0	47.0632063582135	63	36	1	33	32	21	58	8	43	74	46	2	40	35	27	79	8	48	63	36	1	33	32	21	60	8	43	36.2124879983162	22.8626034104339	1.69294116960906	19.5831795439877	14.3594811183388	14.8759430940367	44.5992823406284	2.607006862391	19.7888599709476
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	0	0	0	100.072570536362	51.2130360936651	0	35.0250133852864	43.0249488879995	40.0675631106241	95.1352178737715	14.0178298711113	62.0833787977744	96	47	2	29	44	37	89	15	65	96	49	2	30	45	37	89	15	65	96	48	2	29	45	37	89	15	65	41.965873941974	25.5523214587202	1.35435293568725	21.9466667303311	24.7116651803969	17.2425704044517	42.602299549257	7.821020587173	26.8323525029797
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	1587000	1587000	1587000	148553.873366503	147960.325586477	19163.0267637551	148606.832245326	154153.036388268	67806.4935088817	81818.2642279922	56001.2827378992	88989.4989412837	85140	85016	10941	84321	87073	38468	46474	31859	51008	148411	147832	19126	148438	153973	67626	81699	55906	88853	86520	86457	11148	85641	88357	39045	47211	32425	51869	167181.888750806	165016.219550903	21228.8050904298	165442.752479928	170585.292623123	75496.4254710837	90267.2833051057	60373.0649192508	98224.8574032516
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	749000	749000	749000	6023.78396344773	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6365.93533668075	4470.07891711195	7099.28705523668	2484	2446	343	4833	4490	2295	2027	1383	2137	6011	5943	873	11132	10493	5054	6359	4458	7094	5984	5932	868	11089	10460	5036	6327	4443	7073	6405.88759656196	6321.17362822894	955.834584361276	11586.4894695083	10925.2275411063	5150.45720669444	6982.11749956494	4788.41985449667	7899.44457687724
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	0	0	0	0	0	0	0	0	0	0	0	0	15	6	1	10	9	5	11	2	10	15	6	1	10	9	5	11	2	10	15	6	1	10	9	5	11	2	10	1.69217233636992	2.35350329225055	0.338588233921812	1.01292307986143	2.00364852814029	0.676179231547124	1.99698279137142	0	1.67702203143623
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	1	0	2	0	0	1	1	3	0	1	0	2	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1212900	1212900	1212900	18947.7517034828	19472.4260465575	2678.48649130461	61282.7599805515	66677.6935921286	28992.6164256808	14627.0433289626	10205.4034667556	17628.1628720591	3796	3999	504	12665	13339	6081	2905	1987	3505	18940	19452	2672	61306	66623	29042	14610	10198	17608	8961	9366	1236	29186	31684	13724	6920	4795	8483	24823.4913056121	25086.3278068546	3531.13669157058	79446.5959227719	85801.9069791303	37646.6168060019	18752.9997328386	12749.5670605232	22744.4435991508
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	1	0	0	0	1	1	0	1	3	1	0	0	0	1	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35373786909593	1.00864426810738	0	4.05169231944574	5.00912132035073	1.35235846309425	0	0.325875857798875	1.00621321886174
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	1	0	2	0	1	0	0	0	1.01530340182195	1.34485902414317	0.338588233921812	3.71405129282526	3.33941421356715	1.01426884732069	1.33132186091428	0.65175171559775	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	1	0	3	7	3	0	3	4	3	7	2	9	4	0	0	1	3	2	2	1	3	6.76868934547967	5.04322134053689	0	4.72697437268669	1.33576568542686	1.35235846309425	8.32076163071425	1.62937928899438	8.72051456346841
