superkingdom	phylum	class	order	family	genus	species	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula	0	0	0	122096.311861187	125083.314622285	15786.3195523058	122598.196531777	128981.791988417	53388.9200028997	67259.2682243564	46681.1631996394	73379.2639453096	77542	77775	9916	76738	79490	35107	42416	29091	46608	140810	140586	18101	140853	146389	64264	77637	53138	84451	78921	79215	10123	78057	80773	35683	43152	29657	47468	121943.69194476	120582.077393213	15429.1272315831	121023.036658764	124655.657412563	55342.9034748217	65705.7262930982	43918.94110727	71685.3129469607
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella rogosae	1587000	1587000	1587000	15189.1636040994	12358.5032960097	1712.89491910505	15019.3522810827	13847.1109729654	9007.63840397492	8169.33774370746	4942.19187816512	8918.32424342792	3313	3059	429	3579	3545	1539	1777	1143	1952	3313	3059	429	3579	3545	1539	1777	1143	1952	3313	3059	429	3579	3545	1539	1777	1143	1952	1230.5477230082	1131.02643930441	160.829411112861	1314.77415766014	1291.35147638642	569.342912962679	658.67149068734	411.907084257778	722.125686736442
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella tobetsuensis	0	0	0	0	0	0	10.0822625649132	10.3143773498721	0	0	0	0	265	218	24	238	260	109	130	74	162	265	218	24	238	260	109	130	74	162	265	218	24	238	260	109	130	74	162	13251.7400005801	13014.8732061455	1649.94046390099	11921.0917268892	12359.172004412	5556.16474562272	7200.45428475488	4753.55113771219	7809.89160039854
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	749000	749000	749000	6005.76905076716	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6345.9074576909	4470.07891711195	7099.28705523668	2465	2443	342	4827	4482	2287	2013	1381	2125	5985	5938	871	11123	10482	5042	6333	4454	7079	5965	5929	867	11083	10452	5028	6313	4441	7061	6380.50501151641	6312.43204457201	951.09434908637	11561.841674565	10903.1874072968	5135.91935321618	6953.49407955529	4779.6212063361	7881.66814334401
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	1212000	1212000	1212000	18741.091371247	19311.8845154724	2678.48649130461	60867.5399439577	66254.1023185426	28741.1062886854	14473.5754197102	10164.2071602331	17479.5339801152	3273	3430	441	11048	11666	5285	2478	1741	3025	18272	18763	2595	59446	64622	28084	14041	9899	17033	8356	8739	1172	27510	29921	12868	6419	4528	7957	17272.0030373277	17601.5149079858	2443.59128421372	55475.4335968244	60153.5361118278	26121.479893897	13008.6787334587	8881.74650430834	15931.3738942379
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii	0	0	0	22.1123168822509	17.7950037496929	0	56.6758213807396	36.7259799131764	28.4685069289607	12.4480921162047	0	14.414101411097	126	117	10	427	393	159	94	65	122	151	143	13	512	504	212	125	78	146	126	118	10	427	393	159	94	65	122	1858.00522533417	1786.6452135742	260.035763651952	5771.29806802383	6249.04581784821	2778.08237281136	1369.26453395034	930.701449873588	1651.19589215212
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	0	0	0	0	12.6083365303387	0	76.662038386477	71.175100887356	34.4069329283535	0	0	15.6171426076532	177	216	27	622	694	341	146	86	162	179	217	28	630	698	343	148	86	162	178	216	28	623	694	342	146	86	162	2314.55332168677	2349.13250042208	339.265410389656	7457.81499599312	8072.69991987724	3655.42492574375	1801.61130828225	1212.25819101182	2112.04154639079
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	0	0	0	12.5658899091608	13.8960230289895	0	58.5560149987654	55.1713547020378	40.231505046908	0	0	13.9056643079754	94	97	10	278	256	132	78	41	75	95	99	10	283	261	136	79	41	78	95	97	10	279	259	134	78	41	76	1134.77076876967	1152.88039844673	165.231058153844	3766.72329297805	3865.37195220398	1738.11871469188	884.996207042768	597.982199060936	1053.16983574195
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	0	0	0	44.4663871107526	16.7690303437365	0	75.46414417211	94.9537296183443	34.8045566682891	19.920322934262	11.6300243126957	23.7238323894234	49	54	5	75	97	50	39	23	51	50	55	5	75	101	50	39	23	51	49	54	5	75	98	50	39	23	51	861.654153679562	844.571467161911	119.5216465744	2672.42872570108	2886.58964620745	1283.38818147644	628.051087886312	439.932408028482	758.349362615465
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	97000	97000	97000	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259	1913	1887	251	566	606	262	963	572	1026	3306	3297	433	894	973	436	1642	1052	1768	3266	3250	422	886	964	428	1618	1030	1737	2536.22789775123	2531.36089819348	332.832233945141	617.545437688854	674.561671140565	302.252116501565	1217.16101134088	810.127382488004	1330.21387533522
