superkingdom	phylum	class	order	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Bacteria	Firmicutes	Negativicutes	Selenomonadales	0	0	0	100.072570536362	51.2130360936651	0	35.0250133852864	43.0249488879995	40.0675631106241	95.1352178737715	14.0178298711113	62.0833787977744	96	47	2	29	44	37	89	15	65	96	49	2	30	45	37	89	15	65	96	48	2	29	45	37	89	15	65	41.965873941974	25.5523214587202	1.35435293568725	21.9466667303311	24.7116651803969	17.2425704044517	42.602299549257	7.821020587173	26.8323525029797
Bacteria	Firmicutes	Negativicutes	Veillonellales	1587000	1587000	1587000	148553.873366503	147960.325586477	19163.0267637551	148606.832245326	154153.036388268	67806.4935088817	81818.2642279922	56001.2827378992	88989.4989412837	85140	85016	10941	84321	87073	38468	46474	31859	51008	148411	147832	19126	148438	153973	67626	81699	55906	88853	86520	86457	11148	85641	88357	39045	47211	32425	51869	167181.888750806	165016.219550903	21228.8050904298	165442.752479928	170585.292623123	75496.4254710837	90267.2833051057	60373.0649192508	98224.8574032516
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	749000	749000	749000	6023.78396344773	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6365.93533668075	4470.07891711195	7099.28705523668	2484	2446	343	4833	4490	2295	2027	1383	2137	6011	5943	873	11132	10493	5054	6359	4458	7094	5984	5932	868	11089	10460	5036	6327	4443	7073	6405.88759656196	6321.17362822894	955.834584361276	11586.4894695083	10925.2275411063	5150.45720669444	6982.11749956494	4788.41985449667	7899.44457687724
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	15	6	1	10	9	5	11	2	10	15	6	1	10	9	5	11	2	10	15	6	1	10	9	5	11	2	10	1.69217233636992	2.35350329225055	0.338588233921812	1.01292307986143	2.00364852814029	0.676179231547124	1.99698279137142	0	1.67702203143623
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	1	0	2	0	0	1	1	3	0	1	0	2	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	1212900	1212900	1212900	18947.7517034828	19472.4260465575	2678.48649130461	61282.7599805515	66677.6935921286	28992.6164256808	14627.0433289626	10205.4034667556	17628.1628720591	3797	4001	504	12668	13342	6083	2905	1987	3505	18941	19454	2672	61309	66627	29044	14610	10198	17608	8962	9368	1236	29189	31687	13726	6920	4795	8483	24825.8603468831	25088.6813101469	3531.4752798045	79454.3616663842	85810.2555146643	37648.9834333123	18754.3310546995	12750.5446880966	22745.4498123696
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	1	0	3	7	3	0	3	4	3	7	2	9	4	0	0	1	3	2	2	1	3	6.76868934547967	5.04322134053689	0	4.72697437268669	1.33576568542686	1.35235846309425	8.32076163071425	1.62937928899438	8.72051456346841
Bacteria	Thermotogae	Thermotogae	Petrotogales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	97000	97000	97000	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259	1913	1887	251	566	606	262	963	572	1026	3306	3297	433	894	973	436	1642	1052	1768	3266	3250	422	886	964	428	1618	1030	1737	2556.87240025494	2554.22350160392	337.572469220047	621.934771034921	678.568968196845	305.294923043527	1228.14441669342	819.90365822197	1344.63626480557
