genus	Toti_ONT_ZMB1	Toti_NovaSeq_ZMB1	Toti_MySeq_ZHMW4	Toti_MySeq_ZHMW3	Toti_MySeq_ZHMW2	Toti_MySeq_ZHMW1	Toti_MySeq_Q4	Toti_MySeq_Q3	Toti_MySeq_Q2	Toti_MySeq_Q1	Toti_MySeq_MN4	Toti_MySeq_MN3	Toti_MySeq_MN2	Toti_MySeq_MN1	Toti_MySeq_I4	Toti_MySeq_I3	Toti_MySeq_I2	Toti_MySeq_I1
Megalocytivirus	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megavirus	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Menderavirus	4	1	0	0	3	1	2	0	1	0	1	1	1	1	0	0	0	0
Micavirus	92	106	0	0	1	0	0	0	0	0	1	0	1	3	0	0	1	0
Miltonvirus	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
missing	760	518	46	91	73	56	12	11	7	12	42	53	79	125	42	55	118	41
Moonbeamvirus	4	6	3	4	9	3	1	12	1	2	2	0	8	5	12	6	14	5
Moonvirus	0	0	0	1	1	2	0	0	0	0	0	0	2	6	6	0	8	2
Moumouvirus	139	17	1	2	0	2	0	0	0	1	0	2	1	1	1	1	1	2
Mylasvirus	166	89	2	2	4	3	2	5	2	3	3	2	4	8	0	0	4	1
Natevirus	1133	796	83	74	74	80	2	3	5	7	87	93	117	187	99	86	233	104
Nouzillyvirus	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Omarvirus	56	1	10	3	7	7	1	1	0	0	3	3	7	13	7	8	7	2
Orthobunyavirus	4	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Orthoflavivirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palaemonvirus	49	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoravirus	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Petsuvirus	53	0	0	0	2	1	0	0	0	0	2	2	1	4	1	2	2	1
Phabquatrovirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phifelvirus	53	8	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Poindextervirus	294	137	10	13	18	22	8	12	9	12	4	8	18	21	6	4	24	14
Polybotosvirus	32	22	2	1	4	0	3	3	3	4	1	1	3	1	3	1	5	8
Prasinovirus	0	0	2	0	0	1	1	0	2	1	1	0	2	0	0	2	2	2
Prymnesiovirus	4	0	0	0	0	0	3	2	0	4	0	0	0	0	0	0	0	0
Psimunavirus	3	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	2
Punavirus	6	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rockvillevirus	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schiekvirus	0	0	0	3	0	1	0	2	4	2	0	1	0	2	2	1	7	3
Schizotequatrovirus	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Shenzhenivirus	5	6	0	5	1	5	1	0	0	4	2	3	7	18	0	5	11	3
Shenzhenvirus	10	53	0	0	1	0	0	0	0	0	1	4	5	4	4	1	3	3
Stormageddonvirus	12	0	1	0	1	2	0	0	0	0	3	0	3	8	0	1	1	0
Takahashivirus	11	6	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0
Tedavirus	88	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tequintavirus	1	0	0	1	0	0	1	2	4	0	0	0	1	0	0	0	0	0
Theiavirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toutatisvirus	6	6	19	37	31	21	37	17	5	18	5	19	34	30	7	9	27	12
Tulanevirus	38	105	3	2	2	5	0	0	0	0	4	1	0	7	3	1	2	6
Tupanvirus	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Varicellovirus	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Wakandavirus	2	0	4	5	6	2	6	1	1	2	5	3	3	2	1	0	1	1
Wellingtonvirus	76	22	7	3	12	6	1	1	0	0	5	2	7	19	3	4	5	6
Wroclawvirus	303	699	0	1	1	5	0	0	0	0	10	7	9	15	4	6	17	13
