Taxon	DNA.profile
p__Firmicutes;s__Lachnospiraceae bacterium	0.003145
p__Firmicutes;s__Ruminococcaceae bacterium AM07-15	0.000424
p__Firmicutes;s__Ruminococcaceae bacterium D16	0.000368
p__Firmicutes;s__Ruminococcaceae bacterium D5	0.000106
p__Firmicutes;s__Ruminococcaceae bacterium	0.004350
z__[Bacteroides] pectinophilus ATCC 43243	0.000255
z__[Clostridium] leptum DSM 753	0.000819
z__[Eubacterium] rectale ATCC 33656	0.009331
z__[Eubacterium] rectale M104/1	0.011778
z__[Eubacterium] siraeum DSM 15702	0.036538
p__Firmicutes;s__[Eubacterium] siraeum	0.006599
p__Firmicutes;s__uncultured Clostridiales bacterium	0.032833
p__Firmicutes;s__uncultured Erysipelotrichaceae bacterium	0.001755
p__Firmicutes;s__uncultured Lachnospiraceae bacterium	0.006294
p__Firmicutes;s__uncultured Ruminococcaceae bacterium	0.008349
p__Lentisphaerae;s__Lentisphaeria bacterium	0.000275
p__Lentisphaerae;s__Victivallales bacterium CCUG 44730	0.000296
z__46_36	0.001519
z__N54.MGS-139	0.000589
z__Bilophila wadsworthia ATCC 49260	0.001314
z__Desulfovibrio desulfuricans ATCC 27774	0.000210
g__Desulfovibrio;s__Desulfovibrio fairfieldensis	0.000126
g__Desulfovibrio;s__uncultured Desulfovibrio sp.	0.000274
g__Escherichia;s__Escherichia coli	0.000556
g__Klebsiella;s__Klebsiella oxytoca	0.000213
z__Oxalobacter formigenes HOxBLS	0.000133
z__Parasutterella excrementihominis YIT 11859	0.001252
z__Sutterella wadsworthensis 3_1_45B	0.001273
g__Sutterella;s__uncultured Sutterella sp.	0.001354
p__Proteobacteria;s__Proteobacteria bacterium CAG:495	0.000224
p__Proteobacteria;s__uncultured Rhodospirillaceae bacterium	0.000358
z__CAG:877	0.000172
p__Tenericutes;s__Acholeplasmatales bacterium	0.001163
p__Tenericutes;s__uncultured Mollicutes bacterium	0.000150
p__Tenericutes;s__uncultured Tenericutes bacterium	0.000131
g__Akkermansia;s__Akkermansia muciniphila	0.011188
k__Bacteria;s__bacterium LF-3	0.002070
k__Bacteria;s__bacterium	0.000884
k__Bacteria;s__uncultured bacterium	0.001190
