feature	Bacteria.Actinobacteria	Bacteria.Bacteroidetes	Bacteria.Candidatus.Melainabacteria	Bacteria.Cyanobacteria	Bacteria.Deferribacteres	Bacteria.Firmicutes	Bacteria.Fusobacteria	Bacteria.Lentisphaerae	Bacteria.Proteobacteria	Bacteria.Synergistetes	Bacteria.Tenericutes	Bacteria.Verrucomicrobia
PRMT_CO2_canis_ONT_20240807_bc02	0.00133822576997709	0.00648964778515153	0.000141629778527683	0	9.44198523525552e-05	0.969823450855972	0.0142037078528205	0	0.00765582256051081	0	0.000253095544687516	0
PRMT_CO3_canis_ONT_20240807_bc03	0.00121103437547369	0.00753341056649526	0.000172422275709739	0	5.6224655122741e-05	0.964613639829836	0.0178968882719113	0	0.0082240118188128	0	0.000292368206638253	0
PRMT_CP1_canis_PB_20240807_bc31	0.0119188598623419	0.0102462883667791	0.000171109092076034	0	6.50214549391325e-05	0.960425032127256	0.00611202575257721	0	0.0108837091271344	0	0.000140310216668275	3.76440002279188e-05
PRMT_CP2_canis_PB_20240807_bc32	0.0117517603677957	0.00919970402612573	0.00012051564568717	0	9.11658405322603e-05	0.962448060010271	0.00622966743434777	0	0.0100070907665414	0	0.000152035908698517	0
PRMT_CP3_canis_PB_20240807_bc33	0.0110035634024946	0.0121240360221351	0.000169505011181037	0	0.00012566750828939	0.956213890184625	0.00795504140022203	0	0.0122563264578757	0	0.000151970013176847	0
PRMT_LM1_canis_MONT_20240807_bc16	0.0236403295125149	0.0122526418332823	0.000189356589661018	0	8.83664085084752e-05	0.951272677544858	0.00483490751326685	0	0.00764597816752286	0	7.57424303857003e-05	0
PRMT_LM2_canis_MONT_20240807_bc17	0.0232914436550641	0.0106342246233947	0.000128490999613752	0	6.42246821753338e-05	0.95415730828209	0.00416520299742919	0	0.00745512194146831	0	8.10454322733989e-05	2.29373864911906e-05
PRMT_LM3_canis_MONT_20240807_bc18	0.0211813577130013	0.0137066665994274	0.000170721092141462	0	9.75725882860748e-05	0.950289757799686	0.00508248642911137	0	0.00936863023461573	0	0.00010280754373104	0
PRMT_HM1_human_MONT_20240807_bc28	0.0229819087637053	0.124998956060991	0.000221670726374201	0	0	0.847704167235907	0.000137339469706826	0	0.00395595774331612	0	0	0
PRMT_HM2_human_MONT_20240807_bc29	0.0221748566032643	0.11476872791214	0.000269598340310325	0	0	0.858485409810038	8.42037309269768e-05	0	0.00421720360331966	0	0	0
PRMT_HM3_human_MONT_20240807_bc30	0.0192961085376511	0.144438675517428	0.000211469696380992	0	0	0.829784821288619	0.000158703169132621	0	0.0060724353219478	0	0	3.77864688411002e-05
PRMT_HO1_human_ONT_20240807_bc13	0.000973953462054866	0.0751395113863757	0.000250078774549051	0	0	0.920931378446079	7.37663648160364e-05	0	0.00261978567643183	0	0	1.15258896931615e-05
PRMT_HO2_human_ONT_20240807_bc14	0.00120705005480662	0.0760069240408144	0.000282784791720187	0	0	0.919334662781318	0.000112505777351072	0	0.0030560725539897	0	0	0
PRMT_HO3_human_ONT_20240807_bc15	0.00106792126307756	0.09234404942652	0.000311514687387102	0	0	0.90283428482192	6.9859772983564e-05	0	0.00334696648197771	0	0	2.54035461340115e-05
PRMT_HP1_human_PB_20240807_bc43	0.0258158180137779	0.141506558175015	0.00012889964988068	0	0	0.827762036163463	0.00012889964988068	0	0.00461597684984694	0	0	4.18114981362931e-05
PRMT_HP2_human_PB_20240807_bc44	0.0234896444356669	0.127701243600706	0.000198608571712297	0	0	0.843762117652785	7.59385715370546e-05	0	0.00477244716759294	0	0	0
PRMT_HP3_human_PB_20240807_bc45	0.0234094751198371	0.174484378634488	0.000198064626457474	0	0	0.795465488085525	0.000106978879486192	0	0.00631285319048672	0	0	2.27614637204665e-05
