species	WGS_kraken2_kraken2_standard_ONT_Z1	WGS_kraken2_kraken2_standard_NovaSeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Z4	WGS_kraken2_kraken2_standard_MySeq_Z3	WGS_kraken2_kraken2_standard_MySeq_Z2	WGS_kraken2_kraken2_standard_MySeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Blautia_obeum	36502	33352	2472	2910	2936	3334	72	75	32	57	4257	3820	6190	10540	3964	4331	10025	4702
Blautia_parvula	10107	35594	1682	1711	1848	2026	30	43	19	34	2559	2251	3809	6723	2619	2841	6754	3326
Blautia_producta	5433	9513	790	873	966	885	26	21	12	25	860	744	1287	2002	887	1000	2507	1192
Blautia_pseudococcoides	5979	10587	1274	1143	1069	1356	11	12	9	13	1448	1340	2258	3426	1728	1686	4199	1882
Blautia_wexlerae	15294	18644	1719	2000	2199	2133	87	87	33	67	2373	2178	3487	6002	2309	2600	5996	2938
Campylobacter_upsaliensis	979	8676	870	569	484	1056	2291	3141	1941	3291	85	245	1149	432	680	687	3801	757
Catenibacterium_mitsuokai	111	292	953	1463	1071	882	794	294	176	606	2225	2062	3515	7778	4397	2738	8843	5668
Catenibacterium_sp._co_0103	160	464	3971	8539	3847	5299	8297	2827	1912	5928	19900	19043	30717	67074	42503	26538	86860	54423
Claveliimonas_bilis	8661	9319	1383	1707	1706	1757	69	69	41	53	1865	1616	2833	4656	1980	2071	5241	2425
Clostridium_perfringens	12405	58380	85	108	251	127	75	212	84	99	1322	960	2587	2308	381	449	968	530
Clostridium_sp._M62/1	9928	8788	985	1329	2307	1352	122	93	55	88	726	786	1729	1802	531	598	1583	613
Collinsella_aerofaciens	9317	70973	1425	2520	2819	3134	123	66	45	74	3390	2635	3897	12331	2633	3387	7914	3475
Collinsella_stercoris	51061	300842	6302	11008	12243	14301	513	250	148	288	15198	11414	16843	53651	11982	15080	35715	15025
Coprococcus_comes	13535	18513	789	946	917	968	37	44	19	38	1360	1184	1953	3506	1399	1453	3530	1727
Dorea_formicigenerans	7573	9161	638	692	777	781	19	32	7	16	1049	943	1613	2712	1167	1203	2915	1439
Dorea_longicatena	16971	20542	1433	1713	1846	1779	49	82	32	48	2121	1787	3032	5273	2051	2198	5273	2537
Faecalibacterium_prausnitzii	3615	4635	6718	12963	11113	8654	14114	6154	2155	6329	4669	5269	13661	12300	3332	2634	10068	4639
Faecalibacterium_sp._HTF-F	818	1110	907	1805	1509	1251	1886	850	277	846	668	705	1929	1634	406	401	1375	672
Faecalibacterium_sp._I3-3-89	515	785	971	1829	1608	1277	1889	782	301	875	674	745	1966	1778	483	360	1357	651
Fusobacterium_hominis	2615	4338	209	803	681	511	1615	2880	2052	2621	277	428	1025	662	501	681	2156	539
Fusobacterium_mortiferum	8553	9694	503	1839	1564	1151	3258	6240	4658	5460	666	1103	2196	1443	1180	1609	4790	1174
Fusobacterium_ulcerans	9350	11379	614	2400	2114	1474	3955	7483	5719	6618	811	1358	2745	1886	1610	1916	6241	1529
Fusobacterium_varium	3649	5534	302	1132	959	673	1925	3730	2857	3447	442	721	1347	924	743	1009	2932	772
Helicobacter_bilis	330	200	1689	730	595	1097	1698	1124	1180	2003	105	210	1592	320	389	508	3435	636
Helicobacter_canis	3872	1778	2788	2008	983	2394	4461	2535	2428	3836	152	323	2358	473	511	645	3676	708
Homo_sapiens	23419	6517	372	502	570	513	998	1096	891	1286	935	983	1476	1957	1241	1469	3088	1327
Mediterraneibacter_gnavus	287305	416515	115224	170684	182123	168339	3219	3792	1467	3053	72794	59099	108635	226248	74446	81968	211292	101820
Megamonas_funiformis	1905	3220	864	1756	5585	1936	29947	76541	36986	43973	3586	4362	12229	5836	2177	3493	16154	2489
Peptacetobacter_hiranonis	407794	2222542	7145	10108	10275	11078	565	471	464	859	90175	92303	161671	231624	136796	134338	289952	173572
Phocaeicola_dorei	279	233	495	1201	959	2086	3560	5644	3271	3705	347	532	1798	668	593	682	2490	723
Phocaeicola_vulgatus	6264	6713	52150	122784	106469	213876	348555	556045	328079	368329	38113	55852	189537	68096	60202	74063	253825	76276
Roseburia_hominis	4707	6530	953	1310	1295	1265	271	180	71	147	996	908	1727	2381	1061	1055	2897	1341
Roseburia_intestinalis	4637	8697	1594	1971	1790	2139	195	123	60	112	1399	1253	2220	3619	1553	1584	4227	1973
Thomasclavelia_ramosa	4612	55422	335	408	497	500	148	106	62	97	399	331	651	1212	787	1105	1946	1130
Thomasclavelia_spiroformis	257	559	1054	834	782	1014	85	146	41	131	2504	1935	3923	5776	4187	5174	9828	5588
