rank	sample	platform	sample_name	sample_nr	GS_name	path	file.names	primer	rep	source	barcode	name	filename	workflow	db	Vregion	group	GS_version	R2	p_value	significant
phylum	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	ONT	MONT2	2	NA	emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	MONT	2	MCS	bc20	MM2	PRMT_MM2_MCS_MONT_20240807_bc20	EMU	EMUdb	V1_V9	1	D6300	0.942512839496162	1.26341222413748e-05	TRUE
phylum	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	ONT	MONT3	3	NA	emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	MONT	3	MCS	bc21	MM3	PRMT_MM3_MCS_MONT_20240807_bc21	EMU	EMUdb	V1_V9	1	D6300	0.93569547070198	1.26341222413748e-05	TRUE
phylum	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	ONT	ONT1	1	NA	emu/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	ONT	1	MCS	bc04	MO1	PRMT_MO1_MCS_ONT_20240807_bc04	EMU	EMUdb	V1_V9	2	D6300	0.995173937566358	1.26341222413748e-05	TRUE
phylum	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	ONT	ONT2	2	NA	emu/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	ONT	2	MCS	bc05	MO2	PRMT_MO2_MCS_ONT_20240807_bc05	EMU	EMUdb	V1_V9	2	D6300	0.994759255827336	1.26341222413748e-05	TRUE
phylum	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	ONT	ONT3	3	NA	emu/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	ONT	3	MCS	bc06	MO3	PRMT_MO3_MCS_ONT_20240807_bc06	EMU	EMUdb	V1_V9	2	D6300	0.995569420598967	1.26341222413748e-05	TRUE
phylum	PRMT_MP1_MCS_PB_20240807_bc34_D6300	ONT	PB1	1	NA	emu/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PB	1	MCS	bc34	MP1	PRMT_MP1_MCS_PB_20240807_bc34	EMU	EMUdb	V1_V9	3	D6300	0.952685980219143	1.26341222413748e-05	TRUE
phylum	PRMT_MP2_MCS_PB_20240807_bc35_D6300	ONT	PB2	2	NA	emu/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PB	2	MCS	bc35	MP2	PRMT_MP2_MCS_PB_20240807_bc35	EMU	EMUdb	V1_V9	3	D6300	0.940998831639146	1.26341222413748e-05	TRUE
phylum	PRMT_MP3_MCS_PB_20240807_bc36_D6300	ONT	PB3	3	NA	emu/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PB	3	MCS	bc36	MP3	PRMT_MP3_MCS_PB_20240807_bc36	EMU	EMUdb	V1_V9	3	D6300	0.942278480152414	1.26341222413748e-05	TRUE
species	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	ONT	MONT1	1	NA	emu/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	MONT	1	MCS	bc19	MM1	PRMT_MM1_MCS_MONT_20240807_bc19	EMU	EMUdb	V1_V9	1	D6300	0.712215293163439	0.0985643159558529	FALSE
species	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	ONT	MONT2	2	NA	emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	MONT	2	MCS	bc20	MM2	PRMT_MM2_MCS_MONT_20240807_bc20	EMU	EMUdb	V1_V9	1	D6300	0.651239172819081	0.0985643159558529	FALSE
species	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	ONT	MONT3	3	NA	emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	MONT	3	MCS	bc21	MM3	PRMT_MM3_MCS_MONT_20240807_bc21	EMU	EMUdb	V1_V9	1	D6300	0.699229281389863	0.0985643159558529	FALSE
species	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	ONT	ONT1	1	NA	emu/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	ONT	1	MCS	bc04	MO1	PRMT_MO1_MCS_ONT_20240807_bc04	EMU	EMUdb	V1_V9	2	D6300	0.797115960981608	0.0985643159558529	FALSE
species	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	ONT	ONT2	2	NA	emu/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	ONT	2	MCS	bc05	MO2	PRMT_MO2_MCS_ONT_20240807_bc05	EMU	EMUdb	V1_V9	2	D6300	0.710797523334281	0.0985643159558529	FALSE
species	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	ONT	ONT3	3	NA	emu/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	ONT	3	MCS	bc06	MO3	PRMT_MO3_MCS_ONT_20240807_bc06	EMU	EMUdb	V1_V9	2	D6300	0.767031327710472	0.0985643159558529	FALSE
species	PRMT_MP1_MCS_PB_20240807_bc34_D6300	ONT	PB1	1	NA	emu/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PB	1	MCS	bc34	MP1	PRMT_MP1_MCS_PB_20240807_bc34	EMU	EMUdb	V1_V9	3	D6300	0.735836826749986	0.0985643159558529	FALSE
species	PRMT_MP2_MCS_PB_20240807_bc35_D6300	ONT	PB2	2	NA	emu/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PB	2	MCS	bc35	MP2	PRMT_MP2_MCS_PB_20240807_bc35	EMU	EMUdb	V1_V9	3	D6300	0.728722368933722	0.0985643159558529	FALSE
species	PRMT_MP3_MCS_PB_20240807_bc36_D6300	ONT	PB3	3	NA	emu/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PB	3	MCS	bc36	MP3	PRMT_MP3_MCS_PB_20240807_bc36	EMU	EMUdb	V1_V9	3	D6300	0.704391447044166	0.0985643159558529	FALSE
