species,protein,read_counts
Faecalibacterium prausnitzii,acetyl-CoA carboxylase carboxyltransferase subunit alpha,3
Faecalibacterium prausnitzii,phosphoenolpyruvate carboxykinase (ATP),1
Faecalibacterium prausnitzii,GTP-binding protein LepA,5
Faecalibacterium prausnitzii,hypothetical protein SP_0939,2
Faecalibacterium prausnitzii,ATP-dependent protease ATP-binding subunit ClpX,3
Faecalibacterium prausnitzii,lysine decarboxylase,10
Bacteroides vulgatus,1-deoxy-D-xylulose-5-phosphate synthase,2
Bacteroides vulgatus,phosphoglyceromutase,1
Bacteroides vulgatus,"fructose-1,6-bisphosphatase",2
Bacteroides vulgatus,excinuclease ABC subunit A,4
Bacteroides vulgatus,"Vi polysaccharide biosynthesis protein, epimerase TviC",1
Bacteroides vulgatus,elongation factor Tu,4
Bacteroides vulgatus,recombinase A,9
Bacteroides vulgatus,gluconate 5-dehydrogenase,6
Bacteroides vulgatus,GDP-D-mannose dehydratase,2
Bacteroides vulgatus,molecular chaperone DnaK,2
Bacteroides vulgatus,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,1
Bacteroides vulgatus,endopeptidase Clp ATP-binding chain C,15
Bacteroides vulgatus,malic enzyme,4
Bacteroides vulgatus,glutamate dehydrogenase,6
Bacteroides vulgatus,"GDP-mannose 4,6-dehydratase",12
Bacteroides vulgatus,DNA excision repair protein subunit A,1
Bacteroides vulgatus,DNA-directed RNA polymerase subunit beta,6
Bacteroides vulgatus,protein disaggregation chaperone,1
Bacteroides vulgatus,dihydroxy-acid dehydratase,8
Bacteroides vulgatus,S-adenosylmethionine synthase,2
Bacteroides vulgatus,UDP-glucose 6-dehydrogenase,1
Bacteroides vulgatus,F0F1 ATP synthase subunit alpha,2
Bacteroides vulgatus,chaperonin GroEL,1
Bacteroides vulgatus,B12-dependent methionine synthase,3
Bacteroides vulgatus,ClpB protein,1
Bacteroides vulgatus,"dTDP-glucose-4,6-dehydratase",1
Bacteroides vulgatus,putative ABC transporter ATP-binding protein,1
Bacteroides vulgatus,glutamate synthase NADPH large chain,3
[Eubacterium] siraeum,CTP synthetase,8
[Eubacterium] siraeum,protein disaggregation chaperone,5
[Eubacterium] siraeum,ATP-dependent protease,1
[Eubacterium] siraeum,DNA excision repair protein subunit A,1
[Eubacterium] siraeum,DNA-directed RNA polymerase subunit beta,3
[Eubacterium] siraeum,DNA polymerase III PolC,1
[Eubacterium] siraeum,GTP-dependent nucleic acid-binding protein EngD,1
[Eubacterium] siraeum,S-adenosylmethionine synthase,3
[Eubacterium] siraeum,GTP-binding protein LepA,4
[Eubacterium] siraeum,F0F1 ATP synthase subunit alpha,6
[Eubacterium] siraeum,ATP-dependent protease ATP-binding subunit ClpX,6
[Eubacterium] siraeum,carbamoyl phosphate synthase large subunit,4
[Eubacterium] siraeum,pyruvate kinase,2
[Eubacterium] siraeum,putative ATP-binding component of a transport system,1
[Eubacterium] siraeum,phoH-like protein,1
[Eubacterium] siraeum,DNA polymerase III subunit alpha,1
[Eubacterium] siraeum,formate--tetrahydrofolate ligase,4
[Eubacterium] siraeum,excinuclease ABC subunit A,16
[Eubacterium] siraeum,twitching motility protein PilT,1
[Eubacterium] siraeum,hypothetical protein lmo2206,2
[Eubacterium] siraeum,RNA polymerase sigma factor,1
[Eubacterium] siraeum,glutamate dehydrogenase,1
[Eubacterium] siraeum,RNA polymerase sigma factor SigB,1
[Eubacterium] siraeum,Type III secretion system ATPase,1
[Eubacterium] siraeum,type IV pilus assembly protein,1
[Eubacterium] siraeum,endopeptidase Clp ATP-binding chain C,12
[Eubacterium] siraeum,molecular chaperone DnaK,2
[Eubacterium] siraeum,phosphoribosylformylglycinamide synthetase,2
Ruminococcus bromii,preprotein translocase subunit SecA,3
Ruminococcus bromii,CTP synthetase,5
Ruminococcus bromii,ATP-dependent protease,1
Ruminococcus bromii,DNA-directed RNA polymerase subunit beta,6
Ruminococcus bromii,DNA excision repair protein subunit A,1
Ruminococcus bromii,DNA polymerase III PolC,2
Ruminococcus bromii,inosine-5'-monophosphate dehydrogenase,1
Ruminococcus bromii,ClpB protein,1
Ruminococcus bromii,DNA-directed RNA polymerase subunit alpha,2
Ruminococcus bromii,ATP-dependent protease ATP-binding subunit ClpX,4
Ruminococcus bromii,GTP-binding protein LepA,6
Ruminococcus bromii,phosphoenolpyruvate carboxykinase (ATP),2
Ruminococcus bromii,UDP-galactose-4-epimerase,1
Ruminococcus bromii,carbamoyl phosphate synthase large subunit,2
Ruminococcus bromii,putative ATP-binding component of a transport system,2
Ruminococcus bromii,hypothetical protein,3
Ruminococcus bromii,recombinase A,1
Ruminococcus bromii,elongation factor Tu,1
Ruminococcus bromii,excinuclease ABC subunit A,5
Ruminococcus bromii,formate--tetrahydrofolate ligase,5
Ruminococcus bromii,phosphoglyceromutase,1
Ruminococcus bromii,RNA polymerase sigma factor,2
Ruminococcus bromii,RNA polymerase sigma factor SigB,1
Ruminococcus bromii,DNA-binding ATP-dependent protease La,1
Ruminococcus bromii,glutamate dehydrogenase,5
Ruminococcus bromii,endopeptidase Clp ATP-binding chain C,5
Ruminococcus bromii,peptide chain release factor 3,1
Ruminococcus bromii,phosphoribosylformylglycinamide synthetase,3
Ruminococcus bromii,molecular chaperone DnaK,7
Ruminococcus bromii,sugar ABC transporter ATP-binding protein,4
Fusicatenibacter saccharivorans,urease accessory protein,1
Fusicatenibacter saccharivorans,inosine-5'-monophosphate dehydrogenase,1
Fusicatenibacter saccharivorans,"argininosuccinate synthase, putative",1
Fusicatenibacter saccharivorans,glutamate synthase NADPH large chain,3
Fusicatenibacter saccharivorans,urease accessory protein UreG,1
Fusicatenibacter saccharivorans,resolvase family site-specific recombinase,2
Fusicatenibacter saccharivorans,putative ATP-binding component of a transport system,4
Fusicatenibacter saccharivorans,hypothetical protein,3
Fusicatenibacter saccharivorans,RNA polymerase sigma factor,1
Fusicatenibacter saccharivorans,phosphoglyceromutase,2
Fusicatenibacter saccharivorans,excinuclease ABC subunit A,13
Fusicatenibacter saccharivorans,"fructose-1,6-bisphosphatase",1
Fusicatenibacter saccharivorans,glutamate dehydrogenase,3
Fusicatenibacter saccharivorans,malic enzyme,2
Fusicatenibacter saccharivorans,RNA polymerase sigma factor SigB,1
Fusicatenibacter saccharivorans,urease subunit beta,1
Fusicatenibacter saccharivorans,UDP-glucose 4-epimerase,1
Fusicatenibacter saccharivorans,preprotein translocase subunit SecA,3
Fusicatenibacter saccharivorans,CTP synthetase,1
Fusicatenibacter saccharivorans,sugar-transport ATP-binding protein ABC transporter SugC,1
Fusicatenibacter saccharivorans,DNA-directed RNA polymerase subunit beta,2
Fusicatenibacter saccharivorans,capsular polysaccharide synthesis enzyme Cap8D,3
Fusicatenibacter saccharivorans,carbamoyl phosphate synthase large subunit,2
Fusicatenibacter saccharivorans,hypothetical protein SPy_1633,1
Fusicatenibacter saccharivorans,ATP-dependent protease ATP-binding subunit ClpX,3
Fusicatenibacter saccharivorans,GTP-binding protein LepA,3
Fusicatenibacter saccharivorans,recombinase A,3
Fusicatenibacter saccharivorans,elongation factor Tu,5
Fusicatenibacter saccharivorans,transcriptional repressor CodY,1
Fusicatenibacter saccharivorans,formate--tetrahydrofolate ligase,4
Fusicatenibacter saccharivorans,TDP-glucose pyrophosphorylase,1
Fusicatenibacter saccharivorans,endopeptidase Clp ATP-binding chain C,4
Fusicatenibacter saccharivorans,sugar ABC transporter ATP-binding protein,3
Fusicatenibacter saccharivorans,phosphoribosylformylglycinamide synthetase,1
,type VI secretion system protein DotU,1
,L-asparaginase,1
,elongation factor Tu,3
,ABC transporter amino acid-binding protein/permease,1
,amino acid ABC transporter permease,2
,dltB protein,2
,uracil permease,1
,sugar ABC transporter ATP-binding protein,2
,hypothetical protein Z4168,1
,molecular chaperone DnaK,2
,iron ABC transporter permease,1
,aconitate hydratase,1
,endopeptidase Clp ATP-binding chain C,3
,RTX toxin,1
,Trk family potassium uptake protein,1
,hyaluronidase,1
,cytochrome C-type biogenesis,1
,hypothetical protein EF0382,1
,hypothetical protein SP_0686,1
,glycosyl hydrolase,1
,DNA-directed RNA polymerase subunit beta,1
,DNA excision repair protein subunit A,2
,CTP synthetase,1
,alkaline amylopullulanase,1
,ATP-dependent Clp protease proteolytic subunit,1
,gluconate 5-dehydrogenase,1
,acetolactate synthase catalytic subunit,1
,TCS sensor kinase VicK,1
,leucyl-tRNA synthetase,1
,cryptic autophosphorylating protein tyrosine kinase Etk,1
,pullulanase,2
,UDP-N-acetylglucosamine 2-epimerase,5
,TDP-4-oxo-6-deoxy-D-glucose transaminase,1
,"type VII secretion system protein EssC, FtsK/SpoIIIE family ATPase",2
,glutamate dehydrogenase,1
,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,2
,conjugation transfer regulator,2
,hemolysin transport protein,1
,argininosuccinate synthase,1
,septation ring formation regulator EzrA,1
,serine protease,1
,dipeptide ABC transporter ATP-binding protein DppF,1
,dihydroaeruginoic acid synthetase PchE,1
,UDP-glucose 6-dehydrogenase,1
,resolvase family site-specific recombinase,4
,oligopeptide ABC transporter permease AmiD,1
,UDP-N-acetylglucosamine-2-epimerase,1
,F0F1 ATP synthase subunit alpha,4
,3-phosphoshikimate 1-carboxyvinyltransferase,2
,Hemolysin B,3
,ATP-dependent DNA helicase II UVRD1,2
,"type I restriction-modification system, R subunit",2
uncultured Faecalibacterium sp.,F0F1 ATP synthase subunit alpha,3
uncultured Faecalibacterium sp.,resolvase family site-specific recombinase,4
uncultured Faecalibacterium sp.,protein disaggregation chaperone,2
uncultured Faecalibacterium sp.,UDP-galactopyranose mutase,1
uncultured Faecalibacterium sp.,N-acetylneuraminate lyase,1
uncultured Faecalibacterium sp.,serine hydroxymethyltransferase,2
uncultured Faecalibacterium sp.,Holliday junction DNA helicase ruvB,1
uncultured Faecalibacterium sp.,glutamate dehydrogenase,3
uncultured Faecalibacterium sp.,UDP-N-acetylglucosamine 2-epimerase,4
uncultured Faecalibacterium sp.,gluconate 5-dehydrogenase,6
uncultured Faecalibacterium sp.,ATP-dependent Clp protease proteolytic subunit,1
uncultured Faecalibacterium sp.,putative ATP-binding component of a transport system,1
uncultured Faecalibacterium sp.,hypothetical protein,1
uncultured Faecalibacterium sp.,hypothetical protein lmo2206,2
uncultured Faecalibacterium sp.,phosphoglyceromutase,2
uncultured Faecalibacterium sp.,excinuclease ABC subunit A,6
uncultured Faecalibacterium sp.,RNA polymerase sigma factor RpoS,1
uncultured Faecalibacterium sp.,ClpB protein,1
uncultured Faecalibacterium sp.,"Hsp60, 60K heat shock protein HtpB",1
uncultured Faecalibacterium sp.,lysine decarboxylase,3
uncultured Faecalibacterium sp.,ATP-dependent protease ATP-binding subunit ClpX,5
uncultured Faecalibacterium sp.,GTP-binding protein LepA,2
uncultured Faecalibacterium sp.,preprotein translocase subunit SecA,1
uncultured Faecalibacterium sp.,CTP synthetase,1
uncultured Faecalibacterium sp.,DNA-directed RNA polymerase subunit beta,7
uncultured Faecalibacterium sp.,endopeptidase Clp ATP-binding chain C,4
uncultured Faecalibacterium sp.,sugar ABC transporter ATP-binding protein,1
uncultured Faecalibacterium sp.,phosphoribosylformylglycinamide synthetase,1
uncultured Faecalibacterium sp.,molecular chaperone DnaK,2
uncultured Faecalibacterium sp.,recombinase A,2
uncultured Faecalibacterium sp.,elongation factor Tu,3
uncultured Faecalibacterium sp.,formate--tetrahydrofolate ligase,3
uncultured Clostridiales bacterium,glucose-1-phosphate thymidylyltransferase,1
uncultured Clostridiales bacterium,tryptophan synthase subunit beta,1
uncultured Clostridiales bacterium,RNA polymerase sigma factor SigB,1
uncultured Clostridiales bacterium,TDP-4-oxo-6-deoxy-D-glucose transaminase,2
uncultured Clostridiales bacterium,hypothetical protein lmo2206,2
uncultured Clostridiales bacterium,RNA polymerase sigma factor,1
uncultured Clostridiales bacterium,excinuclease ABC subunit A,4
uncultured Clostridiales bacterium,gluconate 5-dehydrogenase,2
uncultured Clostridiales bacterium,putative ATP-binding component of a transport system,1
uncultured Clostridiales bacterium,hypothetical protein,3
uncultured Clostridiales bacterium,UDP-galactose-4-epimerase,1
uncultured Clostridiales bacterium,phosphoketolase,1
uncultured Clostridiales bacterium,F0F1 ATP synthase subunit alpha,1
uncultured Clostridiales bacterium,resolvase family site-specific recombinase,1
uncultured Clostridiales bacterium,S-adenosylmethionine synthase,1
uncultured Clostridiales bacterium,"type I restriction-modification system, M subunit",1
uncultured Clostridiales bacterium,glutamate synthase NADPH large chain,1
uncultured Clostridiales bacterium,GTP binding translational elongation factor Tu and G family protein,1
uncultured Clostridiales bacterium,ATP-dependent protease,1
uncultured Clostridiales bacterium,Holliday junction DNA helicase RuvB,1
uncultured Clostridiales bacterium,phosphoribosylformylglycinamide synthetase,3
uncultured Clostridiales bacterium,molecular chaperone DnaK,6
uncultured Clostridiales bacterium,TDP-glucose pyrophosphorylase,1
uncultured Clostridiales bacterium,endopeptidase Clp ATP-binding chain C,4
uncultured Clostridiales bacterium,formate--tetrahydrofolate ligase,5
uncultured Clostridiales bacterium,recombinase A,2
uncultured Clostridiales bacterium,elongation factor Tu,3
uncultured Clostridiales bacterium,carbamoyl phosphate synthase large subunit,1
uncultured Clostridiales bacterium,ATP-dependent protease ATP-binding subunit ClpX,10
uncultured Clostridiales bacterium,hypothetical protein SP_0939,1
uncultured Clostridiales bacterium,GTP-binding protein LepA,2
uncultured Clostridiales bacterium,DNA-directed RNA polymerase subunit beta,2
uncultured Clostridiales bacterium,DNA excision repair protein subunit A,1
uncultured Clostridiales bacterium,DNA gyrase subunit A,1
uncultured Clostridiales bacterium,tRNA (uracil-5-)-methyltransferase Gid,1
uncultured Clostridiales bacterium,preprotein translocase subunit SecA,1
uncultured Clostridiales bacterium,CTP synthetase,3
[Eubacterium] rectale,CTP synthetase,3
[Eubacterium] rectale,ATP-dependent protease,2
[Eubacterium] rectale,protein disaggregation chaperone,2
[Eubacterium] rectale,DNA-directed RNA polymerase subunit beta,5
[Eubacterium] rectale,serine hydroxymethyltransferase,1
[Eubacterium] rectale,glutamate synthase NADPH large chain,1
[Eubacterium] rectale,GTP-dependent nucleic acid-binding protein EngD,1
[Eubacterium] rectale,ATP-dependent protease LA,1
[Eubacterium] rectale,ClpB protein,1
[Eubacterium] rectale,"type I restriction-modification system, M subunit",3
[Eubacterium] rectale,hypothetical protein SPy_1633,2
[Eubacterium] rectale,ATP-dependent protease ATP-binding subunit ClpX,7
[Eubacterium] rectale,lysine decarboxylase,7
[Eubacterium] rectale,F0F1 ATP synthase subunit alpha,1
[Eubacterium] rectale,GTP-binding protein LepA,3
[Eubacterium] rectale,carbamoyl phosphate synthase large subunit,1
[Eubacterium] rectale,putative ATP-binding component of a transport system,3
[Eubacterium] rectale,hypothetical protein,3
[Eubacterium] rectale,recombinase A,1
[Eubacterium] rectale,hypothetical protein lmo2206,1
[Eubacterium] rectale,twitching motility protein PilT,1
[Eubacterium] rectale,"type VII secretion system protein EssC, FtsK/SpoIIIE family ATPase",1
[Eubacterium] rectale,endopeptidase Clp ATP-binding chain C,2
[Eubacterium] rectale,TDP-glucose pyrophosphorylase,3
[Eubacterium] rectale,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,1
[Eubacterium] rectale,phosphoribosylformylglycinamide synthetase,2
[Eubacterium] rectale,UDP-glucose 4-epimerase,2
[Eubacterium] rectale,molybdopterin biosynthesis-like protein MoeZ,1
[Eubacterium] rectale,molecular chaperone DnaK,5
[Eubacterium] rectale,glucose-1-phosphate thymidylyltransferase,2
Escherichia coli,aconitate hydratase,1
Escherichia coli,ATP-binding hydrophilic protein ChuV,1
Escherichia coli,general secretion pathway protein D,2
Escherichia coli,phosphoheptose isomerase,1
Escherichia coli,P pilus assembly protein PapJ,1
Escherichia coli,PapD protein,1
Escherichia coli,ATP-dependent dsDNA exonuclease,1
Escherichia coli,yersiniabactin biosynthetic protein,1
Escherichia coli,periplasmic heme-binding protein ChuT,1
Escherichia coli,permease and ATP-binding protein of yersiniabactin-iron ABC transporter,1
Escherichia coli,haemoglobin protease,1
Escherichia coli,phosphomannomutase,1
Escherichia coli,homoserine O-succinyltransferase,2
Escherichia coli,DNA polymerase III subunit alpha,1
Escherichia coli,outer membrane receptor FepA,3
Escherichia coli,outer membrane porin,1
Escherichia coli,GDP/GTP pyrophosphokinase,1
Escherichia coli,polyphosphate kinase,2
Escherichia coli,outer membrane protein PgaA,1
Escherichia coli,carbamoyl phosphate synthase large subunit,1
Escherichia coli,putative signal transducer,2
Escherichia coli,transcriptional regulator PhoU,1
Escherichia coli,putative transporter YfdV,1
Escherichia coli,DNA-binding transcriptional regulator CpxR,1
Escherichia coli,flagellum-specific ATP synthase FliI,2
Escherichia coli,outer membrane heme/hemoglobin receptor,1
Escherichia coli,inner membrane ABC-transporter YbtQ,1
Escherichia coli,DNA-directed RNA polymerase subunit beta,2
Escherichia coli,nickel-binding periplasmic protein precursor,1
Escherichia coli,transporter,1
Escherichia coli,"5,10-methylenetetrahydrofolate reductase",1
Escherichia coli,E. coli common pilus chaperone EcpE,1
Escherichia coli,DNA-binding ATP-dependent protease La,1
Escherichia coli,anaerobic ribonucleoside triphosphate reductase,1
Escherichia coli,protease,1
Escherichia coli,"tagatose 6-phosphate aldolase 1, kbaY subunit",1
Escherichia coli,yersiniabactin biosynthetic protein YbtT,1
Escherichia coli,tryptophan synthase subunit beta,1
Escherichia coli,ATP-dependent RNA helicase HrpA,2
Escherichia coli,general secretion pathway protein E,2
Escherichia coli,periplasmic beta-glucosidase precursor,1
Escherichia coli,DNA-binding transcriptional activator SdiA,2
Escherichia coli,phosphoribosylaminoimidazole synthetase,1
Escherichia coli,flagellin,1
Escherichia coli,chaperone protein PapD,1
Escherichia coli,heme/hemoglobin transport protein ShuS,1
Escherichia coli,Deoxyguanosinetriphosphate triphosphohydrolase,1
Escherichia coli,ATPase,1
Escherichia coli,isopropylmalate isomerase large subunit,1
Escherichia coli,phosphoglucomutase,1
Escherichia coli,general secretion pathway protein C,1
Escherichia coli,dihydroxy-acid dehydratase,1
Escherichia coli,cytochrome o ubiquinol oxidase subunit I,1
Blautia obeum,ATP-dependent protease ATP-binding subunit ClpX,3
Blautia obeum,lysine decarboxylase,2
Blautia obeum,GTP-binding protein LepA,2
Blautia obeum,carbamoyl phosphate synthase large subunit,1
Blautia obeum,ClpB protein,2
Blautia obeum,DNA excision repair protein subunit A,1
Blautia obeum,DNA-directed RNA polymerase subunit beta,2
Blautia obeum,urease,1
Blautia obeum,preprotein translocase subunit SecA,2
Blautia obeum,CTP synthetase,2
Blautia obeum,molecular chaperone DnaK,2
Blautia obeum,sugar ABC transporter ATP-binding protein,1
Blautia obeum,endopeptidase Clp ATP-binding chain C,2
Blautia obeum,formate--tetrahydrofolate ligase,5
Blautia obeum,recombinase A,1
Blautia obeum,amino acid ABC transporter permease,1
Blautia obeum,elongation factor Tu,6
Blautia obeum,3-isopropylmalate dehydrogenase,2
Blautia obeum,UDP-glucose 6-dehydrogenase,2
Blautia obeum,urease accessory protein UreG,1
Blautia obeum,phosphoketolase,1
Blautia obeum,"type I restriction-modification system, R subunit",1
Blautia obeum,glutamate synthase NADPH large chain,2
Blautia obeum,"urease beta subunit UreB, urea amidohydrolase",1
Blautia obeum,serine hydroxymethyltransferase,1
Blautia obeum,protein disaggregation chaperone,2
Blautia obeum,ATP-dependent protease,1
Blautia obeum,TDP-4-oxo-6-deoxy-D-glucose transaminase,1
Blautia obeum,excinuclease ABC subunit A,2
Blautia obeum,hypothetical protein lmo2206,2
Blautia obeum,putative ATP-binding component of a transport system,1
Blautia obeum,hypothetical protein,1
Blautia obeum,polysaccharide biosynthesis protein CpsF,1
[Eubacterium] eligens,putative ATP-binding component of a transport system,2
[Eubacterium] eligens,type IV pilus assembly protein PilB,1
[Eubacterium] eligens,2-isopropylmalate synthase,1
[Eubacterium] eligens,gluconate 5-dehydrogenase,2
[Eubacterium] eligens,recombinase A,3
[Eubacterium] eligens,3-isopropylmalate dehydrogenase,1
[Eubacterium] eligens,elongation factor Tu,6
[Eubacterium] eligens,excinuclease ABC subunit A,2
[Eubacterium] eligens,formate--tetrahydrofolate ligase,2
[Eubacterium] eligens,hypothetical protein lmo2206,2
[Eubacterium] eligens,glutamate dehydrogenase,1
[Eubacterium] eligens,endopeptidase Clp ATP-binding chain C,1
[Eubacterium] eligens,TDP-glucose pyrophosphorylase,3
[Eubacterium] eligens,tryptophan synthase subunit beta,1
[Eubacterium] eligens,UDP-glucose 4-epimerase,1
[Eubacterium] eligens,molecular chaperone DnaK,1
[Eubacterium] eligens,sugar ABC transporter ATP-binding protein,1
[Eubacterium] eligens,glucose-1-phosphate thymidylyltransferase,1
[Eubacterium] eligens,GDP-D-mannose dehydratase,1
[Eubacterium] eligens,preprotein translocase subunit SecA,3
[Eubacterium] eligens,CTP synthetase,1
[Eubacterium] eligens,type III secretion system ATPase,1
[Eubacterium] eligens,GTP-dependent nucleic acid-binding protein EngD,1
[Eubacterium] eligens,ClpB protein,1
[Eubacterium] eligens,ATP-dependent protease ATP-binding subunit ClpX,3
[Eubacterium] eligens,hypothetical protein SP_0939,5
[Eubacterium] eligens,GTP-binding protein LepA,3
[Eubacterium] eligens,carbamoyl phosphate synthase large subunit,2
uncultured Ruminococcus sp.,DNA-directed RNA polymerase subunit beta,6
uncultured Ruminococcus sp.,"urease beta subunit UreB, urea amidohydrolase",1
uncultured Ruminococcus sp.,DNA excision repair protein subunit A,1
uncultured Ruminococcus sp.,serine hydroxymethyltransferase,1
uncultured Ruminococcus sp.,GTP binding translational elongation factor Tu and G family protein,2
uncultured Ruminococcus sp.,UDP-galactopyranose mutase,1
uncultured Ruminococcus sp.,glucose-1-phosphate cytidylyltransferase,1
uncultured Ruminococcus sp.,urease accessory protein,1
uncultured Ruminococcus sp.,protein disaggregation chaperone,3
uncultured Ruminococcus sp.,ATP-dependent protease,1
uncultured Ruminococcus sp.,F0F1 ATP synthase subunit alpha,1
uncultured Ruminococcus sp.,ATP-dependent protease ATP-binding subunit ClpX,4
uncultured Ruminococcus sp.,resolvase family site-specific recombinase,3
uncultured Ruminococcus sp.,S-adenosylmethionine synthase,1
uncultured Ruminococcus sp.,GTP-binding protein LepA,2
uncultured Ruminococcus sp.,UDP-glucose 6-dehydrogenase,3
uncultured Ruminococcus sp.,urease accessory protein UreG,1
uncultured Ruminococcus sp.,ClpB protein,1
