feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.glucerasea	source	Canis_lupus	4.27111330618942	0.0543252570085737	27	27	1.80919148844348e-30	1.68857872254725e-28
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.salivarius	source	Canis_lupus	7.76226316102911	0.100001147546435	27	10	2.45654348532593e-30	2.11640669505003e-28
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.Roseburia.hominis	source	Homo_sapiens	-2.80109165831819	0.0387013433068322	27	27	1.30770545329916e-29	9.73485730338645e-28
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Tyzzerella.Tyzzerella.nexilis	source	Homo_sapiens	-3.78290494861815	0.0524013487902618	27	27	1.39069390048378e-29	9.73485730338645e-28
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Papillibacter.Papillibacter.cinnamivorans	source	Homo_sapiens	-7.77529559659058	0.107447688656745	27	19	1.31357886611278e-29	9.73485730338645e-28
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes.Anaerostipes.hadrus	source	Canis_lupus	-8.51629284495582	0.11968376651097	27	27	1.96327841933692e-29	1.2934540174455e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Murimonas.Murimonas.intestini	source	Canis_lupus	-7.05722455423834	0.100129555738415	27	19	2.46589766693137e-29	1.53433632609063e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerotignum.Anaerotignum.lactatifermentans	source	Homo_sapiens	4.38782587721985	0.0642939733927185	27	27	5.32343907918915e-29	3.13802724667992e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium.saudiense	source	Canis_lupus	-3.73857297411588	0.0552740637500766	27	18	6.59476065921363e-29	3.69306596915963e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium.Hungateiclostridium.aldrichii	source	Canis_lupus	-4.54420595851026	0.0688029093343227	27	18	1.16391948053624e-28	6.20757056285994e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Fusicatenibacter.Fusicatenibacter.saccharivorans	source	Canis_lupus	-8.62094029964122	0.132536700787171	27	27	1.67593774156406e-28	8.53204668432611e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.faecis	source	Canis_lupus	-4.33891703091594	0.0674585676959819	27	27	2.19077781097845e-28	1.06681354273733e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.Christensenella.massiliensis	source	Canis_lupus	-8.61395757405579	0.134489694863327	27	19	2.4226232927833e-28	1.13055753663221e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.sp..SC05B48	source	Canis_lupus	-1.51889428342193	0.0238760570733541	27	27	2.84877497688023e-28	1.26701940920392e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.wexlerae	source	Canis_lupus	-1.16138173363279	0.0182813534677658	27	27	2.9439856549711e-28	1.26701940920392e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus.bromii	source	Canis_lupus	-8.2044612329608	0.129346185530857	27	27	3.05442179004517e-28	1.26701940920392e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Agathobaculum.Agathobaculum.butyriciproducens	source	Canis_lupus	-3.45545664210406	0.0576057430136664	27	27	1.15765996344577e-27	4.63063985378309e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.missing.Monoglobus.Monoglobus.pectinilyticus	source	Canis_lupus	-6.35257844404927	0.106148594581821	27	27	1.22326404813296e-27	4.72433011692731e-26
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.reuteri	source	Canis_lupus	1.08065795997275	0.0187584148650477	27	9	3.03339047587406e-27	1.13246577765965e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerotignum.Anaerotignum.lactatifermentans	source	Canis_lupus	3.69707094755814	0.0642939733927185	27	27	3.17033531498064e-27	1.14541146863817e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium..Clostridium..polysaccharolyticum	source	Canis_lupus	-6.79290636357863	0.118796701347696	27	19	3.62383424704799e-27	1.2683419864668e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.Christensenella.minuta	source	Canis_lupus	-4.30905344987393	0.0758643447024496	27	18	4.25055891234123e-27	1.44261393388551e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger.Gemmiger.formicilis	source	Homo_sapiens	-8.81010745507564	0.156009115921613	27	27	4.87894497552833e-27	1.60718187429168e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lacrimispora.Lacrimispora.amygdalina	source	Canis_lupus	-3.33826089829371	0.0599551263829617	27	27	6.831996948915e-27	2.1862390236528e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger.Gemmiger.formicilis	source	Canis_lupus	-8.63718612597932	0.156009115921613	27	27	7.8239596952066e-27	2.43412079406428e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.obeum	source	Canis_lupus	-8.22680603341832	0.148941371483734	27	26	8.26797566782127e-27	2.46674418527839e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.Oscillibacter.ruminantium	source	Homo_sapiens	-4.92707043960147	0.0892472754966659	27	27	8.36931062862312e-27	2.46674418527839e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaeromassilibacillus.Anaeromassilibacillus.senegalensis	source	Canis_lupus	-6.29181143203795	0.119977288494331	27	27	2.84488772730321e-26	8.16993398610152e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.caecimuris	source	Canis_lupus	4.86484695350017	0.0929112176608998	27	27	2.95219501346441e-26	8.26614603770034e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.missing..Eubacterium..rectale	source	Homo_sapiens	-8.79493356641887	0.16884771928897	27	27	3.34208374553016e-26	9.12959462193606e-25
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.missing..Eubacterium..rectale	source	Canis_lupus	-8.59294142218406	0.16884771928897	27	27	5.80904614323823e-26	1.54907897153019e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Dysosmobacter.Dysosmobacter.welbionis	source	Canis_lupus	-4.0691999171809	0.0804933621807244	27	27	6.8081860628446e-26	1.77329497450836e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Tyzzerella..Clostridium..colinum	source	Canis_lupus	1.08519287642961	0.0215669680339	27	9	7.60922032922269e-26	1.9368924474385e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Faecalimonas.Faecalimonas.umbilicata	source	Homo_sapiens	-3.39718429882426	0.067753343499756	27	27	8.27398395291146e-26	2.05930267272463e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus.callidus	source	Canis_lupus	-5.4820882627938	0.109638558730176	27	10	8.83867054023029e-26	2.15202413153433e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira.Lachnospira.eligens	source	Homo_sapiens	-3.20255004517591	0.064638087152362	27	27	1.09878658618573e-25	2.61838505644259e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.obeum	source	Homo_sapiens	-7.29864648802741	0.148941371483734	27	26	1.42746099794081e-25	3.28732573335137e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus.callidus	source	Homo_sapiens	-5.37097715168269	0.109638558730176	27	10	1.43820500834122e-25	3.28732573335137e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.caecimuris	source	Homo_sapiens	4.49329046265078	0.0929112176608999	27	27	1.95332114621618e-25	4.28964643874925e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Sporobacter.Sporobacter.termitidis	source	Homo_sapiens	-4.09813815128177	0.0847273069046825	27	27	1.94618855058916e-25	4.28964643874925e-24
Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium.Phascolarctobacterium.faecium	source	Canis_lupus	-8.98749611552841	0.187011850603202	27	19	2.2676320577279e-25	4.88413058587549e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium.Hungateiclostridium.clariflavum	source	Canis_lupus	-3.12594072141895	0.0658944073732581	27	27	3.08684636029518e-25	6.52314702552944e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Frisingicoccus.Frisingicoccus.caecimuris	source	Homo_sapiens	-2.43629619567534	0.0519893186686475	27	27	4.12851536740709e-25	8.56284668795544e-24
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea.Dorea.longicatena	source	Canis_lupus	-7.41307889671201	0.159499645631293	27	27	5.0204614017768e-25	1.02234850363455e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerobutyricum.Anaerobutyricum.hallii	source	Canis_lupus	-3.658374743398	0.0797831777937104	27	27	6.91713164009137e-25	1.38342632801827e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Pseudoclostridium.Pseudoclostridium.thermosuccinogenes	source	Homo_sapiens	-7.73799668501362	0.169536219421971	27	21	7.72074978462905e-25	1.5170596068043e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.schinkii	source	Canis_lupus	4.89648735609036	0.1083213563255	27	27	9.71042075916191e-25	1.81261187504356e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Eisenbergiella.Eisenbergiella.tayi	source	Homo_sapiens	-7.33949910487806	0.16223642577835	27	21	9.52776377204035e-25	1.81261187504356e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.Oscillibacter.valericigenes	source	Homo_sapiens	-6.01152414179528	0.132913134644963	27	27	9.58068215492264e-25	1.81261187504356e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.Coprococcus.comes	source	Homo_sapiens	-5.64521632435647	0.125144949024476	27	27	1.02017433271984e-24	1.87310697155117e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.hominis	source	Canis_lupus	4.89025760080073	0.109969210386206	27	27	1.43199037897922e-24	2.55681933591012e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.unassigned.Flintibacter.Flintibacter.sp..KGMB00164	source	Canis_lupus	-3.28543392250644	0.073894388266676	27	27	1.43821087644945e-24	2.55681933591012e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.Coprococcus.catus	source	Canis_lupus	-1.21878677808643	0.0275715282270469	27	9	1.64993842439373e-24	2.84297082357073e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.Coprococcus.catus	source	Homo_sapiens	-1.21878677808643	0.0275715282270469	27	9	1.64993842439373e-24	2.84297082357073e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Negativibacillus.Negativibacillus.massiliensis	source	Homo_sapiens	-4.40265964820941	0.100777410417716	27	27	2.1816152370351e-24	3.70213494769592e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.producta	source	Canis_lupus	2.43829045272178	0.0558964349265455	27	27	2.26050558729271e-24	3.7787556086087e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Catabacteriaceae.Catabacter.Catabacter.hongkongensis	source	Canis_lupus	-5.25310251187645	0.121622878099148	27	18	2.85874016232268e-24	4.70851320853147e-23
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.gallinarum	source	Canis_lupus	9.06095340188158	0.212524884689368	27	11	3.88845379960429e-24	6.31169312399537e-23
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus.lutetiensis	source	Canis_lupus	1.16298240499204	0.0274237206117399	27	9	4.41257909623102e-24	7.06012655396964e-23
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales.Family.XIII..Incertae.Sedis.Emergencia.Emergencia.timonensis	source	Canis_lupus	3.85519234389018	0.0926631301223196	27	27	6.94230705659262e-24	1.09512449343433e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.stercoris	source	Canis_lupus	-3.97098934724024	0.0961616404386611	27	27	8.28488332182846e-24	1.28875962783998e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Falcatimonas.Falcatimonas.natans	source	Homo_sapiens	-6.16946886887163	0.149611607052726	27	17	8.56710739597495e-24	1.29664328155297e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.Pseudoflavonifractor.capillosus	source	Canis_lupus	-2.08820785553935	0.0506375001596711	27	18	8.55824714747547e-24	1.29664328155297e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium.ramulus	source	Canis_lupus	-7.83290151677806	0.193759804545805	27	17	1.37079904805772e-23	2.0470599117662e-22
Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Megamonas.Megamonas.rupellensis	source	Homo_sapiens	-5.49788275573231	0.137986379865638	27	27	1.93211367245426e-23	2.84732541203786e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium.Lachnoclostridium.pacaense	source	Canis_lupus	2.5530478184819	0.0644645854502466	27	27	2.22865199951987e-23	3.24167563566527e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.Christensenella.minuta	source	Homo_sapiens	-2.98349362965126	0.0758643447024496	27	18	2.63137279055016e-23	3.77838144284126e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.unassigned.Colidextribacter.Colidextribacter.massiliensis	source	Canis_lupus	-1.19611379526271	0.0307926750495109	27	9	3.52341615779998e-23	4.93278262091997e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.unassigned.Colidextribacter.Colidextribacter.massiliensis	source	Homo_sapiens	-1.19611379526271	0.0307926750495109	27	9	3.52341615779988e-23	4.93278262091997e-22
Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium.Phascolarctobacterium.succinatutens	source	Homo_sapiens	7.20025745414122	0.187595431622681	27	27	4.67569820871761e-23	6.46516295526386e-22
Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium.Phascolarctobacterium.succinatutens	source	Canis_lupus	7.12693274907177	0.187595431622681	27	27	5.95489357783211e-23	8.133513179478e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.Christensenella.sp..Marseille.P3954	source	Homo_sapiens	-8.06731875492341	0.213967093265775	27	21	7.12485163008171e-23	9.61425762131508e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Mediterraneibacter.Mediterraneibacter.glycyrrhizinilyticus	source	Homo_sapiens	2.40916488755464	0.0639623803266551	27	27	7.29750986440701e-23	9.73001315254269e-22
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Kineothrix.Kineothrix.alysoides	source	Homo_sapiens	-6.57910575615002	0.175299869804724	27	13	7.94207824828711e-23	1.04648560448018e-21
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.acidophilus	source	Canis_lupus	1.25489361668641	0.0335767342509244	27	9	8.7666250545521e-23	1.14170000710446e-21
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.Parabacteroides.distasonis	source	Homo_sapiens	-7.06556090363513	0.195169523820026	27	11	1.85899733832558e-22	2.39319197577546e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.sp..N6H1.15	source	Canis_lupus	7.62183181216365	0.210912043056914	27	27	1.93907987839794e-22	2.46791984523374e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus.champanellensis	source	Canis_lupus	-9.34723594396677	0.260494504141037	27	21	2.29122118854975e-22	2.88333452941092e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.missing..Eubacterium..siraeum	source	Canis_lupus	-9.14981935390704	0.259918024701022	27	26	3.59663237167327e-22	4.47580917363784e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium.disporicum	source	Homo_sapiens	-2.60530657480667	0.0740783837074753	27	18	3.67728658132345e-22	4.52589117701348e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptacetobacter.Peptacetobacter.hiranonis	source	Canis_lupus	8.3940113392792	0.239064300745756	27	27	3.82220805527474e-22	4.65312284989968e-21
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.Parabacteroides.distasonis	source	Canis_lupus	-6.82372508808265	0.195169523820026	27	11	4.2245944428189e-22	5.08768363006147e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Peptococcus.Peptococcus.niger	source	Canis_lupus	4.72242724611175	0.135436334231832	27	18	4.5036634330879e-22	5.36606706921111e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Vallitaleaceae.Vallitalea.Vallitalea.guaymasensis	source	Canis_lupus	-1.16418090006419	0.0334262793676113	27	9	4.62686737111297e-22	5.39801193296513e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Vallitaleaceae.Vallitalea.Vallitalea.guaymasensis	source	Homo_sapiens	-1.16418090006419	0.0334262793676113	27	9	4.62686737111284e-22	5.39801193296513e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.glucerasea	source	Homo_sapiens	-1.8894764623214	0.0543252570085737	27	27	4.77800861852382e-22	5.51687593066668e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Kineothrix.Kineothrix.alysoides	source	Canis_lupus	-6.06013584158761	0.175299869804724	27	13	5.51301818255873e-22	6.30059220863855e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.missing..Eubacterium..siraeum	source	Homo_sapiens	-8.86946478324561	0.259918024701022	27	26	7.48424836288909e-22	8.46702845094524e-21
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.Oscillibacter.valericigenes	source	Canis_lupus	-4.43987075987789	0.132913134644963	27	27	1.23579936837051e-21	1.38409529257497e-20
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus.alactolyticus	source	Canis_lupus	8.3876731162702	0.252299528611686	27	27	1.38289964945391e-21	1.53351248256276e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Falcatimonas.Falcatimonas.natans	source	Canis_lupus	-4.94935511454198	0.149611607052726	27	17	1.55287535291436e-21	1.70511803457263e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Mediterraneibacter..Ruminococcus..gnavus	source	Homo_sapiens	1.35934143807061	0.0411497584242325	27	27	1.6060444424288e-21	1.7463784228352e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Mediterraneibacter..Ruminococcus..faecis	source	Homo_sapiens	-3.96970447784511	0.120289910190299	27	27	1.64405978370135e-21	1.77052592090914e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella.Christensenella.massiliensis	source	Homo_sapiens	-4.38985577162168	0.134489694863327	27	19	2.1278698112087e-21	2.20667980421643e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Hungatella.Hungatella.hathewayi	source	Canis_lupus	-1.68818069817167	0.051699375263944	27	27	2.10811967774427e-21	2.20667980421643e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium.ramulus	source	Homo_sapiens	-6.32939009009531	0.193759804545805	27	17	2.08943982581596e-21	2.20667980421643e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Sporobacter.Sporobacter.termitidis	source	Canis_lupus	-2.76565652139005	0.0847273069046825	27	27	2.12630545480721e-21	2.20667980421643e-20
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes.putredinis	source	Canis_lupus	-6.51845055718093	0.201804077957147	27	19	2.72102728015362e-21	2.79591793924042e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium.coprostanoligenes	source	Canis_lupus	-6.91405221887048	0.216673482373378	27	26	3.62123913192549e-21	3.68707984341505e-20
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.johnsonii	source	Canis_lupus	1.23767451356487	0.0389606891669319	27	9	4.02297849164652e-21	4.05922154112081e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Mediterraneibacter.Mediterraneibacter.glycyrrhizinilyticus	source	Canis_lupus	2.02036088389353	0.0639623803266551	27	27	4.59859090262987e-21	4.58421920423149e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus.champanellensis	source	Homo_sapiens	-8.22614349857684	0.260494504141037	27	21	4.6251497328407e-21	4.58421920423149e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium.Hungateiclostridium.thermocellum	source	Homo_sapiens	-5.21845298748984	0.167235771996426	27	11	6.11960508448623e-21	6.01224359177594e-20
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.amylovorus	source	Canis_lupus	1.26116645632869	0.0404534943207591	27	9	6.25190918173838e-21	6.08881589873651e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Lutispora.Lutispora.thermophila	source	Canis_lupus	-1.18844303729148	0.0385878976286499	27	9	8.3171529708571e-21	7.96171908321363e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Lutispora.Lutispora.thermophila	source	Homo_sapiens	-1.18844303729149	0.0385878976286499	27	9	8.3171529708571e-21	7.96171908321363e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Neglecta.Neglecta.timonensis	source	Canis_lupus	-6.32164607900862	0.205648657018728	27	24	8.69472785932611e-21	8.2526230529197e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.hansenii	source	Canis_lupus	7.05111485782104	0.230116925751046	27	25	9.37427754554777e-21	8.82284945463319e-20
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides.eggerthii	source	Homo_sapiens	3.97651645032913	0.130016780441215	27	18	9.79070165366516e-21	9.13798821008749e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Butyricicoccus.Butyricicoccus.pullicaecorum	source	Homo_sapiens	-1.19461505504564	0.0391104138904991	27	18	1.00951528479177e-20	9.34427371046927e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Mediterraneibacter..Ruminococcus..faecis	source	Canis_lupus	-3.66646086828752	0.120289910190299	27	27	1.06073249985343e-20	9.73787212980201e-20
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruthenibacterium.Ruthenibacterium.lactatiformans	source	Canis_lupus	2.03579869410511	0.0679848199142819	27	27	1.60596097352089e-20	1.46233844743366e-19
Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales.unassigned.Vampirovibrio.Vampirovibrio.chlorellavorus	source	Canis_lupus	-3.88113971070311	0.129992115474045	27	27	1.72066814253837e-20	1.54171865571438e-19
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerocolumna.Anaerocolumna.cellulosilytica	source	Homo_sapiens	-5.46398217619669	0.182972052327551	27	11	1.7130612265556e-20	1.54171865571438e-19
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Mediterraneibacter..Ruminococcus..torques	source	Canis_lupus	2.60514695199106	0.0877021049814932	27	27	1.93922627559011e-20	1.71360135589094e-19
