superkingdom	phylum	class	order	family	genus	species	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	0	0	0	72.6510415085155	42.340081579069	51.4493863899357	41.2295467457499	57.1211821821384	52.274537681182	55.3892573732423	10.0904684435903	43.4644929070842	14	11	8	10	6	9	14	4	5	87	68	66	35	53	51	69	22	52	60	35	43	31	46	46	50	8	37	209.90029341374	122.110645375915	153.355662937711	101.087756672903	154.354222762315	155.246770715232	150.789727855144	30.7042729192905	124.528429590572
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	52	28	0	0	0	43	29	27	0	0	0	0	0	0	0	0	0	38.7599973633327	46.9193612774451	26.3580045674191	0	0.619896476957089	0	38.8754767126544	25.9805386240151	23.9477749212639
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.96307651743581	7.81989354624085	5.99045558350434	4.96136229069465	8.67855067739924	13.0407287400795	2.94511187217078	1.7714003607283	3.59216623818959
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium asteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9815382587179	5.41377245508982	4.19331890845304	0	0.619896476957089	0	1.76706712330247	1.7714003607283	5.38824935728438
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum	647200000	647200000	647200000	509.85400286757	585.043864357726	380.012240030103	0	0	0	333.907840208564	390.861044370626	303.532441138423	286	354	228	0	0	0	198	228	172	507	581	378	0	0	0	333	390	305	505	578	376	0	0	0	331	387	299	721.532258609733	781.387824351297	521.169635764877	0	0	0	427.630243839198	512.525171037388	418.487366749087
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17415356220507	9.62448436460413	5.99045558350434	0	0	0.620987082860927	2.94511187217078	3.5428007214566	8.98041559547397
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium callitrichos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3113836418459	25.8658017298736	13.1790022837095	0	0	0.620987082860927	12.9584922375515	19.4854039680113	8.98041559547397
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	3	2	8	0	0	0	3	2	1	998	1229	801	1	1	3	778	817	624	3	2	8	0	0	0	3	2	1	3001.21641122544	3809.49121756487	2444.70492362812	0.620170286336831	1.85968943087127	6.8308579114702	2342.54198312464	2415.59962524649	1933.78282489206
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium coryneforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9815382587179	6.01530272787758	4.79236446680347	0	0.619896476957089	0	2.35608949773663	1.7714003607283	4.78955498425278
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	10	17	15	5	1	0	0	0	0	0	0	0	0	0	0	2.38523060697432	9.02295409181637	2.99522779175217	6.20170286336831	10.5382401082705	9.93579332577483	3.53413424660494	4.13326750836604	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium faecale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	0	0	2	0	2	1	1	0	2	0	0	2	0	2	1	1	0	2	2.38523060697432	0	2.39618223340173	1.24034057267366	1.85968943087127	1.86296124858278	1.17804474886831	1.18093357381887	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium indicum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	5	4	0	0	0	0	1	0	0	1	0	0	0	0	3.57784591046148	7.21836327345309	5.3914100251539	5.58153257703148	11.1581365852276	10.5567804086358	5.30120136990741	2.36186714763773	7.18433247637918
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	5.09e+08	5.09e+08	5.09e+08	352.289796609082	407.810034844259	252.7848810343	0	0	0	255.015240726699	295.558207725931	249.532824373059	20	25	16	1	0	0	9	11	13	346	395	249	2	0	0	251	291	244	346	395	249	2	0	0	251	291	244	627.315649634247	724.24244843646	437.303257595817	6.82187314970514	10.5382401082705	12.4197416572185	455.314295437603	521.38217284103	441.836447297319
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium magnum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596307651743581	2.40612109115103	1.7971366750513	5.58153257703148	9.91834363131342	11.7987545743576	3.53413424660494	0.590466786909434	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium moukalabense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.94461477615371	12.6321357285429	5.3914100251539	0	0	0	5.30120136990741	6.49513465600377	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	770900000	770900000	770900000	1185.224228078	1460.59977899157	940.498951533478	0	0	0	940.782246787346	973.369927552349	766.809365330694	128	147	89	0	0	1	99	111	96	128	147	89	0	0	1	99	111	96	128	147	89	0	0	1	99	111	96	1340.49960111957	1663.83273453094	1069.29632165552	0	1.23979295391418	4.96789666288742	1046.6927593695	1079.96375325735	857.92903655428
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	2	0	0	1	4	0	0	1	2	2	0	0	0	1	0	0	0	8.34830712441013	7.21836327345309	2.99522779175217	5.58153257703148	9.29844715435633	15.5246770715232	3.53413424660494	0.590466786909434	3.59216623818959
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pullorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40612109115103	1.7971366750513	6.82187314970514	11.1581365852276	11.1777674914967	3.53413424660494	0.590466786909434	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium rousetti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.0633831145125	27.0688622754491	19.7685034255643	0.620170286336831	0	0	17.6706712330247	17.1235368203736	8.98041559547397
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38523060697432	4.2107119095143	0.599045558350434	0.620170286336831	1.23979295391418	0	1.76706712330247	2.95233393454717	2.39477749212639
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium thermacidophilum	0	0	0	0	0	0	12.5391688155774	0	12.230205218779	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	0	1.19261530348716	2.40612109115103	1.19809111670087	8.0622137223788	13.0178260160989	14.9036899886623	3.53413424660494	0.590466786909434	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia inopinata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78892295523074	2.40612109115103	2.39618223340173	1.86051085901049	2.47958590782835	1.24197416572185	1.17804474886831	0.590466786909434	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium deserti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	4	0	0	1	0	0	1	4	2	4	0	0	1	0	0	1	4	2	4	0	0	1	0.596307651743581	0.601530272787758	1.19809111670087	6.20170286336831	4.33927533869962	8.69381916005298	0	0	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rotundus	0	0	0	17.4053150526143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36676886569223	2.40612109115103	0.599045558350434	0	0	0.620987082860927	1.17804474886831	1.18093357381887	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Pseudokineococcus	Pseudokineococcus lusitanus	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	0	0	0	1	1	0	3	2	4	0	0	0	1	1	0	3	2	4	0	0	0	1	1	0	9.54092242789729	10.2260146373919	8.38663781690607	0	0	0	5.89022374434157	7.67606822982264	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium saurashtrense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34119200435781	3.71937886174253	3.72592249716556	0	0.590466786909434	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus schroeteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20306054557552	0	3.72102171802098	4.33927533869962	3.10493541430464	0	0	0.598694373031598
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Aquipuribacter	Aquipuribacter hungaricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19261530348716	1.20306054557552	0	6.20170286336831	2.47958590782835	3.10493541430464	0	0.590466786909434	0.598694373031598
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Arsenicicoccus	Arsenicicoccus dermatophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	5	0	0	1	0	1	1	2	6	5	0	0	1	0	1	1	2	6	5	0	0	1	0.596307651743581	1.80459081836327	1.19809111670087	4.96136229069465	6.19896476957089	7.45184499433113	0	0.590466786909434	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	Terrabacter lapilli	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	1	2	0	0	0	1	2	0	3	1	2	0	0	0	1	2	0	3	1	2	0	0	0	1.19261530348716	1.80459081836327	0	4.34119200435781	2.47958590782835	3.72592249716556	0	0	0.598694373031598
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium agarici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596307651743581	1.20306054557552	0.599045558350434	3.10085143168415	4.95917181565671	4.34690958002649	0.589022374434157	0.590466786909434	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium aureliae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1.80459081836327	0	0.620170286336831	6.81886124652797	1.86296124858278	0.589022374434157	0	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium kyungheense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.60918163672655	0	4.34119200435781	11.7780330621847	13.0407287400795	1.76706712330247	0	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium pseudoresistens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2107119095143	0	4.34119200435781	13.0178260160989	11.1777674914967	2.35608949773663	1.18093357381887	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter humicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	5	0	0	1	0	0	0	0	0	1	0	0	0	0	3.60918163672655	0	7.44204343604197	13.6377224930559	10.5567804086358	1.76706712330247	1.18093357381887	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter pityocampae	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1.19261530348716	3.00765136393879	0.599045558350434	4.96136229069465	3.71937886174253	3.10493541430464	0	0.590466786909434	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. YN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.41377245508982	0	6.20170286336831	11.7780330621847	11.7987545743576	2.94511187217078	0.590466786909434	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	7	7	0	1	0	4	3	6	1	0	0	0	0	0	0	0	0	4.77046121394865	4.81224218230206	4.19331890845304	0	0.619896476957089	0	2.35608949773663	1.7714003607283	4.78955498425278
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	0	2	0	3	1	1	0	0	1	0	3	0	3	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
