superkingdom	phylum	class	order	family	genus	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Aquipuribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19261530348716	1.20306054557552	0	6.20170286336831	2.47958590782835	3.10493541430464	0	0.590466786909434	0.598694373031598
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Arsenicicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	5	0	0	1	0	1	1	2	6	5	0	0	1	0	1	1	2	6	5	0	0	1	0.596307651743581	1.80459081836327	1.19809111670087	4.96136229069465	6.19896476957089	7.45184499433113	0	0.590466786909434	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	1	2	0	0	0	1	2	0	3	1	2	0	0	0	1	2	0	3	1	2	0	0	0	1.19261530348716	1.80459081836327	0	4.34119200435781	2.47958590782835	3.72592249716556	0	0	0.598694373031598
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0.596307651743581	10.8275449101796	0.599045558350434	12.4034057267366	36.5738921404682	30.4283670601854	5.30120136990741	1.7714003607283	8.98041559547397
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	2	0	0	0	1	2	1	2	2	6	0	0	1	1	1	1	1	0	2	0	0	0	1.19261530348716	12.0306054557552	0.599045558350434	18.6051085901049	29.1351344169832	25.460470397298	4.71217899547326	2.36186714763773	7.18433247637918
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	7	7	0	1	0	4	3	6	1	0	0	0	0	0	0	0	0	4.77046121394865	4.81224218230206	4.19331890845304	0	0.619896476957089	0	2.35608949773663	1.7714003607283	4.78955498425278
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	0	2	0	3	1	1	0	0	1	0	3	0	3	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Auraticoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9815382587179	5.41377245508982	2.39618223340173	0	0	0	2.94511187217078	1.18093357381887	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	0	0	0	20.8050943135612	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	7	3	5	4	5	4	3	3	0	1	0	0	0	0	0	0	0	51.8787657016915	56.5438456420492	34.7446423843251	23.5664708807996	24.1759626013265	20.4925737344106	32.9852529683128	27.161472197834	20.3556086830743
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	124800000	124800000	124800000	1243.71895066867	1651.93527744162	683.918244995119	146.110110544086	175.257680760644	154.481489326954	508.929458137138	541.046483422518	468.01831748352	986	1290	541	113	140	121	399	425	374	1238	1652	683	143	171	151	504	536	467	1183	1568	644	137	165	144	481	512	436	1234.95314676096	1704.13526280772	694.892847686503	150.081209293513	162.412876962757	160.214667378119	484.176391784877	529.648707857762	449.61947414673
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	130300000	130300000	130300000	39.0423066512082	50.0474715864349	18.0242112900266	0	0	0	0	13.0251838454033	20.0436745061492	40	50	18	4	3	4	9	13	20	40	51	18	4	3	4	9	13	20	40	51	18	4	3	4	9	13	20	28.0264596319483	34.2872255489022	14.3770934004104	2.48068114534732	3.09948238478544	3.72592249716556	6.47924611877573	11.2188689512792	16.1647480718531
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olegusella	0	0	0	11.2857367159519	14.1747177063101	0	12.3824016601487	19.6567658022469	24.9416906788565	0	0	0	14	20	11	14	23	25	10	7	5	14	20	11	14	23	25	10	7	5	14	20	11	14	23	25	10	7	5	8.34830712441013	12.0306054557552	7.1885467002052	8.68238400871563	14.257618970013	15.5246770715232	5.89022374434157	4.13326750836604	2.99347186515799
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Parvibacter	0	0	0	0	17.9080915908651	0	0	0	0	0	0	0	3	12	4	8	7	5	4	5	1	3	12	4	8	7	5	4	5	1	3	12	4	8	7	5	4	5	1	19.0818448557946	26.4673320026613	13.77804784206	9.92272458138929	16.1173084008843	10.5567804086358	10.0133803653807	13.580736098917	5.38824935728438
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38523060697432	1.80459081836327	0	0	1.85968943087127	0	2.35608949773663	1.7714003607283	0.598694373031598
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	299700000	299700000	299700000	127.360160950517	143.230194672112	65.0876136291836	59.0384128374968	84.0471611245645	79.3003411879156	90.2192936538661	89.17291062416	66.1498737260335	49	45	21	13	20	18	27	32	21	51	48	23	14	23	18	28	32	23	50	45	21	13	20	18	27	32	21	152.058451194613	177.451430472389	80.8711503773085	58.2960069156621	107.861986990533	96.2529978434437	101.311848402675	98.6079534138754	69.4485472716654
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Asaccharobacter	541400000	541400000	541400000	11.8457506012385	0	0	0	0	0	0	0	0	19	17	9	12	10	9	8	14	15	78	90	40	39	53	52	55	55	42	19	17	9	12	10	9	8	14	15	66.1901493435375	80.0035262807718	35.3436879426756	31.6286846031784	48.3519252026529	48.4369924631523	46.5327675802984	45.4659425920264	34.7242736358327
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	180700000	180700000	180700000	0	25.0283314916693	0	0	0	0	0	14.0284783853999	0	8	11	8	9	9	8	4	3	6	12	30	11	12	13	12	9	17	10	8	12	8	9	9	8	4	4	7	16.1003065970767	61.9576180971391	13.77804784206	14.2639165857471	15.4974119239272	14.2827029058013	14.7255593608539	36.6089407883849	12.5725818336636
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	1	8	6	4	2	2	4	7	0	1	8	6	4	2	2	4	7	0	1	8	6	4	2	2	16.1003065970767	20.4520292747838	8.38663781690607	5.58153257703148	17.9769978317556	14.2827029058013	9.42435799094651	10.0379353774604	7.18433247637918
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	92200000	92200000	92200000	0	0	0	0	0	0	0	0	0	5	4	2	3	2	3	2	4	0	6	6	3	3	2	3	2	5	0	5	4	2	3	2	3	2	4	0	8.94461477615371	25.8658017298736	10.1837744919574	4.34119200435781	14.257618970013	4.96789666288742	11.191425114249	10.0379353774604	12.5725818336636
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	2	0	0	2	2	1	1	0	1	3	0	0	1	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	0	0	0	272.27516988176	410.654155303537	261.510950263298	272.107214331248	325.726600537803	312.32687205273	233.467829209713	242.037048042059	210.578649082524	205	301	186	184	204	187	183	182	158	206	302	187	184	204	187	183	182	158	205	301	186	184	204	187	183	182	158	128.802452776613	188.278975382568	121.606248345138	119.692865263008	135.757328453602	122.334455323603	111.325228768056	113.369623086611	98.7845715502137
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	2	0	0	0	2	3	0	2	0	2	0	0	0	1	3	0	2	0	2	0	0	5.36676886569223	1.80459081836327	2.39618223340173	0	5.5790682926138	0	4.1231566210391	2.36186714763773	1.1973887460632
Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0.599045558350434	1.86051085901049	4.33927533869962	4.96789666288742	0	0	0.598694373031598
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	26042500000	26042500000	26042500000	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321	4316	5294	3482	3453	4542	4564	3157	3002	2603	4757	5752	3798	3871	5174	5175	3541	3381	2910	4438	5420	3590	3602	4742	4791	3282	3107	2703	4405.52093108157	5067.89254823686	3362.44271902098	3966.60915141037	5522.03781673374	5479.59001916482	3446.36991281425	3386.3270229256	2839.60741128887
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	880200000	880200000	880200000	199.201569252435	270.264394469268	156.209831556943	168.119739529098	204.264928635893	190.093502545269	136.263051258609	153.296394488208	136.296986641847	201	272	156	164	196	186	134	149	130	203	275	157	168	200	190	139	154	136	202	272	156	165	196	189	135	149	130	124.031991562665	174.44377910845	95.8472893360694	112.870992113303	134.517535499688	121.713468240742	88.3533561651235	102.150754135332	94.5937109389925
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	0	0	0	22.0565134945431	17.9996057432923	14.0192981694141	17.0072153778241	0	20.0177703236233	13.0251446056023	0	0	19	14	12	16	10	20	13	7	9	19	14	12	16	10	20	13	7	9	19	14	12	16	10	20	13	7	9	11.329845383128	8.42142381902861	7.1885467002052	9.92272458138929	6.19896476957089	12.4197416572185	7.65729086764404	4.13326750836604	5.38824935728438
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	637400000	637400000	637400000	84.1013104155195	108.101298130646	59.07935920665	60.0427822370635	102.098418727221	102.05799899066	64.7212745890675	69.133668102525	59.1288397503026	71	89	39	47	82	81	57	57	50	84	109	58	59	102	100	64	69	57	72	90	41	49	87	81	57	57	51	88.2535324580499	124.516766467066	88.0596970775137	76.2809452194302	117.780330621847	130.407287400795	63.0253940644548	73.2178815767698	56.8759654380018
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Culturomica	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	1	3	3	3	2	5	3	6	1	1	3	3	3	2	5	3	6	1	1	3	3	3	2	5	1.78892295523074	3.60918163672655	0.599045558350434	0.620170286336831	1.85968943087127	1.86296124858278	1.76706712330247	1.18093357381887	2.99347186515799
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	1477600000	1477600000	1477600000	683.823793229717	862.768826808401	524.704817360756	1222.87062331901	1496.23901544943	1664.89581536464	428.834466068436	428.829126609149	432.943369332822	609	747	476	1189	1449	1604	383	372	373	680	860	522	1227	1498	1664	425	426	428	680	860	522	1227	1497	1664	425	426	428	530.117502400043	697.173586161011	383.389157344277	809.942393955901	989.97467370047	1101.63108499528	316.305015071142	335.385134964558	340.657098254979
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	37800000	37800000	37800000	10.0205195812734	0	0	10.0120284731627	0	0	0	0	0	10	8	8	10	5	7	7	8	4	10	8	8	10	5	7	7	8	4	10	8	8	10	5	7	7	8	4	5.96307651743581	4.81224218230206	4.79236446680347	6.20170286336831	3.09948238478544	4.34690958002649	4.1231566210391	4.72373429527547	2.39477749212639
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0	0	62.074776380655	48.0440094892035	77.1045887240379	25.0178183838472	54.0321934919863	78.0429654065655	55.106381023702	17.032932720912	64.1397515319388	59	43	74	30	56	81	57	24	61	61	46	78	31	60	84	58	25	64	61	43	77	30	56	82	58	25	63	39.3563050150763	31.8811044577512	49.720781343086	21.7059600217891	39.0534780482966	58.3727857889272	34.7523200916153	17.1235368203736	40.7112173661487
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	0	0	0	24.0140986636733	0	18.0251986063415	0	0	15.0079480620638	13.0270417470278	0	0	26	7	18	9	10	15	14	4	5	26	7	18	9	10	17	14	4	5	26	7	18	9	10	17	14	4	5	16.1003065970767	6.01530272787758	11.9809111670087	6.20170286336831	7.43875772348506	13.6617158229404	8.83533561651235	2.36186714763773	2.99347186515799
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	8003200000	8003200000	8003200000	904.564845441419	1055.96492631134	825.117122924282	736.555187052318	892.528538422842	910.478207870846	713.546006340961	639.235945643639	579.26219322771	816	937	749	663	780	819	630	552	527	919	1073	840	747	901	927	721	646	590	882	1030	816	714	856	886	688	618	567	705.431952012656	856.579108449767	626.002608476203	603.425688605736	763.712459611133	758.846215256053	569.58463607783	515.477504971936	443.033836043383
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	8.4e+07	8.4e+07	8.4e+07	11.0132667771522	18.016500013285	0	0	0	11.0058543179735	0	13.0251838454033	0	10	14	5	7	7	10	6	12	8	10	15	5	7	7	10	6	12	8	10	15	5	7	7	10	6	12	8	5.96307651743581	10.2260146373919	2.99522779175217	4.34119200435781	4.95917181565671	6.8308579114702	3.53413424660494	7.0856014429132	4.78955498425278
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	5888900000	5888900000	5888900000	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473	1414	1849	1123	1097	1350	1389	980	992	897	1610	2062	1264	1223	1545	1545	1109	1120	1009	1414	1851	1127	1100	1353	1390	981	993	898	1499.11743648336	1809.40306054558	1132.79515084067	1087.7786822348	1471.63423629613	1372.38145312265	985.434432428345	996.707936303124	899.837642666492
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19261530348716	3.60918163672655	0	0	3.71937886174253	3.10493541430464	0	1.18093357381887	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	0	0	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729	2579	3257	2044	2003	2726	2818	1857	1689	1606	9360	11697	7188	6957	9393	9431	6409	6282	5575	6859	8488	5234	5070	6827	6845	4792	4557	4057	19229.1328457752	24364.3821689953	14756.2892388462	14811.5269485825	20005.2991043592	19862.2718453068	12694.610213805	12892.2518253806	11420.6938599508
