superkingdom	phylum	class	order	family	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	0	0	0	354.27754872649	241.08961307023	353.350813038251	258.378904998524	204.429929671361	87.0066305599756	216.378687205846	126.042473014849	384.546659485952	343	243	347	374	267	376	346	244	347	147.572936283509	110.811973906844	150.505625701147
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	0	0	0	40.0246911402898	44.0415047842518	53.0378942772731	47.0532515254492	30.0307780313252	0	47.0708963658494	21.0184681047757	60.0855240497813	44	46	58	46	49	59	44	46	58	15.8877695377691	14.7548552212917	18.3171146897948
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	0	0	1382.98438765769	1095.71981987695	1559.73984107886	885.364449391451	777.602377907757	965.779831788749	852.787906732887	459.809742363122	1564.9937763092	1346	1067	1500	1614	1264	1809	1416	1114	1573	866.800041897132	656.440497600324	965.006658907355
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	0	0	0	344.214844945588	309.041583360394	401.385826232224	255.368085723831	220.013952028436	85.3969127334125	217.285633581847	124.108741367497	385.603740905647	213	211	269	349	309	409	347	309	405	289.340726005141	221.623947813687	322.381218540388
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	0	0	0	885.034206927217	680.422356440441	965.444092769664	611.352605378419	495.200155394095	173.544874206737	507.77192422132	286.035209198943	1040.50094131837	734	562	760	1009	783	1083	970	762	1046	602.513106316935	473.660964552894	682.312522194856
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	0	0	0	75.0589363422634	55.1128429194043	59.4253052254844	48.054690604319	42.9209215832342	11.8776146306067	42.0851417132501	30.0263885525454	91.1294852273912	67	49	50	87	58	66	67	49	51	40.9415599627126	24.089559544966	32.0549507071409
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	0	0	0	70.8587445185622	70.0538510840158	98.0669824068866	65.0735601417514	43.9958065305414	18.0096492048246	55.0605991935327	31.0272624301978	104.148053629923	69	67	92	69	67	92	69	67	92	27.1925286319509	27.1007544880867	39.6870818278887
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	0	0	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998	283	231	288	543	415	549	290	235	297	520.62998639151	373.087053452661	539.133742369626
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	2050000	2050000	2050000	31566.0741017259	24955.3977481824	32111.1219073572	65012.9735146832	64239.3943989785	87757.2493115873	20072.8535192244	22936.9537108596	14908.0071663126	5936	4758	6060	31512	24947	32079	21812	17209	22445	32331.3054753305	25287.1117738451	32901.2014058094
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	420000	420000	420000	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731	1725	1219	1467	4276	2998	3580	2598	1802	2156	4222.48028869171	2955.1867171787	3561.7629514306
