superkingdom	phylum	class	order	family	genus	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	unassigned	Vampirovibrio	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	3	2	2	3	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1740000	1740000	1740000	192480.976333339	127663.967877295	172265.781316349	95904.9454678636	107493.794886236	130680.333645239	77381.5123005886	113286.970601067	70750.5877198653	24507	16802	22341	192112	127337	171901	32525	22114	29506	245532.34024295	159598.451016803	218894.09982172
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Mesobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66640835486979	3.01119494312075	3.35813769312904
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	1410000	1410000	1410000	84955.0401161596	44986.5315376707	73755.2503030643	41304.9332283489	37731.7517764543	51804.1856331937	31204.0052872479	44230.5469162441	27811.8705290196	7584	4268	6633	84766	44878	73640	84198	44600	73214	69654.4259258162	36095.7960221771	60460.8268828298
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	31.0191356337246	14.0132060677165	27.0193045554102	0	14.0143630812851	17.0090167294726	0	16.0140709369719	0	32	15	27	32	15	27	32	15	27	7.33281670973958	3.6134339317449	7.93741636557774
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	2	1	2	0	1	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	1550000	1550000	1550000	96441.9671990619	50621.9440049887	88990.6535250842	43111.1331817894	38661.8241148863	62600.6243286045	35341.5464153066	56780.9879962255	35131.065980594	16111	8584	14961	96241	50412	88747	58011	30375	53560	99312.003108358	50845.2310925711	90997.8993526763
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	0	0	0	63.1692547913621	38.8224349670393	54.6279014024501	40.8001192142813	30.1451063152455	33.7949982673234	26.5632859839954	32.9535987397574	36.7068159713526	386	232	366	450	283	432	450	283	432	171.404590590163	107.800778963723	164.854032208153
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	990000	990000	990000	82977.3641825828	49446.2926241706	77098.0121158321	40124.2706190879	41740.7978708423	57307.351630664	31565.353140642	47235.8877817404	30541.9042523142	34960	21465	33299	82839	49375	76933	82643	49219	76729	68173.5024844784	39656.232922923	62384.4292105031
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	5	0	2	5	0	2	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	1	3	2	0	1	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0	0	0	92.1075179652527	68.4783944284424	88.5155642584071	31.0351530968997	17.0174408844176	12.006365225508	39.0588789141471	10.0118025389669	123.190369949996	73	57	73	105	83	106	88	70	87	83.4107900732877	52.093672515989	83.9534423282261
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	1840000	1840000	1840000	70006.2440051875	35294.0993013701	55281.3755467581	33292.9446788386	28090.2255726734	38195.8013559403	28823.4386159903	43834.5691659344	23610.2451636415	26536	13180	21201	69803	35168	55113	69726	35123	55050	41807.443402521	20774.5350320844	32786.7194389982
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0	0	354.27754872649	241.08961307023	353.350813038251	258.378904998524	204.429929671361	87.0066305599756	216.378687205846	126.042473014849	384.546659485952	343	243	347	374	267	376	346	244	347	147.572936283509	110.811973906844	150.505625701147
Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	Catabacter	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	2	1	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	0	0	0	0	0	0	0	0	0	0	0	0	5	7	6	5	7	6	5	7	6	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0	8	3	6	8	3	7	8	3	6	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	8	6	7	24	15	22	14	8	11	5.1940785027322	1.80671696587245	3.05285244829913
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	19	14	12	21	17	13	19	14	12	6.11068059144965	6.0223898862415	4.5792786724487
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Lactonifactor	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	5	1	0	5	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Emergencia	0	0	0	19.0072860657515	24.0226389731212	27.8671360505672	25.0288675772641	16.016464983103	0	24.0362024069055	0	35.0498256813332	2	6	8	2	6	8	2	6	8	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Ihubacter	0	0	0	0	0	0	0	0	0	0	0	0	14	17	16	14	17	16	14	17	16	5.80514656187716	5.72127039192943	5.80041965176835
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	unassigned	0	0	0	21.0174050745383	20.0188658111305	25.1707582267059	22.0243839481851	14.0143130482222	0	23.034693958944	21.0184681047757	25.0356983684482	28	23	34	30	26	35	28	23	34	10.0826229758919	9.03358482936225	12.5166950380264
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	0	0	0	16.9560574157144	0	11.0078648188708	0	0	0	0	0	11.0156595185495	35	26	31	38	26	32	36	26	31	5.80514656187716	3.01119494312075	4.88456391727861
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridium	0	0	0	0	0	0	0	0	0	0	0	18.028293663194	5	6	7	6	7	9	5	6	7	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	0	0	0	45.2358278039454	33.9020300582355	48.0343201086436	19.8062327599511	25.0256483594377	12.0063647496487	29.0439619498313	17.0149503706647	54.0768740001524	36	30	41	48	34	51	47	34	51	24.7482563953711	16.8626916814762	25.3386753208828
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerocolumna	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	3	1	1	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	0	0	0	58.1701327267405	43.7299840375915	60.9761687823522	30.0858444122151	26.4155933996746	0	23.2028353746209	17.0152970035626	38.7732047403238	42	31	47	61	42	63	56	39	60	41.2470939922851	27.1007544880868	37.2447998692494
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	0	0	0	0	0	15.010724765853	0	0	0	0	0	13.0185067037404	7	12	21	7	12	21	7	12	21	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	0	0	0	821.111732151714	640.462953450178	929.646381910245	550.137667978394	462.534684563259	561.983110579498	492.399594387481	275.048898044957	939.974765516051	800	612	893	866	658	976	807	614	901	375.501322344581	274.018739823988	429.841624720518
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	2	3	5	2	2	5	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	2	3	2	1	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cuneatibacter	0	0	0	15.3437616324886	0	21.0347208911188	0	0	0	0	0	17.0224805861563	13	11	24	13	11	24	13	11	24	4.58301044358724	3.31231443743283	8.24270161040765
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	0	0	0	42.0476226084395	39.2808743032777	40.0282478843777	36.0408236433402	33.2316580026111	13.0074097901645	29.0083671554075	16.014070893618	49.0697266462825	41	41	36	44	43	37	41	43	37	14.0545653603342	11.7436602781709	11.2955540587068
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	0	0	0	0	0	0	0	0	0	0	0	0	7	9	16	7	9	16	7	9	16	3.05534029572482	3.6134339317449	5.18984916210852
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	0	0	0	27.0131471239994	34.1251477485782	31.0446489832331	0	23.6180866956161	25.0171137396912	30.7180493939686	0	43.0386586601089	10	6	10	13	11	14	10	6	10	9.47155491674695	10.2380628066106	7.93741636557774
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	0	0	0	0	0	0	0	0	0	0	0	0	18	18	25	21	21	33	18	18	25	14.0545653603342	12.044779772483	20.7593966484341
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	0	0	0	38.4701981249518	20.0294561778374	43.7375211830578	28.4233924429397	21.5053100714815	42.2095418041986	31.5534388780233	0	34.9225789463172	32	24	35	32	24	35	32	24	35	12.2213611828993	8.4313458407381	13.4325507725162
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Frisingicoccus	0	0	0	17.0014700641727	10.3353790392355	11.0078839075878	0	0	0	0	0	12.1122516766031	15	9	9	15	9	9	15	9	9	5.1940785027322	3.01119494312075	2.74756720346922
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	0	0	0	59.6821687983149	50.0532508233334	60.6714793309165	43.560313384932	37.0152579675011	19.0797160418171	33.9533992600304	23.0230181687866	54.064325249877	62	45	58	63	47	58	63	45	58	22.6095181883637	16.8626916814762	20.4541114036042
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	0	0	0	0	0	0	0	0	32.4678992200994	0	0	0	12	9	16	13	9	16	12	9	16	3.66640835486979	5.11903140330528	4.88456391727861
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	0	0	0	43.3570255371402	42.2015479015281	43.3385369708789	24.0226081228826	23.0001204477065	20.342552351327	36.0883296564241	16.0140706815207	47.4085208132904	37	36	40	65	51	66	49	40	45	42.7747641401475	25.2940375222143	40.9082228072083
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	0	0	0	0	0	0	0	0	0	0	0	0	30	18	23	43	22	28	30	18	23	14.3600993899067	8.13022634642602	11.9061245483666
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	0	0	0	113.290367908683	96.8213497310097	121.196132138055	79.1897602515908	79.7673068340561	104.402284464957	82.5880896867693	45.7135649986238	115.194242255638	78	70	86	99	88	110	85	78	92	38.4972877261328	32.5209053857041	49.7614949072758
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Merdimonas	0	0	0	0	0	0	0	0	11.0058347249516	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Murimonas	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	4	1	1	4	1	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	0	0	0	12.3914206929226	13.0170952437845	36.0742050909681	11.022014315354	0	0	12.0503051742918	11.0394676240787	49.8099203209439	31	26	40	107	91	133	31	27	40	200.124789369976	167.121319343202	228.963933622435
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Syntrophococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	3	0	2	3	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	0	0	0	16.4432153569781	11.5091050628912	16.2527703116042	0	0	12.0599844546031	0	0	13.5312332235058	22	15	20	25	16	21	23	15	20	5.80514656187716	4.8179119089932	5.49513440693844
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unassigned	0	0	0	73.4262971272002	60.2516462994695	81.6860988199649	63.075792079852	45.4887115664131	112.198019867793	52.1815358160383	38.9264045773104	82.9764869702067	43	38	49	61	56	83	60	56	79	34.830879371263	26.1973960051505	40.6029375623784
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Dysosmobacter	0	0	0	17.359161234674	20.0188596383464	25.0181079216406	0	0	0	0	0	31.0441435363872	14	8	14	15	10	15	14	8	14	8.5549528280295	5.72127039192943	6.71627538625809
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	0	0	0	23.6662315005342	0	0	0	0	0	0	0	0	12	4	6	23	9	10	12	4	6	14.3600993899067	8.4313458407381	7.021560631088
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	0	0	0	0	0	0	0	0	0	0	0	0	6	11	7	6	11	9	6	11	7	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.1083557852777	32.219785891392	57.3936260280237
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptacetobacter	0	0	0	325.20281156781	296.029320583229	382.328216103389	255.368085723831	220.013952028436	85.3969127334125	207.270549248687	124.108741367497	367.578116238904	195	199	247	331	297	387	329	297	383	244.121689628413	185.489608496238	258.271317126106
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	0	0	0	19.0120333777777	13.0122627771653	19.0576101288343	0	0	0	10.0150843331595	0	18.0256246667425	18	12	22	18	12	22	18	12	22	6.11068059144965	3.91455342605698	6.71627538625809
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum	0	0	0	12.0074078183064	0	17.012204156051	12.0135961341411	15.5626775018495	0	0	0	19.0270482593129	7	5	13	7	5	13	7	5	13	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	3	0	1	3	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus	0	0	0	0	0	0	0	0	0	0	0	0	6	11	8	6	11	8	6	11	8	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Caproiciproducens	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	5	2	2	4	2	2	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0	0	0	681.544233485515	531.180878221522	762.34481873485	458.666523999408	381.555974329975	150.437228290076	385.097868391706	240.03018294746	755.080535867679	468	356	491	720	556	798	692	543	767	526.74066698296	415.544902150664	608.128207701187
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	6	5	7	9	7	8	6	5	7	3.66640835486979	3.01119494312075	4.27399342761878
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella	0	0	0	0	0	0	0	0	0	0	0	14.0199303513263	10	8	4	10	8	4	10	8	4	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	0	0	0	30.6709076351973	27.0196691137882	21.9371086739231	23.0540713415757	0	0	25.0380996697235	0	25.7108672224177	48	35	34	49	36	34	49	36	34	16.1933035673416	12.044779772483	12.8219802828563
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Neglecta	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	3	4	6	3	4	6	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	2	3	2	0	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Phocea	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	3	3	2	3	3	2	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	5	4	2	5	4	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	0	0	0	103.131059489379	79.1681986401696	98.1437622563154	76.5998455734556	51.023456252554	23.107645916661	72.5982160177959	28.0232912579923	141.200726128259	109	80	108	122	92	119	119	91	118	42.469230110575	32.5209053857041	39.9923670727186
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruthenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	2	4	2	2	4	2	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter	0	0	0	0	0	0	0	0	0	0	0	0	8	4	10	8	4	10	8	4	10	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	0	0	0	19.6559320213315	12.0176073877821	19.9706262710011	12.9867935117201	21.0338745046927	0	0	0	22.358880275845	5	2	8	6	3	8	5	2	8	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unassigned	0	0	0	38.0246664774882	31.0360030771782	46.0355726775233	28.0317748181186	26.0241728050239	0	25.0377401420941	17.9817349934908	63.1029532135299	48	38	60	50	41	61	49	39	60	13.4434973011892	10.5391823009226	17.0959737104751
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Colidextribacter	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	1	2	2	1	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Flintibacter	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	2	5	3	2	5	3	7.63835073931206	4.8179119089932	2.74756720346922
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Monoglobus	0	0	0	22.0135801278595	22.0202641005688	34.1231689185078	22.2069374802458	13.0133371469076	0	17.0256433667618	0	14.8935995874554	22	22	38	22	22	38	22	22	38	8.86048685760199	7.82910685211395	14.043121262176
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	4	1	6	3	1	6	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	5	0	6	5	0	6	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	3	1	2	3	1	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Longibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58301044358724	3.01119494312075	4.27399342761878
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	3	2	4	3	2	4	7.02728268016709	5.11903140330528	7.93741636557774
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	0	0	0	75.0589363422634	55.1128429194043	59.4253052254844	48.054690604319	42.9209215832342	11.8776146306067	42.0851417132501	30.0263885525454	91.1294852273912	67	49	50	87	58	66	67	49	51	40.9415599627126	24.089559544966	32.0549507071409
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	0	0	0	70.8587445185622	70.0538510840158	98.0669824068866	65.0735601417514	43.9958065305414	18.0096492048246	55.0605991935327	31.0272624301978	104.148053629923	69	67	92	69	67	92	69	67	92	27.1925286319509	27.1007544880867	39.6870818278887
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0	0	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998	283	231	288	543	415	549	290	235	297	520.62998639151	373.087053452661	539.133742369626
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257	31	17	24	57	33	61	49	27	51	39.1083557852777	24.3906790392781	55.8671998038741
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	0	0	0	0	0	0	0	0	89.0473301578427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	0	0	0	0	0	0	0	0	0	0	0	0	8	3	4	8	4	4	8	4	4	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	0	0	0	0	0	0	0	0	0	0	0	11.0156595185496	9	3	6	10	3	6	9	3	6	0	0	0
