species	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Cuneatibacter caecimuris	0	21.0565059551841	0	0	0	0	0	21.0654700195351	0	13.0172909671339
Dorea longicatena	0	53.0497233341298	27.0205911473734	0	27.0346300016737	13.0082399756024	16.8559164869574	55.0689413614294	0	35.0470686759183
Dysosmobacter welbionis	0	0	0	0	0	0	0	34.0426209483659	0	0
Emergencia timonensis	0	36.0285282502515	11.0151775799139	0	18.0128640267187	14.7230450540809	13.0219584338349	38.0396837763886	0	22.4455898870105
Enterocloster bolteae	0	31.1598180105901	0	0	0	26.016464863322	0	33.8650459886427	0	28.6622806394036
Enterococcus cecorum	0	19.0181657422761	0	0	16.0127297792397	10.0064913943879	12.0148527814229	24.0300835038434	0	21.0281136839865
Enterococcus faecalis	0	163.663933167469	76.2079247737134	14.0292406747011	68.4126318631452	66.047527972788	70.3926072015854	181.31094825503	36.0473305212714	113.159467244109
Erysipelotrichaceae bacterium GAM147	0	11.0079827589998	0	0	0	0	0	14.0175487175775	0	0
Escherichia albertii	0	0	0	0	0	10.6977922105782	0	0	0	0
Escherichia coli	109.08	18741.091371247	19311.8845154724	2678.48649130461	60867.5399439577	66254.1023185426	28741.1062886854	14473.5754197102	10164.2071602331	17479.5339801152
Escherichia fergusonii	0	12.6682322999478	11.0389568621455	0	49.9872914287759	35.1332824495344	36.9060694367112	16.3435851802934	0	13.8566030591018
Eubacterium coprostanoligenes	0	10.0072570536362	0	0	0	0	0	14.164047786828	0	0
Faecalibacterium prausnitzii	158.67	102088.598399436	100090.956199036	12613.5635205805	97624.1374129547	98672.1255528279	41791.1203355379	55387.1273033929	37507.6697448985	56592.3986358299
Faecalicatena orotica	0	19.841827014589	0	0	0	0	0	0	0	0
Faecalimonas umbilicata	0	36.5728140851408	23.1938745277991	0	20.7919920957778	0	24.1128340588177	41.8583993387774	0	25.4061992087017
Fournierella massiliensis	0	13.4460441051929	0	0	0	0	0	0	0	0
Frisingicoccus caecimuris	0	16.0218417899171	0	0	0	0	0	14.0519060043013	0	0
Fusicatenibacter saccharivorans	0	41.8580569468339	38.5436722794893	0	26.3928872014606	20.6055988654918	21.0354726648038	74.0920461401069	0	39.1557796978844
Fusobacterium nucleatum	67.41	6005.76905076716	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6345.9074576909	4470.07891711195	7099.28705523668
Fusobacterium varium	0	18.0149126805642	0	0	0	0	0	20.0278789898504	0	0
Gemmiger formicilis	0	33.816072816204	30.0240974807892	0	19.0757114859708	24.1387894439586	20.0338234985337	28.6199424976921	0	27.0762128587818
Hungateiclostridium clariflavum	0	14.7182724607456	0	0	0	0	0	0	0	17.3416129461507
Hungatella hathewayi	0	0	0	0	0	0	0	20.268761441344	0	0
Hydrogenoanaerobacterium saccharovorans	0	21.0064044487996	12.9573931209869	0	0	18.1090981152307	0	0	0	0
Laceyella sacchari	0	413.561847452702	403.086326854937	45.1738062867868	334.506655617884	373.100271734263	187.109728260228	230.885262249334	164.899585980712	229.188478659502
Lachnospira eligens	0	53.9369829029227	23.6578417265988	0	26.4389253087223	23.7121346185745	27.3862530594996	46.2193650052238	0	42.2071497646081
Lachnospiraceae bacterium GAM79	0	34.1167473938669	23.510416544859	0	16.4954876809754	14.036262331096	22.0255153866781	39.2101143140464	0	21.9001712580911
Lacrimispora amygdalina	0	18.3448915636833	0	0	0	0	0	0	0	0
Lacrimispora saccharolytica	0	27.3754172591652	0	0	0	0	0	23.6864435119656	0	28.8142062888205
Lactobacillus agilis	0	15.0108855804543	11.0083880849427	0	0	0	0	23.0288300245166	0	11.0147930124995
Lactobacillus animalis	0	40.6600438120674	19.0144885103995	0	19.0135787020815	19.0120267303491	21.035467593924	54.2402503493173	0	23.0309308443743
Lactobacillus rogosae	0	21.3357236111188	0	0	0	0	0	18.8238279869161	0	0
Lactobacillus salivarius	0	0	0	0	0	0	0	14.0175487105773	0	0
Limosilactobacillus fermentum	86.67	22960.9389217665	23874.8839117617	2832.9045589403	22115.9025103596	24566.2257871941	9582.63194469705	14412.8637593433	11065.3188647412	14841.325641473
Listeria monocytogenes	0	151.775149585612	68.1228254129906	0	54.0401511563775	72.277876808141	50.0845897227799	159.20761976869	34.0442020391806	126.364503609422
Megamonas funiformis	0	38.0168372864177	23.7082731009185	0	12.9816621711637	18.0091242382368	12.0202662872395	39.0554382765301	0	38.971300705095
Megamonas rupellensis	0	62.0557332499446	27.5047629927466	0	22.0433512141226	25.0158246497627	28.0472968233845	56.0797795972414	14.0178298711113	23.1120780926795
Monoglobus pectinilyticus	0	15.3034987001633	0	0	14.9576828892376	0	0	19.0238161073049	0	13.7000984149883
Negativibacillus massiliensis	0	0	0	0	0	0	0	13.3718802118159	0	0
Oscillibacter valericigenes	0	26.9951762397729	0	0	0	0	0	0	0	0
Peptacetobacter hiranonis	0	372.764014262584	178.226731346456	18.0375951530216	143.887216951392	148.380135178278	163.254818510782	404.390279736665	66.0885915630027	305.996953564064
Peptococcus niger	0	0	0	0	0	0	0	12.0150417519217	0	0
Phascolarctobacterium succinatutens	0	72.0522994195071	41.0228371874839	0	37.0257618704111	32.0203895257542	27.3816574441425	78.0078236366955	0	47.0632063582135
Phocaeicola dorei	0	39.7028781011786	33.3875091502215	0	44.7867887695575	19.0099276489284	13.021956129572	42.0539835647377	0	24.036868205898
Phocaeicola massiliensis	0	26.3281367753012	0	0	32.2682892253085	0	0	27.0338558853792	0	10.0135013559702
Phocaeicola vulgatus	0	23.1899222950498	0	0	0	0	0	11.3912343043319	0	14.0198064717499
Prevotella corporis	44.82	20018.4589333535	20189.9364612644	2844.03015400416	10174.7962449282	10823.7045748967	4724.70197399359	12664.373590156	8868.21719439993	14155.4149261482
Romboutsia timonensis	0	14.0101598750907	0	0	0	0	0	16.0200556692289	0	14.0248424823083
Roseburia hominis	89.01	33340.7513459823	37075.4567288755	4020.37952628446	29695.3686907758	34197.548022263	12543.1973732286	18372.3539577414	13996.3262910998	17994.7665149956
Ruminococcus bicirculans	0	14.7679848372459	0	0	0	0	0	17.0213091491123	0	19.159117534601
Ruminococcus bromii	0	91.0703120179457	48.4084681147898	0	48.0342496874574	36.9862426817309	38.0648284044284	108.973992832567	11.0142260867683	74.1203303678376
Ruminococcus champanellensis	0	0	0	0	0	0	0	18.8491356615744	0	0
Salmonella enterica	0	114.847506033771	88.4341805701657	0	97.8747262269147	119.734033805011	76.6925659862018	104.755909021632	29.5662822098961	67.1115481686548
Segniliparus rotundus	0	0	11.2270347705011	0	0	0	0	0	0	0
Shigella boydii	0	22.1123168822509	17.7950037496929	0	56.6758213807396	36.7259799131764	28.4685069289607	12.4480921162047	0	14.414101411097
Shigella dysenteriae	0	0	12.6083365303387	0	76.662038386477	71.175100887356	34.4069329283535	0	0	15.6171426076532
Shigella flexneri	0	12.5658899091608	13.8960230289895	0	58.5560149987654	55.1713547020378	40.231505046908	0	0	13.9056643079754
Shigella sonnei	0	44.4663871107526	16.7690303437365	0	75.46414417211	94.9537296183443	34.8045566682891	19.920322934262	11.6300243126957	23.7238323894234
Staphylococcus aureus	0	145.469375397418	77.9089345773057	0	59.3045137144658	63.0398803337179	53.7133137200982	157.346430060709	21.0267514729232	100.153457124694
Streptococcus alactolyticus	0	333.249036373777	186.050326209294	21.0438610118585	125.089333554371	138.911149748589	165.352260507827	384.60862392191	56.7629063506842	267.338373577458
Streptococcus lutetiensis	0	12.2294141014621	0	0	0	0	0	29.0405469058349	0	0
Subdoligranulum variabile	0	15.555921676576	0	0	0	0	0	14.4351315545436	0	15.6917666533715
Tyzzerella nexilis	0	0	0	0	0	0	0	21.4115441501521	0	0
Veillonella rogosae	142.83	148553.873366503	147960.325586477	19163.0267637551	148606.832245326	154153.036388268	67806.4935088817	81818.2642279922	56001.2827378992	88989.4989412837
