superkingdom	phylum	class	order	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0
Bacteria	Cyanobacteria	unassigned	Oscillatoriales	0	0	0	0	0	14.0080859203015	16.008466309803	0	0	0
Bacteria	Firmicutes	NA	NA	2395721	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	0	891.058350294245	869.52893143471	704.484176898465	903.80192151849	1149.81673180997	1326.55876840153	607.478446205392	344.559304243462	570.861174735968
Bacteria	Firmicutes	Bacilli	Lactobacillales	0	1739.01570272825	1911.59893411173	1453.57507142873	2047.94729215262	2766.16878700387	3219.38419797192	1209.56444770641	781.679106025003	1153.9471485881
Bacteria	Firmicutes	Clostridia	Clostridiales	0	317642.331992497	408552.465671581	261855.712656026	488745.665797276	653179.076793802	705038.771966611	193404.136564379	187715.079575909	197172.964064205
Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	0	19.5346564425462	20.4237208791814	16.5499337142359	47.475526625717	47.555968720463	49.6619997568202	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	0	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	0	1784.35810739127	2210.00328944549	1600.31433181643	2973.85995153668	3894.59390631342	4531.16052141428	1127.51942471079	960.662873710341	1127.87266232263
Bacteria	Firmicutes	Negativicutes	Selenomonadales	0	4091.74960019391	5359.21802650052	3336.32509223389	7845.74054897334	10682.7334631506	12348.3907864811	2782.53991435822	2623.43875764624	3024.70418792122
Bacteria	Firmicutes	Negativicutes	Veillonellales	0	890.420682145835	918.840331910613	781.069065030445	898.659373073529	1348.82019726756	1511.1397274767	589.034390663421	284.566397746479	579.636010190304
Bacteria	Firmicutes	Tissierellia	Tissierellales	0	22.3056876145752	16.0373227603858	0	34.9843141697078	58.0567912182591	45.5393653273039	20.7650915833431	0	0
Bacteria	Firmicutes	unassigned	unassigned	0	25.0301542580542	21.9161341406332	23.8516113035324	34.0243168037466	51.9892995825774	47.9882924070087	0	0	16.0349396052989
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268
Bacteria	Lentisphaerae	NA	NA	1921	0	0	0	0	0	0	0	0	0
Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	0	124.149552760625	126.115500092995	97.1304719160177	118.084102756164	154.091810694235	182.096436486374	44.0851048189616	57.1104214759989	53.1157374412953
Bacteria	Proteobacteria	NA	NA	31624	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	0	21.3658355020891	28.8855150053671	0	23.630733608486	26.4841644545173	43.372303300638	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	0	80.6903265515882	87.6652583926815	68.6080202478798	57.4688583040458	100.349512925945	124.538161069775	30.0580260129284	31.0600537851924	33.0720629351461
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	0	26.0313578369052	32.0296400602693	20.0269014259843	24.0171056453739	39.0232541416143	33.0174857365403	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	0	0	0	0	0	33.0155196665811	31.2518471799042	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	0	69.1500760265384	83.6322522726192	67.5749094488037	90.0222858103319	71.2885152835161	54.972275633939	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	0	461.555998701222	674.615896017813	385.517852450174	301.574642180032	407.242642504883	469.352960056597	498.963231814611	374.724519860063	361.788324835992
Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	0	0	0	16.2665730582456	24.4151783718115	31.2072122422973	28.6287521638906	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	0	0	31.9637895663812	0	54.3400876548222	45.5805447036408	61.4045067416619	14.4334631323076	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	0	109.131461700872	163.698802682276	78.1049155613339	38.0270839384258	51.0304048402985	53.0280949079494	64.1237888275805	74.1433541969109	50.1091862653729
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	0	330.430923511918	685.631579627846	275.372536039342	375.356535181633	563.338288198406	639.327526351357	260.627261999138	81.1617405932068	201.441663445965
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	0	0	0	0	31.0221009093008	47.0280201469417	56.0296727650381	0	0	0
Bacteria	Synergistetes	Synergistia	Synergistales	0	82.8991785227842	73.853888583086	56.3350355902038	75.0846817690339	122.487029391177	134.325485701708	21.0509416420296	37.0701019596464	37.3014288046965
Bacteria	Tenericutes	NA	NA	5440	0	0	0	0	0	0	0	0	0
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	0	83.9412463213214	97.7771707767621	54.0726338501543	185.694905176873	232.131923234336	225.106488959181	91.4765537240311	93.1791017571968	59.0322298974481
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	0	0	27.5188711263463	0	34.0883058912303	80.0361568763678	63.9184737167124	0	0	0
Bacteria	unknown	NA	NA	13944	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	NA	NA	37651	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	0	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
Eukaryota	unknown	NA	NA	4275	0	0	0	0	0	0	0	0	0
unassigned	unassigned	NA	NA	617629	0	0	0	0	0	0	0	0	0
Viruses	unknown	NA	NA	708	0	0	0	0	0	0	0	0	0
